timestamps,TP9,AF7,AF8,TP10,Right AUX
1532510582.406,25.879,43.457,19.531,32.227,114.258
1532510582.410,34.180,45.898,17.578,34.180,154.785
1532510582.414,33.203,41.504,18.555,33.691,27.344
1532510582.418,33.203,35.156,23.438,38.086,-36.621
1532510582.422,31.250,41.504,24.414,40.039,53.223
1532510582.426,30.273,41.016,23.926,39.551,103.027
1532510582.430,30.762,37.109,21.484,43.457,32.715
1532510582.433,35.156,42.480,20.020,38.574,-112.793
1532510582.437,34.180,44.922,22.949,38.574,-96.191
1532510582.441,35.156,36.621,32.227,54.199,133.301
1532510582.445,55.664,30.762,35.156,66.895,100.586
1532510582.449,48.828,42.480,24.902,47.852,-9.766
1532510582.453,36.621,46.875,21.973,25.879,-18.066
1532510582.457,37.598,47.852,20.020,28.320,93.262
1532510582.461,34.180,49.316,17.090,31.738,144.043
1532510582.465,34.668,38.574,20.508,39.062,-1.465
1532510582.469,31.250,31.738,21.484,30.762,-20.508
1532510582.472,34.668,41.504,24.414,24.414,55.664
1532510582.476,28.320,43.945,27.344,28.809,59.570
1532510582.480,25.879,35.156,24.902,33.691,3.418
1532510582.484,24.902,37.109,21.484,35.645,-36.621
1532510582.488,27.344,39.062,22.461,41.992,58.594
1532510582.492,33.203,39.551,26.367,37.109,70.801
1532510582.496,34.180,37.598,26.855,23.926,-59.570
1532510582.500,42.969,36.133,26.855,29.785,-42.480
1532510582.504,37.598,38.086,28.809,32.227,32.715
1532510582.508,31.250,41.992,26.367,34.668,140.137
1532510582.512,40.527,47.852,26.367,39.551,83.984
1532510582.515,41.016,43.945,29.785,34.668,-42.480
1532510582.519,48.828,33.203,31.738,37.109,-36.621
1532510582.523,45.410,35.156,27.832,39.062,41.992
1532510582.527,35.156,41.992,22.949,35.156,117.188
1532510582.531,30.273,41.504,23.926,29.297,-13.672
1532510582.535,26.367,44.434,25.879,20.508,-154.297
1532510582.539,26.367,36.621,20.996,24.414,19.043
1532510582.543,32.227,34.180,20.508,38.574,145.508
1532510582.547,38.086,36.133,24.902,39.062,63.965
1532510582.551,39.062,36.621,20.508,34.180,-20.020
1532510582.555,30.273,46.875,17.578,37.109,3.418
1532510582.558,42.969,46.387,23.438,35.645,135.742
1532510582.562,50.781,41.504,25.391,30.273,89.355
1532510582.566,30.273,41.016,22.949,25.391,-47.852
1532510582.570,22.461,35.156,22.461,26.367,-49.316
1532510582.574,38.574,28.809,21.973,26.855,-19.531
1532510582.578,37.109,37.598,16.602,22.461,38.574
1532510582.582,36.621,41.504,17.090,24.414,12.695
1532510582.586,40.527,39.551,20.996,24.902,-7.812
1532510582.590,36.133,38.086,25.879,27.832,107.422
1532510582.594,36.621,39.551,25.879,27.344,95.215
1532510582.597,43.457,45.898,25.391,29.297,11.230
1532510582.601,47.852,42.969,29.785,35.645,-12.207
1532510582.605,35.645,40.039,29.785,34.180,71.777
1532510582.609,42.969,44.434,28.809,38.574,151.367
1532510582.613,41.016,38.574,32.715,41.504,-6.348
1532510582.617,37.109,28.809,32.227,40.039,-118.164
1532510582.621,46.387,36.133,28.809,37.109,13.184
1532510582.625,41.992,42.969,29.297,36.133,131.348
1532510582.629,33.203,42.480,33.203,40.527,120.117
1532510582.633,42.480,41.992,36.133,41.504,-81.055
1532510582.637,45.410,41.992,33.691,38.086,-124.023
1532510582.640,44.434,41.504,31.738,36.133,95.215
1532510582.644,36.621,38.086,32.715,30.273,102.051
1532510582.648,30.273,40.039,34.668,32.227,-18.066
1532510582.652,38.574,38.574,35.156,33.203,-54.688
1532510582.656,38.574,28.809,35.156,31.738,38.086
1532510582.660,35.156,30.762,32.227,34.668,62.500
1532510582.664,42.969,34.180,30.762,32.227,-32.227
1532510582.668,43.457,29.785,30.762,38.574,-41.504
1532510582.672,34.180,34.180,30.273,36.133,-8.301
1532510582.676,31.250,36.621,32.227,26.367,-12.695
1532510582.680,36.133,33.203,31.738,33.203,-7.812
1532510582.683,34.180,30.762,30.762,34.180,-50.293
1532510582.687,34.668,25.879,28.809,34.180,24.902
1532510582.691,40.527,27.344,27.344,37.598,113.281
1532510582.695,33.691,30.273,33.691,32.715,39.551
1532510582.699,26.855,25.879,38.086,28.809,-25.391
1532510582.703,28.320,26.855,35.156,31.738,7.812
1532510582.707,26.367,37.109,31.738,33.203,101.562
1532510582.711,28.809,35.645,30.762,29.785,86.426
1532510582.715,41.504,32.227,31.738,28.320,-132.324
1532510582.719,49.805,36.133,34.180,40.039,-116.211
1532510582.722,42.480,35.156,36.621,48.340,112.305
1532510582.726,45.898,35.645,34.180,48.828,145.508
1532510582.730,46.387,33.691,31.738,43.457,28.809
1532510582.734,39.062,34.180,31.738,44.922,-52.246
1532510582.738,45.898,35.156,38.086,54.688,57.617
1532510582.742,41.016,26.855,36.621,47.363,163.574
1532510582.746,30.762,24.414,28.809,32.715,80.078
1532510582.750,38.086,25.879,28.320,41.504,-3.418
1532510582.754,41.016,26.855,27.344,52.246,-7.812
1532510582.758,42.480,28.809,29.785,43.945,38.574
1532510582.762,36.621,35.156,32.715,41.504,79.102
1532510582.765,30.273,40.039,31.738,43.945,6.348
1532510582.769,32.227,40.039,25.879,40.039,0.977
1532510582.773,42.480,36.621,25.391,33.203,-14.160
1532510582.777,51.270,35.156,27.832,33.691,-10.742
1532510582.781,51.758,34.180,28.809,30.762,57.617
1532510582.785,63.477,35.645,29.785,21.484,-0.488
1532510582.789,67.383,35.156,26.855,18.555,85.449
1532510582.793,58.594,35.156,26.367,18.555,151.367
1532510582.797,46.875,30.273,25.391,22.949,34.668
1532510582.801,43.945,18.066,29.785,37.109,-62.500
1532510582.804,45.898,24.414,36.621,48.340,-23.438
1532510582.808,45.410,35.645,36.621,51.270,119.141
1532510582.812,45.898,36.621,37.598,55.176,61.035
1532510582.816,43.945,35.156,38.574,53.223,-35.156
1532510582.820,35.156,34.668,35.645,51.758,44.922
1532510582.824,34.668,30.273,33.203,52.734,131.348
1532510582.828,32.227,27.832,37.109,55.176,137.207
1532510582.832,28.809,29.297,39.062,45.410,-24.902
1532510582.836,35.645,31.738,37.109,39.062,-119.629
1532510582.840,43.945,34.180,35.645,47.852,78.613
1532510582.844,45.898,30.273,33.203,53.223,155.762
1532510582.847,35.156,27.344,31.250,53.711,20.996
1532510582.851,33.691,30.762,30.762,47.363,-85.449
1532510582.855,42.480,29.297,33.203,44.434,-74.707
1532510582.859,45.410,31.738,34.668,44.434,57.617
1532510582.863,41.016,37.109,32.227,41.504,86.426
1532510582.867,40.039,40.039,35.645,37.109,7.324
1532510582.871,38.086,36.133,39.551,37.598,11.719
1532510582.875,31.250,32.715,36.621,41.992,100.098
1532510582.879,44.434,34.668,31.250,39.062,82.520
1532510582.883,47.852,39.551,35.156,39.551,-17.090
1532510582.887,38.086,38.086,36.621,45.410,13.672
1532510582.890,44.922,30.762,35.156,43.945,104.004
1532510582.894,44.922,34.668,36.133,45.410,43.457
1532510582.898,54.199,33.203,35.156,51.270,-69.336
1532510582.902,55.176,26.367,31.250,45.898,-34.180
1532510582.906,41.504,29.785,29.297,41.992,105.469
1532510582.910,42.969,26.855,29.785,45.898,174.316
1532510582.914,36.133,26.855,33.203,41.016,-73.242
1532510582.918,34.668,30.273,37.598,37.598,-160.645
1532510582.922,36.133,22.949,38.574,39.551,44.434
1532510582.926,25.879,17.090,41.016,41.992,136.719
1532510582.929,27.832,20.508,39.062,41.504,80.566
1532510582.933,35.645,18.066,37.109,37.109,-56.641
1532510582.937,47.852,15.137,35.645,37.109,9.766
1532510582.941,49.316,21.484,34.668,42.969,97.656
1532510582.945,39.062,25.391,33.691,38.086,48.340
1532510582.949,32.227,25.879,28.320,30.273,23.926
1532510582.953,33.203,24.414,25.879,25.879,-82.031
1532510582.957,41.504,21.484,29.785,28.320,-50.293
1532510582.961,37.598,20.020,32.715,37.109,125.488
1532510582.965,32.227,23.438,36.621,36.133,34.668
1532510582.969,36.621,18.066,41.992,38.086,-29.297
1532510582.972,39.551,15.137,40.527,42.480,60.547
1532510582.976,40.039,21.484,41.016,42.480,117.676
1532510582.980,44.434,22.461,42.480,42.480,54.199
1532510582.984,48.340,25.391,37.109,41.504,-8.789
1532510582.988,51.270,25.391,37.598,43.945,49.316
