timestamps,TP9,AF7,AF8,TP10,Right AUX
1532404013.826,104.004,47.363,33.203,27.344,56.641
1532404013.830,32.715,45.410,34.180,38.574,41.016
1532404013.833,2.930,30.273,33.203,32.715,20.996
1532404013.837,57.129,35.156,34.180,22.461,39.551
1532404013.841,24.414,52.246,34.668,3.906,46.875
1532404013.845,-15.137,39.062,32.715,4.883,47.852
1532404013.849,16.602,27.832,34.668,36.621,37.109
1532404013.853,61.523,34.180,32.715,30.273,-9.277
1532404013.857,76.172,45.410,32.227,-0.488,18.555
1532404013.861,27.832,31.250,44.434,9.766,61.523
1532404013.865,5.371,17.578,37.598,19.531,38.574
1532404013.869,-13.672,42.969,27.344,21.484,45.898
1532404013.873,-16.113,54.688,27.344,9.277,11.719
1532404013.876,46.875,30.273,34.668,29.785,-7.812
1532404013.880,61.523,24.902,45.898,48.828,53.711
1532404013.884,62.012,33.203,35.645,41.016,52.734
1532404013.888,18.066,47.852,24.902,16.113,8.301
1532404013.892,-56.152,40.527,31.738,-0.977,-1.465
1532404013.896,-23.438,26.367,32.715,-5.371,21.484
1532404013.900,23.926,24.902,26.855,-12.207,1.465
1532404013.904,55.176,38.574,32.227,20.508,15.137
1532404013.908,42.480,39.551,35.645,-4.395,47.363
1532404013.912,16.113,28.809,27.832,-12.695,21.973
1532404013.916,46.875,27.344,40.039,54.199,14.648
1532404013.919,53.711,33.203,41.504,47.363,35.156
1532404013.923,29.297,21.484,29.785,8.301,18.066
1532404013.927,1.953,20.996,28.320,-12.695,25.391
1532404013.931,-25.391,38.086,41.504,33.691,24.414
1532404013.935,21.484,27.832,40.039,41.504,16.602
1532404013.939,53.223,39.551,29.785,26.367,12.695
1532404013.943,13.672,39.551,31.250,-10.254,21.484
1532404013.947,12.695,20.996,34.180,-2.441,62.988
1532404013.951,41.992,42.480,20.996,25.879,32.715
1532404013.955,39.062,48.828,22.461,-14.648,-10.254
1532404013.958,-20.996,30.273,35.645,-5.371,-0.977
1532404013.962,-30.273,30.762,33.691,29.297,36.621
1532404013.966,42.480,35.645,23.926,6.348,33.203
1532404013.970,20.508,20.508,26.367,4.395,11.719
1532404013.974,-6.348,48.340,31.250,11.719,29.785
1532404013.978,50.781,69.824,29.297,1.465,37.109
1532404013.982,65.918,28.809,38.574,24.414,41.992
1532404013.986,38.086,21.484,38.086,11.230,55.664
1532404013.990,0.488,26.367,44.434,3.418,29.297
1532404013.994,-9.277,19.531,41.016,-0.488,-5.859
1532404013.998,23.438,35.645,26.367,-8.789,4.883
1532404014.001,21.484,41.992,22.949,9.766,22.949
1532404014.005,-7.812,31.250,32.227,9.277,2.441
1532404014.009,-28.809,22.461,40.527,19.531,9.766
1532404014.013,19.043,44.922,35.645,34.180,39.551
1532404014.017,67.383,52.246,35.156,18.555,16.602
1532404014.021,42.480,29.297,39.062,28.809,24.902
1532404014.025,45.898,34.180,39.551,29.785,40.527
1532404014.029,28.320,33.691,39.551,9.766,53.223
1532404014.033,18.066,33.203,34.668,11.719,66.895
1532404014.037,39.062,35.645,25.879,10.742,42.480
1532404014.040,21.484,29.785,22.461,-12.207,24.902
1532404014.044,-7.812,32.715,17.578,-38.086,42.480
1532404014.048,32.227,50.293,26.855,11.719,27.344
1532404014.052,38.086,28.809,45.898,44.434,0.977
1532404014.056,38.574,20.508,41.016,5.371,-7.324
1532404014.060,25.391,37.598,39.062,-9.766,12.695
1532404014.064,23.926,41.992,44.434,1.465,41.992
1532404014.068,12.207,38.086,39.551,15.137,27.832
1532404014.072,15.137,41.504,37.598,21.484,16.602
1532404014.076,95.215,46.875,44.434,46.387,50.293
1532404014.080,43.457,44.922,46.875,25.879,61.523
1532404014.083,-4.883,33.691,38.574,-10.742,49.805
1532404014.087,-11.719,24.414,32.715,12.207,45.410
1532404014.091,-2.441,13.184,41.016,12.207,34.180
1532404014.095,71.289,26.855,45.410,20.508,20.508
1532404014.099,47.363,54.688,38.574,22.949,27.344
1532404014.103,32.227,38.574,46.387,5.859,39.062
1532404014.107,47.363,37.598,50.781,24.414,70.312
1532404014.111,60.059,41.992,45.898,44.434,62.012
1532404014.115,59.082,40.527,44.922,46.387,1.465
1532404014.119,8.789,45.898,39.551,-1.953,19.531
1532404014.123,30.762,35.156,42.969,-0.488,58.594
1532404014.126,1.953,47.363,36.621,26.855,52.246
1532404014.130,-5.371,39.551,42.480,16.602,50.781
1532404014.134,56.152,41.992,46.875,-7.812,21.484
1532404014.138,56.152,47.363,39.551,1.953,18.066
1532404014.142,43.457,29.785,48.340,65.918,30.273
1532404014.146,32.715,29.297,50.293,62.012,28.320
1532404014.150,50.781,40.039,47.363,47.363,27.344
1532404014.154,42.969,40.527,50.781,38.574,26.855
1532404014.158,29.785,40.527,48.828,11.230,10.254
1532404014.162,13.184,51.758,41.016,7.324,20.508
1532404014.165,17.090,37.109,41.992,21.484,16.602
1532404014.169,48.828,25.879,45.898,28.809,29.785
1532404014.173,62.500,40.527,39.062,18.066,17.578
1532404014.177,55.664,40.527,35.156,18.555,4.883
1532404014.181,43.457,36.621,44.434,11.719,41.504
1532404014.185,26.855,31.250,46.387,11.719,17.090
1532404014.189,-11.230,35.156,44.922,35.645,16.602
1532404014.193,-7.812,34.668,45.410,45.898,45.410
1532404014.197,40.527,38.086,44.434,38.574,35.645
1532404014.201,-0.488,54.199,32.715,0.977,29.785
1532404014.205,-24.414,20.020,40.527,17.090,8.789
1532404014.208,12.695,17.090,41.992,38.574,6.836
1532404014.212,33.691,54.199,35.645,18.066,11.719
1532404014.216,30.273,31.738,45.410,19.043,-18.066
1532404014.220,-5.371,27.832,37.109,33.203,-10.254
1532404014.224,-5.371,36.133,31.738,25.879,8.789
1532404014.228,33.691,36.133,25.391,-0.488,18.555
1532404014.232,66.895,43.945,33.691,27.832,12.207
1532404014.236,61.523,49.805,41.992,20.996,0.977
1532404014.240,40.527,31.250,33.691,10.742,39.551
1532404014.244,52.734,37.598,22.461,2.441,40.039
1532404014.248,46.387,55.176,16.602,-12.695,21.484
1532404014.251,13.184,38.574,27.832,16.602,34.668
1532404014.255,13.184,31.250,40.527,25.391,16.602
1532404014.259,45.410,29.785,41.992,27.832,28.809
1532404014.263,26.367,19.043,40.039,34.668,70.312
1532404014.267,40.527,26.855,38.086,13.184,46.875
1532404014.271,62.988,32.715,35.645,26.367,16.602
1532404014.275,37.598,33.203,34.180,29.785,6.348
1532404014.279,11.719,20.020,38.086,18.066,14.648
1532404014.283,-10.254,22.949,39.551,12.695,13.184
1532404014.287,29.297,33.203,43.945,23.438,16.602
1532404014.290,49.805,25.879,54.688,42.480,9.766
1532404014.294,58.105,38.086,42.480,25.391,22.461
1532404014.298,37.109,12.695,27.344,4.395,56.152
1532404014.302,39.062,24.902,24.902,12.695,28.809
1532404014.306,71.777,48.828,37.109,26.367,25.391
1532404014.310,52.734,24.902,37.598,24.902,42.969
1532404014.314,59.570,31.738,35.156,23.438,47.363
1532404014.318,78.613,23.438,39.062,8.301,9.277
1532404014.322,51.758,26.367,32.227,-10.742,-23.438
1532404014.326,-22.461,9.766,43.945,23.926,-8.789
1532404014.330,-5.371,13.184,44.922,34.180,22.461
1532404014.333,67.871,38.086,38.574,12.207,19.043
1532404014.337,60.059,38.574,42.480,38.086,20.996
1532404014.341,34.668,30.273,47.363,40.527,30.273
