timestamps,TP9,AF7,AF8,TP10,Right AUX
1532511616.576,49.805,48.828,34.180,68.359,-437.012
1532511616.580,78.613,50.293,36.133,62.500,-147.949
1532511616.584,72.266,41.504,42.480,68.359,-228.027
1532511616.588,46.387,33.691,41.504,53.223,-485.352
1532511616.591,49.316,44.922,29.297,29.785,-228.027
1532511616.595,36.621,40.527,31.250,24.902,-41.504
1532511616.599,33.203,38.574,41.504,51.270,545.410
1532511616.603,41.016,43.457,36.621,55.664,659.180
1532511616.607,63.477,36.621,41.016,63.965,-264.648
1532511616.611,49.316,41.992,35.645,18.066,-509.277
1532511616.615,-14.160,33.203,34.668,11.719,-593.750
1532511616.619,16.602,31.250,43.457,51.270,-190.430
1532511616.623,74.707,41.992,39.062,65.430,-44.434
1532511616.627,83.008,45.898,42.969,84.961,-428.223
1532511616.631,57.129,44.434,37.598,35.156,-445.801
1532511616.634,16.602,27.344,38.086,5.371,-554.199
1532511616.638,20.020,25.879,41.016,20.020,-22.461
1532511616.642,56.152,44.434,31.250,23.926,479.492
1532511616.646,77.637,39.062,36.133,85.449,205.078
1532511616.650,73.242,33.203,43.457,44.434,-130.371
1532511616.654,-22.949,32.227,46.875,0.000,-517.578
1532511616.658,-14.648,27.344,47.363,83.496,148.438
1532511616.662,104.004,38.086,40.527,36.133,596.191
1532511616.666,70.312,50.293,42.480,-5.371,-300.781
1532511616.670,42.480,45.410,36.133,7.812,-416.016
1532511616.673,68.359,40.527,46.387,67.871,-436.523
1532511616.677,27.832,24.414,58.594,100.586,-4.883
1532511616.681,-18.066,20.996,51.758,75.195,609.863
1532511616.685,66.895,31.250,45.898,61.523,-153.809
1532511616.689,91.309,36.621,43.945,25.879,-70.801
1532511616.693,35.156,41.992,39.551,43.945,206.543
1532511616.697,21.484,35.645,41.504,32.227,-70.801
1532511616.701,39.551,37.109,38.574,15.625,697.754
1532511616.705,36.133,30.762,43.945,74.707,356.934
1532511616.709,37.109,26.367,48.828,55.664,-509.766
1532511616.713,75.195,42.480,40.527,42.969,-589.844
1532511616.716,67.871,47.852,48.340,53.711,-547.852
1532511616.720,48.828,46.875,38.086,6.348,-92.773
1532511616.724,63.477,41.016,37.598,63.965,-237.305
1532511616.728,52.246,36.621,51.758,121.582,-489.746
1532511616.732,54.199,41.016,42.480,34.180,-508.789
1532511616.736,56.152,43.457,33.691,-11.719,-169.434
1532511616.740,35.645,41.504,41.992,71.777,757.812
1532511616.744,16.602,35.645,46.875,65.918,530.273
1532511616.748,28.809,36.133,41.504,50.781,-494.141
1532511616.752,63.965,36.133,36.621,17.090,-621.094
1532511616.756,52.734,32.227,39.551,20.020,-542.969
1532511616.759,32.227,35.645,45.898,102.051,-168.457
1532511616.763,40.527,39.551,42.480,41.016,-224.121
1532511616.767,13.184,29.297,45.898,11.230,-552.734
1532511616.771,3.906,27.832,40.527,67.871,-422.363
1532511616.775,56.641,43.457,33.691,45.898,-426.270
1532511616.779,31.738,35.156,43.945,36.621,-81.543
1532511616.783,18.555,29.297,36.621,47.363,281.250
1532511616.787,21.484,40.039,34.668,33.203,53.223
1532511616.791,9.766,39.551,45.410,61.035,-148.438
1532511616.795,54.199,29.297,50.781,85.449,-493.652
1532511616.798,48.340,32.227,37.598,-19.043,152.832
1532511616.802,25.391,39.062,28.320,-0.977,813.477
1532511616.806,45.898,33.691,43.945,95.215,-84.473
1532511616.810,49.805,35.156,48.340,64.453,-452.148
1532511616.814,21.484,33.203,40.527,24.902,-591.309
1532511616.818,-22.949,22.949,43.457,34.180,-110.840
1532511616.822,-33.203,23.438,44.922,18.066,201.660
1532511616.826,27.344,32.715,41.504,47.852,-360.352
1532511616.830,41.992,36.621,48.340,107.910,-13.184
1532511616.834,64.941,47.852,41.016,63.965,-141.602
1532511616.838,71.777,33.203,41.992,37.598,-48.340
1532511616.841,-16.602,18.555,53.223,33.691,890.137
1532511616.845,-34.180,25.879,42.969,50.293,145.508
1532511616.849,27.344,35.645,33.691,45.898,-562.500
1532511616.853,73.242,47.852,33.203,19.531,-586.914
1532511616.857,68.359,40.039,36.133,23.438,-227.539
1532511616.861,74.707,40.039,36.621,24.902,148.926
1532511616.865,41.992,41.992,38.086,45.898,-376.953
1532511616.869,41.016,38.086,42.969,53.223,-491.211
1532511616.873,-3.418,29.785,42.969,83.008,-388.672
1532511616.877,10.254,32.227,37.598,55.176,-38.086
1532511616.880,81.055,42.969,30.762,16.113,821.777
1532511616.884,62.988,40.527,30.762,55.176,382.324
1532511616.888,-17.578,34.180,39.062,63.477,-469.238
1532511616.892,-51.758,16.113,51.270,53.711,-462.891
1532511616.896,32.227,21.973,49.805,51.758,-477.539
1532511616.900,74.219,44.922,42.480,75.195,-151.367
1532511616.904,41.016,33.691,42.480,71.289,-239.258
1532511616.908,71.289,31.738,44.434,34.180,-430.176
1532511616.912,55.664,32.227,43.945,21.973,-405.273
1532511616.916,23.438,35.645,37.598,43.457,-501.465
1532511616.920,62.988,41.992,37.109,60.059,-132.812
1532511616.923,76.172,41.016,34.180,24.902,326.172
1532511616.927,33.691,38.574,34.180,13.672,276.367
1532511616.931,-18.555,32.715,36.621,77.637,-125.488
1532511616.935,31.250,27.832,43.945,106.934,-552.246
1532511616.939,54.199,27.344,44.434,71.289,276.855
1532511616.943,44.434,28.809,44.434,56.641,726.562
1532511616.947,-1.953,18.066,42.969,32.715,-301.270
1532511616.951,-18.066,23.926,31.250,21.484,-563.477
1532511616.955,98.145,42.969,30.273,45.898,-509.277
1532511616.959,54.688,31.250,36.133,45.410,-36.621
1532511616.963,-18.555,25.391,37.598,58.594,-15.137
1532511616.966,23.926,39.551,43.945,24.902,-513.672
1532511616.970,58.105,35.645,41.504,10.254,-7.812
1532511616.974,73.730,39.062,33.691,70.312,-25.391
1532511616.978,80.078,38.574,39.062,83.496,190.430
1532511616.982,38.086,24.414,49.316,76.660,814.453
1532511616.986,-11.719,20.508,51.270,46.875,-80.078
1532511616.990,6.836,24.414,39.062,11.719,-471.191
