timestamps,TP9,AF7,AF8,TP10,Right AUX
1532385673.909,54.688,32.227,53.223,52.734,92.773
1532385673.912,46.875,39.551,41.504,48.828,43.457
1532385673.916,43.457,33.203,48.340,43.457,-31.250
1532385673.920,46.875,53.711,50.781,37.598,-12.207
1532385673.924,37.598,49.316,51.270,35.156,69.336
1532385673.928,43.945,33.203,54.199,37.109,34.180
1532385673.932,51.758,39.551,56.641,36.621,-69.824
1532385673.936,48.340,40.527,59.082,40.039,-80.078
1532385673.940,45.410,39.551,52.734,43.457,9.277
1532385673.944,41.992,39.551,51.270,48.828,59.082
1532385673.948,48.340,34.668,57.129,57.129,4.395
1532385673.952,62.500,48.340,63.965,61.523,-54.199
1532385673.955,48.828,46.387,60.059,49.316,10.742
1532385673.959,36.621,36.621,50.781,43.945,72.754
1532385673.963,47.852,35.156,51.758,46.387,25.391
1532385673.967,41.504,35.156,50.293,47.363,-10.742
1532385673.971,51.270,34.180,41.992,53.223,-2.930
1532385673.975,49.805,43.945,43.945,47.852,80.566
1532385673.979,40.039,47.363,54.688,49.805,69.824
1532385673.983,43.945,38.086,62.500,51.758,-29.297
1532385673.987,36.621,41.992,54.688,39.062,-23.438
1532385673.991,46.387,39.062,59.082,41.016,31.250
1532385673.995,49.805,41.504,65.430,43.945,41.992
1532385673.998,41.016,48.828,53.711,34.668,-29.297
1532385674.002,36.621,35.645,45.410,29.785,-41.504
1532385674.006,35.156,34.180,48.340,34.668,38.574
1532385674.010,40.039,47.852,50.781,39.551,67.383
1532385674.014,36.621,48.828,43.457,34.180,14.648
1532385674.018,28.320,48.828,50.293,29.297,-13.184
1532385674.022,24.902,34.668,56.152,31.250,35.156
1532385674.026,34.180,32.715,54.199,33.691,86.426
1532385674.030,39.551,46.875,51.758,28.809,37.598
1532385674.034,51.270,35.156,58.105,33.203,-28.320
1532385674.037,46.875,35.645,60.059,33.203,-14.160
1532385674.041,22.949,54.688,46.387,22.949,67.871
1532385674.045,23.926,45.898,36.133,25.391,64.453
1532385674.049,27.344,21.484,29.297,25.391,-35.156
1532385674.053,24.902,30.273,38.574,20.996,7.324
1532385674.057,32.227,48.340,50.293,22.461,104.492
1532385674.061,53.223,48.828,50.293,30.762,91.797
1532385674.065,42.480,42.969,50.781,30.273,25.879
1532385674.069,45.898,30.762,55.664,25.879,-8.789
1532385674.073,60.547,23.926,53.223,27.832,56.641
1532385674.077,47.852,41.016,44.922,24.902,124.023
1532385674.080,47.363,58.594,46.875,23.438,64.453
1532385674.084,56.641,55.176,56.152,40.039,-0.488
1532385674.088,53.223,39.551,56.152,46.387,36.133
1532385674.092,42.480,21.484,47.852,38.574,79.102
1532385674.096,42.480,12.695,45.898,43.945,-0.488
1532385674.100,36.621,16.602,49.316,50.781,-85.938
1532385674.104,33.691,33.203,47.852,49.805,-33.203
1532385674.108,39.062,49.805,39.551,50.293,66.895
1532385674.112,40.039,44.434,40.527,47.852,44.922
1532385674.116,27.832,38.574,47.852,44.922,-45.410
1532385674.119,21.484,43.457,51.270,41.016,-41.504
1532385674.123,29.297,31.738,44.922,33.203,49.805
1532385674.127,26.367,20.020,43.945,36.621,71.777
1532385674.131,31.250,22.949,50.781,35.645,-27.832
1532385674.135,30.273,25.879,45.410,29.297,-50.293
1532385674.139,32.227,29.297,47.852,34.668,36.133
1532385674.143,34.668,37.109,53.711,37.109,104.492
1532385674.147,20.996,34.180,48.340,36.133,42.969
1532385674.151,28.809,25.879,45.898,40.039,-38.574
1532385674.155,33.203,30.762,48.828,38.574,22.461
1532385674.159,33.203,22.949,50.293,38.574,104.004
1532385674.162,35.645,11.719,40.527,44.922,44.922
1532385674.166,28.809,36.621,34.180,37.109,1.953
1532385674.170,34.668,50.293,44.922,36.133,19.043
1532385674.174,48.340,44.434,56.641,45.898,59.570
1532385674.178,32.227,41.016,44.922,38.086,75.684
1532385674.182,25.879,28.809,29.297,26.855,21.973
1532385674.186,27.344,18.555,32.227,24.414,10.742
1532385674.190,32.227,24.414,34.180,30.762,67.871
1532385674.194,31.738,22.461,31.250,33.691,111.328
1532385674.198,39.062,32.715,37.598,41.016,25.391
1532385674.202,49.805,41.016,42.480,45.898,-25.879
1532385674.205,35.645,42.480,32.715,30.273,44.434
1532385674.209,23.438,40.527,25.391,27.832,75.684
1532385674.213,24.414,32.227,29.785,31.250,38.574
1532385674.217,32.227,29.785,32.227,30.762,-32.227
1532385674.221,37.598,34.180,30.762,30.273,9.277
1532385674.225,34.180,24.902,28.809,20.996,113.770
1532385674.229,30.273,24.414,28.320,24.902,64.453
1532385674.233,40.039,37.109,25.879,27.344,-11.719
1532385674.237,49.805,41.992,20.508,25.879,20.508
1532385674.241,47.363,37.109,25.391,35.156,102.539
1532385674.244,36.133,35.156,35.156,36.133,112.305
1532385674.248,31.250,32.227,35.156,32.715,12.695
1532385674.252,38.574,26.367,28.320,35.645,-25.391
1532385674.256,53.711,32.227,31.738,41.016,83.008
1532385674.260,45.410,36.621,29.785,41.504,98.145
1532385674.264,23.926,28.809,13.672,31.250,15.137
1532385674.268,16.602,20.020,12.695,29.297,-13.184
1532385674.272,24.902,10.254,19.043,26.367,24.414
1532385674.276,39.551,19.043,16.602,31.250,88.379
1532385674.280,42.480,35.156,7.812,41.016,39.062
1532385674.284,33.203,36.133,5.371,35.156,-44.434
1532385674.287,35.156,41.016,9.766,30.762,-10.254
1532385674.291,54.199,43.457,15.137,34.180,66.895
1532385674.295,48.340,34.668,18.066,35.645,81.055
1532385674.299,35.156,39.062,17.090,33.691,21.484
1532385674.303,31.250,37.109,18.555,27.832,1.953
1532385674.307,38.574,33.691,23.438,34.668,73.730
1532385674.311,42.480,25.879,17.090,36.621,73.730
1532385674.315,38.086,26.367,6.836,25.391,-6.348
1532385674.319,29.785,23.926,0.977,24.414,-33.203
1532385674.323,24.902,10.742,-5.371,21.484,46.387
1532385674.327,33.691,21.973,-4.395,26.367,118.164
1532385674.330,32.227,40.039,4.395,33.691,42.480
1532385674.334,36.133,45.410,6.836,38.574,-42.969
1532385674.338,39.551,39.551,-0.488,34.180,-2.441
1532385674.342,32.227,35.156,-6.348,27.832,90.332
1532385674.346,34.668,34.668,-3.906,34.668,73.730
1532385674.350,28.809,36.133,-9.766,33.203,-17.090
1532385674.354,24.902,16.113,-13.184,26.855,1.465
1532385674.358,32.227,1.953,0.977,29.785,65.430
1532385674.362,35.645,13.672,6.836,28.809,52.734
1532385674.366,36.621,20.020,3.906,34.668,19.531
1532385674.369,35.645,39.062,-4.395,35.156,14.648
1532385674.373,30.273,53.223,-8.301,37.598,89.844
1532385674.377,19.043,46.387,-3.906,38.574,98.633
1532385674.381,21.484,42.969,3.418,35.645,27.344
1532385674.385,37.109,39.551,7.812,36.133,1.953
1532385674.389,31.250,31.250,0.488,33.691,58.105
1532385674.393,27.344,30.273,-2.441,29.785,101.074
1532385674.397,34.668,27.344,0.977,25.879,34.668
1532385674.401,26.367,27.832,1.953,30.762,-29.785
1532385674.405,30.273,34.180,0.977,33.203,22.461
1532385674.409,37.109,29.297,0.488,37.109,111.328
1532385674.412,33.203,22.949,3.418,35.156,35.645
1532385674.416,36.133,29.785,2.930,29.297,-67.383
1532385674.420,35.156,38.574,-0.977,35.156,-23.438
1532385674.424,39.062,37.598,6.836,43.945,71.777
1532385674.428,40.039,35.645,17.578,43.945,57.617
1532385674.432,29.785,35.645,10.742,35.645,-11.719
1532385674.436,29.785,35.645,0.977,31.250,-16.113
1532385674.440,33.203,36.133,-3.906,34.180,47.852
1532385674.444,45.898,40.039,3.418,46.875,70.312
1532385674.448,48.340,31.738,10.742,50.781,16.113
1532385674.452,39.551,28.809,10.742,42.480,-33.203
1532385674.455,56.641,45.410,15.137,46.387,-15.137
1532385674.459,56.152,38.574,8.789,51.270,71.289
1532385674.463,46.875,24.414,-1.953,47.852,54.688
1532385674.467,45.898,40.039,5.371,46.875,-11.230
1532385674.471,36.133,51.270,19.531,50.293,13.672
1532385674.475,30.762,41.016,14.648,47.363,80.566
1532385674.479,25.391,36.133,10.254,41.992,62.500
1532385674.483,31.738,26.367,12.695,41.992,-18.066
1532385674.487,41.992,21.484,13.184,38.574,0.977
1532385674.491,46.387,26.855,0.977,36.621,89.844
1532385674.494,49.805,30.762,-1.953,36.621,70.801
1532385674.498,52.734,33.691,9.277,46.875,-10.742
1532385674.502,37.109,33.691,13.184,51.270,-33.203
1532385674.506,28.809,46.875,9.766,47.363,62.500
1532385674.510,54.199,51.270,15.625,53.711,93.750
1532385674.514,59.082,41.992,16.602,54.199,-22.949
1532385674.518,33.691,37.109,5.371,42.480,-39.062
1532385674.522,37.109,37.109,-0.977,36.621,50.781
1532385674.526,40.527,38.086,0.977,34.668,99.609
1532385674.530,39.551,38.086,9.766,29.785,56.152
1532385674.534,41.992,35.645,9.766,35.645,-10.742
1532385674.537,38.086,35.156,3.906,42.480,6.836
1532385674.541,50.293,39.551,7.324,43.945,74.219
1532385674.545,58.105,43.945,14.648,50.293,61.523
1532385674.549,45.410,41.016,10.742,42.969,-11.719
1532385674.553,47.363,44.434,2.930,38.086,-19.043
1532385674.557,56.641,44.922,3.906,46.387,53.223
1532385674.561,48.828,46.875,3.418,40.039,74.219
1532385674.565,41.016,47.852,4.883,35.645,19.531
1532385674.569,35.156,36.621,8.789,37.109,-24.902
1532385674.573,46.875,37.598,3.906,37.598,21.484
1532385674.576,44.922,33.691,5.859,41.992,103.027
1532385674.580,45.410,24.902,8.301,52.734,39.551
1532385674.584,49.805,25.879,1.953,50.781,-22.461
1532385674.588,32.715,31.250,10.254,45.410,22.461
1532385674.592,28.809,46.387,12.695,37.109,48.828
1532385674.596,40.527,56.641,10.742,36.133,20.020
1532385674.600,46.875,43.945,15.137,46.387,-43.945
1532385674.604,40.039,40.527,11.230,39.551,-0.488
1532385674.608,43.945,32.227,7.812,35.156,114.746
1532385674.612,45.410,20.020,6.348,37.598,68.848
1532385674.616,36.621,33.691,5.371,35.645,-0.977
1532385674.619,30.273,35.156,7.324,27.832,-4.883
1532385674.623,31.250,15.137,8.301,26.855,40.527
1532385674.627,40.039,20.020,6.348,27.832,85.938
1532385674.631,38.574,35.156,4.395,26.367,-9.766
1532385674.635,40.527,39.062,3.418,32.715,-37.598
1532385674.639,47.363,48.340,6.836,41.504,69.824
1532385674.643,34.668,53.223,9.766,38.086,102.539
1532385674.647,34.668,45.410,5.371,34.668,23.438
1532385674.651,48.340,35.156,8.789,34.180,-39.062
1532385674.655,32.715,28.320,12.695,27.832,5.859
1532385674.659,27.344,26.367,11.230,33.691,81.055
1532385674.662,42.969,28.320,20.020,45.410,41.504
1532385674.666,42.480,19.531,20.020,35.156,-23.438
1532385674.670,29.297,18.555,13.672,34.668,-13.672
1532385674.674,25.391,36.133,13.184,36.621,62.012
1532385674.678,28.809,45.898,11.719,29.297,60.059
1532385674.682,28.320,36.133,13.672,26.367,-0.488
1532385674.686,25.879,35.156,20.020,27.832,0.000
1532385674.690,31.250,45.898,20.508,27.832,62.988
1532385674.694,26.855,45.410,7.812,14.160,67.383
1532385674.698,10.742,43.457,6.836,9.277,7.812
1532385674.701,17.090,25.391,11.719,19.043,-28.320
1532385674.705,24.414,19.043,13.184,25.879,57.129
1532385674.709,19.531,23.438,12.695,27.344,103.516
1532385674.713,15.625,35.156,7.324,23.926,13.184
1532385674.717,15.625,40.527,8.789,24.902,-44.434
1532385674.721,25.391,37.109,14.160,29.297,12.207
1532385674.725,38.086,34.668,12.695,35.156,78.125
1532385674.729,42.480,24.902,7.812,39.062,45.898
1532385674.733,41.016,30.762,19.531,38.574,-42.480
1532385674.737,38.086,24.902,20.996,34.668,-37.598
1532385674.741,26.855,18.066,7.812,24.414,70.801
1532385674.744,27.344,33.203,9.766,26.855,97.168
1532385674.748,41.504,36.133,19.531,38.574,-8.789
1532385674.752,44.434,13.184,22.949,39.062,-68.848
1532385674.756,30.273,23.926,10.742,31.738,37.109
1532385674.760,32.715,38.086,9.277,39.062,106.445
1532385674.764,42.969,34.180,19.531,41.504,44.922
1532385674.768,36.133,31.738,20.020,31.738,-20.996
1532385674.772,46.875,39.551,23.438,38.086,31.250
1532385674.776,48.340,43.945,21.484,41.504,82.031
1532385674.780,33.203,38.574,10.742,33.691,36.621
1532385674.784,40.527,35.156,13.672,30.273,-4.883
1532385674.787,58.105,26.855,7.812,30.273,27.344
1532385674.791,57.129,35.645,1.953,34.180,65.918
1532385674.795,44.434,38.574,17.090,26.855,38.086
1532385674.799,47.852,27.344,27.344,22.949,1.953
1532385674.803,46.387,39.062,21.973,23.926,10.742
1532385674.807,41.504,49.316,13.184,29.297,62.012
1532385674.811,42.969,31.250,12.207,33.203,59.082
1532385674.815,36.621,23.438,14.160,31.738,-2.930
1532385674.819,31.738,44.922,16.602,40.039,-26.367
