timestamps,TP9,AF7,AF8,TP10,Right AUX
1532392082.369,11.719,20.020,23.438,44.922,-10.742
1532392082.373,24.902,20.508,24.902,45.898,-18.555
1532392082.377,19.531,22.461,23.926,66.406,-44.922
1532392082.381,13.184,23.438,22.949,49.316,-39.551
1532392082.385,30.762,24.902,19.531,27.344,-24.414
1532392082.389,34.668,25.391,18.066,40.039,-55.176
1532392082.393,24.902,25.879,19.043,45.410,-46.875
1532392082.397,17.090,21.484,20.996,49.316,-23.926
1532392082.401,22.949,20.508,21.973,63.477,-18.066
1532392082.405,11.230,24.414,21.973,43.457,-8.789
1532392082.408,21.484,22.949,23.438,62.012,-34.180
1532392082.412,20.996,19.531,23.926,62.500,-39.551
1532392082.416,26.367,24.414,19.531,0.977,-21.484
1532392082.420,28.320,28.809,15.625,0.977,-1.465
1532392082.424,9.277,28.809,13.184,21.484,-37.109
1532392082.428,8.301,25.879,17.090,40.039,-48.828
1532392082.432,23.926,22.949,21.484,37.598,-23.926
1532392082.436,29.297,24.902,22.461,40.527,-0.977
1532392082.440,23.438,23.438,23.438,34.180,-19.043
1532392082.444,29.785,22.949,22.949,31.738,-39.551
1532392082.448,21.973,26.367,20.020,35.645,-23.438
1532392082.451,10.742,29.297,20.508,40.039,8.789
1532392082.455,12.695,27.344,23.926,47.363,21.973
1532392082.459,20.508,20.996,23.926,46.875,-22.949
1532392082.463,20.996,21.973,20.996,50.781,-23.438
1532392082.467,32.227,27.344,20.996,86.914,11.719
1532392082.471,21.973,29.785,17.090,41.504,23.438
1532392082.475,8.301,26.855,16.113,0.488,2.930
1532392082.479,7.812,22.949,23.438,42.480,-16.113
1532392082.483,10.254,27.832,20.508,36.621,-8.789
1532392082.487,20.508,31.738,17.578,20.996,18.555
1532392082.490,28.320,28.320,18.066,30.762,-8.789
1532392082.494,20.996,28.320,15.625,32.715,-16.602
1532392082.498,4.395,29.785,17.090,29.785,-14.648
1532392082.502,13.672,29.297,15.625,22.461,-20.996
