timestamps,TP9,AF7,AF8,TP10,Right AUX
1532510681.868,41.504,34.668,52.246,23.926,140.137
1532510681.872,41.504,36.133,54.688,24.414,96.191
1532510681.876,18.555,37.598,50.781,13.184,-39.062
1532510681.880,21.973,30.273,51.270,21.973,11.719
1532510681.884,46.875,31.738,48.340,50.781,167.969
1532510681.887,28.809,38.574,41.504,24.414,112.793
1532510681.891,2.441,36.621,42.480,-20.996,-56.152
1532510681.895,10.742,34.180,43.457,0.977,-158.691
1532510681.899,27.832,33.691,41.504,2.930,-50.781
1532510681.903,27.832,36.621,40.039,0.977,132.812
1532510681.907,17.578,37.109,39.551,19.043,53.711
1532510681.911,20.996,39.062,38.086,30.762,-18.555
1532510681.915,30.273,41.016,38.086,31.250,36.133
1532510681.919,42.969,40.039,36.621,4.395,141.113
1532510681.923,36.133,36.621,38.086,-23.438,123.047
1532510681.927,21.484,32.715,40.527,-5.371,2.441
1532510681.930,11.230,34.180,39.062,33.203,37.598
1532510681.934,22.949,36.133,40.527,25.879,101.074
1532510681.938,23.926,37.109,41.504,-10.254,41.992
1532510681.942,19.531,35.156,37.598,-2.441,-34.180
1532510681.946,30.762,34.180,39.062,22.949,-15.137
1532510681.950,33.203,35.645,41.504,21.973,163.086
1532510681.954,12.207,33.203,41.992,-5.859,131.836
1532510681.958,2.930,34.180,39.551,-10.742,-87.891
1532510681.962,17.090,30.762,40.527,16.602,-41.016
1532510681.966,34.668,32.227,40.527,14.648,116.211
1532510681.970,47.852,37.109,40.039,1.465,191.895
1532510681.973,23.926,33.691,41.992,14.160,61.523
1532510681.977,16.602,29.297,41.504,12.207,-31.250
1532510681.981,19.531,29.297,42.969,-4.395,22.461
1532510681.985,16.113,34.180,40.527,0.977,76.172
1532510681.989,37.109,37.598,37.109,10.742,75.684
1532510681.993,41.504,38.574,41.504,35.156,-34.180
1532510681.997,40.039,37.598,45.898,21.484,-105.469
1532510682.001,35.156,34.668,39.062,-5.859,44.434
1532510682.005,41.992,32.227,37.109,20.996,121.582
1532510682.009,41.992,31.250,44.922,27.832,30.762
1532510682.012,29.785,30.762,46.387,21.973,-21.973
1532510682.016,27.344,30.273,43.457,26.855,75.684
1532510682.020,29.785,26.367,43.945,22.949,169.434
1532510682.024,25.879,23.438,44.434,12.695,49.805
1532510682.028,29.297,25.391,44.922,0.977,-56.152
1532510682.032,36.621,27.832,46.387,20.020,25.879
1532510682.036,28.320,30.273,46.875,22.461,51.758
1532510682.040,23.926,31.738,42.969,-1.953,-8.789
1532510682.044,21.484,29.785,43.457,3.418,-7.324
1532510682.048,50.781,28.809,45.410,15.137,54.199
1532510682.052,56.152,28.809,44.434,23.438,165.527
1532510682.055,26.855,28.320,41.504,7.324,83.984
1532510682.059,34.180,29.297,39.062,-2.441,-20.508
1532510682.063,23.926,28.320,40.039,16.113,6.836
1532510682.067,18.066,23.438,42.969,22.461,124.023
1532510682.071,36.133,23.438,43.945,3.418,167.480
1532510682.075,31.250,27.344,39.551,2.441,0.977
1532510682.079,27.832,27.832,37.598,12.207,-76.172
1532510682.083,20.508,25.391,41.992,7.324,64.941
1532510682.087,17.090,28.809,42.969,7.324,145.020
1532510682.091,39.062,28.809,40.039,9.277,62.012
1532510682.095,43.945,29.297,40.527,11.230,-94.238
1532510682.098,19.531,30.762,41.504,-10.742,-69.336
1532510682.102,12.695,29.297,39.551,0.488,136.719
1532510682.106,32.227,30.762,37.598,21.484,85.938
1532510682.110,22.461,31.250,37.598,-14.160,-19.531
1532510682.114,15.137,31.738,40.527,-5.859,16.113
1532510682.118,27.344,32.227,37.109,-0.977,150.391
1532510682.122,15.625,30.273,37.109,29.785,102.051
1532510682.126,31.738,30.273,42.969,32.227,-70.801
1532510682.130,33.691,30.762,37.109,-25.879,-26.367
1532510682.134,25.879,31.738,35.156,-7.324,70.312
1532510682.137,50.293,33.203,40.039,22.461,8.301
1532510682.141,41.504,33.203,40.039,3.418,-56.641
1532510682.145,10.254,29.297,41.016,12.207,-19.043
1532510682.149,16.113,27.832,41.504,35.156,117.676
1532510682.153,31.738,32.715,35.645,-7.812,149.414
1532510682.157,37.109,38.574,35.156,-11.230,13.184
1532510682.161,45.410,40.527,38.574,18.555,-37.109
1532510682.165,29.297,35.645,36.621,18.066,53.711
1532510682.169,28.320,31.738,38.574,24.902,131.348
1532510682.173,43.945,32.227,39.551,12.207,50.781
1532510682.177,22.461,33.691,36.133,-4.395,-131.836
1532510682.180,18.066,28.809,37.109,21.973,-43.945
1532510682.184,27.344,25.879,39.062,20.020,180.176
1532510682.188,42.480,29.785,40.039,26.855,146.484
1532510682.192,55.664,31.738,39.551,39.551,13.672
1532510682.196,28.320,34.180,34.668,2.930,-30.762
1532510682.200,21.973,32.715,34.668,-5.371,124.512
1532510682.204,36.621,30.273,39.551,3.418,149.902
1532510682.208,42.969,30.273,39.551,15.625,21.973
1532510682.212,25.879,27.832,35.156,25.879,13.184
1532510682.216,17.090,26.855,34.180,5.371,48.828
1532510682.219,41.992,26.367,36.621,17.578,84.961
1532510682.223,24.902,24.414,41.016,36.621,22.949
1532510682.227,0.488,24.902,36.133,0.000,-27.832
1532510682.231,24.414,27.344,32.227,-12.695,66.406
1532510682.235,31.738,29.297,38.574,2.930,69.336
1532510682.239,20.996,29.785,36.133,8.301,24.414
1532510682.243,26.855,29.297,28.809,6.348,1.465
1532510682.247,28.320,30.273,26.855,12.207,24.902
1532510682.251,51.758,30.762,24.902,30.273,153.809
1532510682.255,55.176,33.203,24.902,19.043,53.223
1532510682.259,14.648,30.273,28.320,-3.418,-66.895
1532510682.262,23.926,24.902,29.785,12.207,-37.598
1532510682.266,30.762,26.855,27.344,21.484,18.555
1532510682.270,22.949,28.320,27.344,20.508,130.859
1532510682.274,41.016,34.668,23.438,13.184,-8.789
1532510682.278,26.855,36.621,21.484,-7.812,-95.215
1532510682.282,-6.348,26.855,29.785,0.000,91.309
1532510682.286,0.000,26.855,31.738,1.953,172.852
1532510682.290,12.207,30.273,29.785,15.137,91.309
1532510682.294,32.715,30.762,27.832,28.320,-59.570
1532510682.298,35.156,28.320,28.809,14.648,-55.176
1532510682.302,24.902,22.949,31.250,4.883,126.465
1532510682.305,31.250,31.250,29.297,6.836,106.934
1532510682.309,40.527,37.109,28.320,12.207,-39.062
1532510682.313,43.945,32.227,26.367,19.531,-83.984
1532510682.317,40.527,34.180,24.902,42.480,31.738
1532510682.321,15.137,33.203,26.855,4.395,117.676
1532510682.325,3.906,33.203,24.902,-26.855,19.531
1532510682.329,11.230,35.156,23.438,0.977,-4.395
1532510682.333,13.184,35.645,25.391,7.812,75.684
1532510682.337,38.086,36.621,27.344,9.277,82.520
1532510682.341,44.434,32.227,29.785,12.695,44.434
1532510682.344,31.250,29.785,31.250,48.340,-4.883
1532510682.348,19.043,30.762,31.738,38.086,79.590
1532510682.352,19.043,28.809,33.203,3.418,179.199
1532510682.356,25.879,30.762,32.227,13.672,12.207
1532510682.360,45.898,35.645,31.738,23.438,-94.727
1532510682.364,40.039,34.668,29.785,13.672,32.715
1532510682.368,19.043,33.203,26.855,15.625,154.785
1532510682.372,20.508,34.180,26.367,21.484,140.137
1532510682.376,26.367,33.691,28.809,26.855,-85.449
1532510682.380,33.691,30.273,30.273,32.715,-103.027
1532510682.384,18.066,26.855,30.273,6.836,132.812
1532510682.387,33.691,28.809,29.785,-2.441,179.199
1532510682.391,31.250,30.273,31.738,19.043,28.320
1532510682.395,8.789,29.297,30.273,7.812,-62.988
1532510682.399,19.531,31.738,26.855,24.902,66.406
1532510682.403,30.762,31.250,29.297,30.762,130.859
1532510682.407,26.855,28.809,25.391,-4.883,-0.488
1532510682.411,30.762,31.250,22.461,7.324,-9.766
1532510682.415,44.922,34.668,20.020,15.625,-5.859
1532510682.419,9.277,33.691,18.555,6.348,51.758
1532510682.423,-7.324,32.227,20.508,26.855,51.270
1532510682.427,14.160,33.203,15.625,4.883,-72.754
1532510682.430,32.227,28.809,17.090,-6.836,32.227
1532510682.434,26.855,28.320,21.973,13.672,137.207
1532510682.438,38.086,29.785,17.090,13.184,84.473
1532510682.442,54.199,31.738,16.113,26.855,-27.344
1532510682.446,26.855,35.156,19.531,20.020,-5.371
1532510682.450,22.461,32.715,15.625,3.418,93.262
1532510682.454,15.625,29.297,15.625,-5.859,25.879
1532510682.458,21.973,30.273,16.113,-0.488,-103.027
1532510682.462,44.434,32.715,9.277,-8.301,-17.090
1532510682.466,48.828,34.180,12.207,-4.883,136.230
1532510682.469,38.574,31.738,20.508,20.508,199.219
1532510682.473,26.855,31.738,18.555,19.531,81.543
1532510682.477,20.508,32.227,14.648,25.391,-57.129
1532510682.481,25.879,32.227,15.137,20.020,41.016
1532510682.485,43.945,31.738,18.555,6.836,136.230
1532510682.489,38.086,32.715,23.926,26.855,73.730
1532510682.493,40.527,37.109,24.414,22.461,-33.203
1532510682.497,27.344,38.086,21.973,3.418,-57.617
1532510682.501,13.184,34.668,24.414,13.672,34.180
1532510682.505,22.461,33.691,27.832,11.230,62.012
1532510682.509,20.996,36.621,26.367,11.230,-10.254
1532510682.512,40.039,37.598,21.973,39.551,11.719
1532510682.516,57.129,38.086,19.531,23.438,21.484
1532510682.520,38.574,36.621,18.066,-5.371,48.828
1532510682.524,22.461,34.180,20.020,21.973,34.668
1532510682.528,26.367,31.738,22.461,40.039,-15.137
1532510682.532,26.855,29.785,20.020,15.625,75.195
1532510682.536,41.016,32.227,20.020,9.766,140.137
1532510682.540,36.133,34.180,18.555,18.555,61.035
1532510682.544,22.461,32.227,19.531,25.879,-74.707
1532510682.548,34.668,30.762,21.973,24.902,-21.484
1532510682.552,31.738,28.320,24.902,13.672,154.297
1532510682.555,27.832,30.273,24.414,10.742,-29.297
1532510682.559,41.992,32.227,22.949,4.395,-193.359
1532510682.563,43.945,27.832,25.879,17.578,-7.324
1532510682.567,20.508,28.809,27.832,23.926,140.625
1532510682.571,29.785,31.250,28.809,-4.883,147.461
1532510682.575,40.039,30.762,33.203,11.230,1.465
1532510682.579,26.855,31.738,32.715,26.367,-30.273
1532510682.583,21.973,31.250,32.715,25.391,117.676
1532510682.587,30.273,31.250,34.180,13.184,153.320
1532510682.591,52.246,35.645,32.715,-4.395,28.320
1532510682.594,43.945,36.133,34.180,19.043,-142.578
1532510682.598,28.320,29.785,37.598,18.066,-72.266
1532510682.602,51.270,31.738,37.109,0.488,169.922
1532510682.606,41.992,34.668,35.156,19.043,86.914
1532510682.610,17.578,25.879,39.062,1.465,-30.273
1532510682.614,37.598,24.414,37.598,-15.625,24.902
1532510682.618,51.758,30.762,33.203,9.766,103.027
1532510682.622,47.852,31.250,32.227,21.973,88.867
1532510682.626,47.363,31.250,33.691,12.207,-11.230
1532510682.630,37.109,30.273,36.621,-2.441,13.184
1532510682.634,33.203,27.832,39.062,8.789,96.680
1532510682.637,30.762,29.297,41.016,45.410,48.340
1532510682.641,40.039,27.832,41.992,46.875,-55.176
1532510682.645,31.738,23.926,39.551,-2.930,-42.480
1532510682.649,32.715,22.949,41.992,39.551,125.977
1532510682.653,22.949,27.344,40.527,53.223,158.203
1532510682.657,-6.348,24.902,36.621,-6.348,-74.219
1532510682.661,12.207,23.438,35.645,-13.184,-102.539
1532510682.665,28.320,23.926,39.551,18.555,61.035
1532510682.669,27.832,23.926,36.621,17.578,166.016
1532510682.673,16.113,23.926,38.574,3.906,62.012
1532510682.676,16.602,21.484,41.992,8.301,-87.402
1532510682.680,38.086,24.902,37.109,17.090,33.203
1532510682.684,24.902,26.367,37.109,28.809,121.582
1532510682.688,5.371,21.484,41.016,10.254,48.828
1532510682.692,14.648,24.902,37.109,-0.977,-11.719
1532510682.696,25.391,29.297,32.227,-4.883,-120.117
1532510682.700,23.438,24.902,40.039,10.254,7.324
1532510682.704,45.410,26.855,41.016,19.043,143.555
1532510682.708,42.480,34.180,34.180,7.812,23.926
1532510682.712,13.184,33.691,34.668,6.348,2.441
1532510682.716,27.344,32.227,38.574,41.992,67.871
1532510682.719,30.762,33.203,37.109,27.832,142.578
1532510682.723,37.598,30.273,37.598,-15.137,44.922
1532510682.727,35.645,28.809,41.016,-13.672,-25.391
1532510682.731,20.020,34.180,38.574,39.062,69.824
1532510682.735,26.367,37.598,34.668,36.133,28.809
1532510682.739,33.691,36.621,33.691,-28.809,-18.555
1532510682.743,32.227,29.297,40.527,-10.254,-13.672
1532510682.747,20.020,28.320,41.504,15.625,14.160
1532510682.751,10.254,34.180,36.621,32.227,157.715
1532510682.755,48.828,37.109,37.598,27.832,134.766
1532510682.759,52.734,37.109,36.621,3.906,0.977
1532510682.762,20.020,36.621,33.691,11.719,8.301
1532510682.766,24.902,38.086,35.156,27.832,119.141
1532510682.770,47.852,40.039,32.715,33.691,152.832
1532510682.774,54.688,38.574,34.668,55.664,18.555
1532510682.778,42.969,35.645,40.527,12.207,-87.402
1532510682.782,36.621,33.691,38.574,-25.879,9.277
1532510682.786,31.738,36.621,35.645,23.926,130.859
1532510682.790,33.203,39.062,34.668,40.527,86.914
1532510682.794,25.391,38.574,37.109,2.441,-75.195
1532510682.798,32.227,41.992,34.668,5.371,-130.371
1532510682.801,51.270,38.574,33.203,32.715,92.285
1532510682.805,49.805,33.691,34.668,23.926,134.766
1532510682.809,32.227,34.180,36.133,20.020,22.949
1532510682.813,29.297,37.598,32.715,14.160,-12.207
1532510682.817,50.781,37.109,32.227,26.855,62.500
1532510682.821,58.594,32.715,36.621,27.344,127.441
1532510682.825,30.762,31.250,37.109,6.836,-47.852
1532510682.829,20.996,33.691,36.133,13.672,-69.824
1532510682.833,41.016,38.574,33.691,37.109,66.406
1532510682.837,33.691,40.527,34.180,9.766,7.324
1532510682.841,29.785,38.574,33.691,-18.066,-49.316
1532510682.844,41.016,33.691,30.762,0.000,-54.199
1532510682.848,49.316,31.738,32.715,23.438,40.039
1532510682.852,34.180,33.691,37.598,27.832,137.695
1532510682.856,36.133,30.762,35.645,16.602,33.691
1532510682.860,55.664,32.227,34.668,5.371,-19.043
1532510682.864,38.574,36.133,38.574,31.738,56.152
1532510682.868,15.625,34.180,39.062,41.992,157.227
1532510682.872,8.301,34.180,35.156,13.184,85.938
1532510682.876,35.645,35.645,32.227,-12.695,-179.199
1532510682.880,40.527,33.203,37.109,24.902,-118.652
1532510682.884,18.066,29.785,35.156,17.090,158.203
1532510682.887,23.438,32.227,30.273,11.230,162.109
1532510682.891,46.387,33.203,33.691,20.996,35.156
1532510682.895,38.574,33.691,34.668,9.766,-39.062
1532510682.899,1.953,35.645,36.621,18.555,85.938
1532510682.903,8.301,33.691,40.039,27.344,162.598
1532510682.907,36.133,36.621,35.645,20.996,50.781
1532510682.911,51.270,36.621,34.180,14.648,-14.160
1532510682.915,32.227,34.180,38.086,30.273,51.758
1532510682.919,13.672,33.691,39.551,21.484,110.840
1532510682.923,8.789,29.297,37.598,19.531,0.000
1532510682.926,15.625,29.785,34.668,23.438,-85.449
1532510682.930,33.203,32.715,36.133,23.438,23.926
1532510682.934,36.621,33.203,38.574,26.367,58.594
