timestamps,TP9,AF7,AF8,TP10,Right AUX
1532402218.741,43.457,31.250,30.273,26.855,16.113
1532402218.744,41.016,33.203,28.809,23.438,12.695
1532402218.748,41.016,24.414,28.809,24.414,20.020
1532402218.752,51.270,39.551,41.992,39.551,22.461
1532402218.756,50.781,37.109,30.273,37.598,-23.438
1532402218.760,39.062,11.719,23.926,29.785,-30.273
1532402218.764,26.855,19.531,32.227,37.598,39.551
1532402218.768,22.949,30.762,33.691,41.504,39.062
1532402218.772,38.574,58.594,47.363,48.340,-12.695
1532402218.776,40.527,50.293,40.527,44.434,-9.277
1532402218.780,27.832,9.277,17.578,23.926,45.410
1532402218.784,53.711,10.254,13.184,39.551,32.227
1532402218.787,70.312,50.781,32.227,63.477,-15.625
1532402218.791,22.461,44.434,47.363,23.926,4.883
1532402218.795,-4.395,6.836,45.898,-2.441,33.691
1532402218.799,10.254,18.555,41.992,7.812,20.996
1532402218.803,3.906,28.809,38.086,6.836,26.367
1532402218.807,-3.418,27.832,44.434,1.465,23.438
1532402218.811,2.441,40.527,43.945,-3.418,-6.348
1532402218.815,-1.465,36.133,39.551,-13.184,0.977
1532402218.819,2.441,19.043,40.039,-11.230,18.555
1532402218.823,14.160,6.348,36.621,-7.812,8.301
1532402218.826,22.461,8.301,35.156,-5.859,20.996
1532402218.830,34.180,21.973,34.668,-6.348,21.973
1532402218.834,43.457,29.297,34.668,-1.953,28.809
1532402218.838,46.387,31.250,34.180,-2.930,23.438
1532402218.842,41.016,34.668,35.645,2.930,10.742
1532402218.846,33.691,56.152,41.504,20.020,41.504
1532402218.850,28.320,46.875,39.551,20.508,44.922
1532402218.854,15.137,12.695,29.297,20.508,20.020
1532402218.858,7.812,22.461,28.320,27.344,27.344
1532402218.862,4.395,28.320,33.691,21.484,38.574
1532402218.866,-2.930,19.043,32.715,20.020,49.316
1532402218.869,-3.418,23.438,30.762,20.996,25.879
1532402218.873,6.836,28.320,30.762,8.301,-28.809
1532402218.877,9.277,32.227,27.344,12.207,-1.953
1532402218.881,24.902,36.621,29.297,25.391,62.988
1532402218.885,27.344,43.945,33.691,27.344,61.523
1532402218.889,14.160,49.805,35.156,27.344,32.715
1532402218.893,12.695,28.809,30.762,21.484,45.898
