timestamps,TP9,AF7,AF8,TP10,Right AUX
1532384584.763,29.297,26.855,25.391,19.531,80.566
1532384584.767,29.297,39.062,28.320,15.137,62.500
1532384584.771,34.180,39.062,22.461,12.695,27.832
1532384584.775,31.738,28.809,21.973,16.113,42.480
1532384584.779,26.855,19.043,21.484,20.996,67.383
1532384584.783,30.273,16.113,17.578,21.484,31.738
1532384584.787,26.855,20.996,23.926,22.949,-7.812
1532384584.791,30.762,37.598,25.391,18.555,-8.789
1532384584.795,39.551,34.180,25.391,22.461,31.250
1532384584.798,37.109,19.043,28.320,36.133,67.383
1532384584.802,30.762,34.668,23.926,29.297,23.438
1532384584.806,27.832,48.828,23.438,15.137,-2.930
1532384584.810,32.227,47.852,22.949,15.137,47.852
1532384584.814,42.480,44.434,20.020,24.902,59.570
1532384584.818,46.875,41.504,9.277,26.367,75.195
1532384584.822,43.457,43.945,1.953,23.438,46.387
1532384584.826,50.293,34.668,9.277,32.227,55.176
1532384584.830,53.223,30.762,12.207,36.133,83.496
1532384584.834,47.363,37.598,1.953,30.762,59.082
1532384584.838,50.293,42.480,-0.977,31.250,55.664
1532384584.841,57.129,39.062,12.207,25.391,32.227
1532384584.845,51.758,31.738,25.879,20.996,22.949
1532384584.849,41.992,34.180,25.391,20.020,29.785
1532384584.853,46.387,20.508,23.438,14.648,16.113
1532384584.857,46.875,13.672,18.066,21.973,23.926
1532384584.861,37.598,33.691,7.812,25.879,41.992
1532384584.865,33.691,41.016,16.602,20.508,27.832
1532384584.869,37.109,40.039,20.996,22.461,21.484
1532384584.873,38.574,35.645,17.578,28.320,13.672
1532384584.877,38.086,34.180,21.973,27.344,12.207
1532384584.881,40.527,29.297,28.320,25.391,49.316
1532384584.884,48.340,16.113,28.809,29.785,45.898
1532384584.888,43.945,23.926,21.484,27.344,0.000
1532384584.892,38.086,32.227,7.812,19.531,-5.859
1532384584.896,39.062,25.391,10.742,17.578,33.691
1532384584.900,32.227,23.926,18.555,16.602,39.062
1532384584.904,27.344,24.902,21.973,13.184,18.555
1532384584.908,24.414,19.531,28.320,9.277,-1.465
1532384584.912,23.438,12.695,19.043,10.254,2.930
1532384584.916,26.367,3.418,9.277,12.695,17.090
1532384584.920,25.391,7.812,14.648,7.812,19.043
1532384584.923,25.391,28.320,21.973,7.812,19.043
1532384584.927,27.832,40.039,26.855,14.160,19.043
1532384584.931,33.203,40.039,25.879,11.719,34.180
1532384584.935,30.273,34.668,18.555,7.812,43.945
1532384584.939,27.832,28.809,20.020,11.719,45.410
1532384584.943,39.062,25.391,18.066,16.113,47.852
1532384584.947,50.293,22.461,6.836,25.391,52.246
1532384584.951,39.551,18.555,2.441,25.391,56.152
1532384584.955,23.438,17.090,20.020,24.902,38.086
1532384584.959,29.297,19.531,37.598,31.250,41.016
1532384584.963,37.598,21.484,37.109,40.527,56.641
1532384584.966,44.434,17.090,30.273,41.992,43.457
1532384584.970,44.922,18.066,25.879,37.109,22.949
1532384584.974,44.434,28.320,17.090,38.574,36.621
1532384584.978,43.945,30.273,18.555,37.598,18.555
1532384584.982,40.039,20.020,27.832,41.016,32.227
1532384584.986,37.109,16.113,33.203,38.574,54.199
1532384584.990,34.668,17.090,24.414,33.203,-6.348
1532384584.994,26.367,18.066,4.883,24.414,6.348
1532384584.998,20.508,30.762,16.602,14.160,49.805
1532384585.002,22.461,33.691,43.457,24.902,35.645
1532384585.006,28.320,26.367,46.875,32.227,6.348
1532384585.009,30.273,29.297,39.551,28.320,29.785
1532384585.013,33.203,31.738,35.645,27.344,43.945
1532384585.017,36.621,26.855,32.715,30.762,18.555
1532384585.021,37.109,27.832,23.926,27.832,-0.488
1532384585.025,38.086,27.832,22.461,21.973,3.906
1532384585.029,38.086,25.391,34.180,23.438,12.207
1532384585.033,34.180,24.902,38.574,21.484,-3.906
1532384585.037,31.250,11.719,37.598,21.973,-9.766
1532384585.041,39.551,11.230,34.180,25.391,-12.695
1532384585.045,38.574,20.996,27.832,23.438,16.113
1532384585.048,26.855,27.344,29.297,19.531,29.785
1532384585.052,22.949,42.969,32.715,12.207,13.672
1532384585.056,22.949,43.457,31.738,11.230,-0.977
1532384585.060,26.855,39.551,23.438,16.602,-9.766
1532384585.064,23.438,33.691,18.066,15.625,10.742
1532384585.068,20.996,28.320,35.645,15.137,17.578
1532384585.072,29.785,31.250,43.457,15.137,-2.441
1532384585.076,39.551,26.855,38.086,16.602,-3.906
1532384585.080,26.855,24.902,41.504,15.625,19.043
1532384585.084,19.043,23.926,36.133,16.113,41.016
1532384585.088,25.391,26.855,33.203,12.695,-20.508
1532384585.091,24.414,40.039,39.062,7.812,2.930
1532384585.095,28.809,41.504,31.738,15.625,39.062
1532384585.099,29.785,35.645,26.855,19.531,5.371
1532384585.103,25.391,28.809,30.762,18.066,15.137
1532384585.107,26.367,20.508,35.156,16.113,23.926
1532384585.111,31.250,14.648,38.574,13.672,23.926
1532384585.115,32.715,21.484,42.480,17.090,38.574
1532384585.119,32.715,29.785,40.527,20.020,30.762
1532384585.123,31.250,28.809,38.574,17.578,18.555
1532384585.127,30.762,26.367,37.598,18.555,12.695
1532384585.131,35.156,27.832,34.668,19.043,-0.488
1532384585.134,30.273,32.227,36.621,14.160,26.367
1532384585.138,27.832,40.039,28.320,22.461,22.461
1532384585.142,33.691,44.922,22.949,27.344,10.254
1532384585.146,37.598,25.879,34.180,24.902,35.156
1532384585.150,38.086,23.438,35.156,16.113,41.992
1532384585.154,27.344,39.062,35.156,5.371,33.203
1532384585.158,27.832,34.180,38.574,4.883,13.184
1532384585.162,37.598,34.668,24.902,13.184,29.297
1532384585.166,35.645,19.043,18.555,21.973,49.316
1532384585.170,29.785,9.766,31.250,13.184,18.066
1532384585.174,27.344,33.203,32.227,9.766,2.441
1532384585.177,32.715,40.039,35.156,20.996,18.555
1532384585.181,30.762,45.898,41.504,24.414,21.973
1532384585.185,29.785,51.270,49.316,18.066,11.230
1532384585.189,29.297,46.875,36.133,14.160,12.207
1532384585.193,32.715,40.527,17.578,18.555,24.902
1532384585.197,36.133,30.762,30.273,19.531,43.457
1532384585.201,26.367,31.250,41.016,16.602,29.297
1532384585.205,24.902,33.203,43.457,13.184,29.297
1532384585.209,32.227,30.273,34.180,9.766,20.020
1532384585.213,38.574,30.762,18.555,12.695,20.508
1532384585.216,37.598,32.227,21.973,13.672,42.969
1532384585.220,39.551,35.156,33.691,13.672,16.602
1532384585.224,34.180,41.016,29.297,10.742,19.043
1532384585.228,22.949,40.527,25.391,5.859,47.363
1532384585.232,19.531,26.855,37.109,2.930,76.172
1532384585.236,19.531,30.762,38.574,0.977,45.410
1532384585.240,27.344,50.293,33.691,3.418,23.926
1532384585.244,30.762,56.152,32.715,4.883,62.988
1532384585.248,28.320,53.223,30.273,6.836,51.758
1532384585.252,33.203,43.945,20.996,17.090,44.434
1532384585.256,35.645,31.738,18.555,20.020,44.922
1532384585.259,26.855,37.598,34.668,8.301,25.879
1532384585.263,27.344,52.734,43.457,8.301,39.551
1532384585.267,26.367,50.293,39.551,12.695,36.133
1532384585.271,17.090,40.039,28.320,2.441,-4.395
1532384585.275,22.461,44.922,27.832,4.883,12.207
1532384585.279,27.832,38.086,43.945,17.090,40.039
1532384585.283,27.344,20.508,36.133,19.531,41.504
1532384585.287,29.785,30.273,18.066,19.043,36.621
1532384585.291,24.414,45.898,18.066,6.348,14.648
1532384585.295,19.043,58.594,30.273,5.371,24.902
1532384585.299,22.949,66.406,40.527,9.277,37.598
1532384585.302,24.902,53.223,41.504,4.395,34.668
1532384585.306,25.879,44.922,36.621,4.883,33.203
1532384585.310,33.203,55.664,22.461,8.301,8.789
1532384585.314,29.785,53.223,20.508,6.348,19.043
1532384585.318,30.273,44.922,37.109,8.789,20.020
1532384585.322,41.504,49.805,41.016,17.090,-0.488
1532384585.326,31.738,50.293,29.785,10.742,18.555
1532384585.330,26.855,44.434,28.809,8.789,35.645
1532384585.334,35.156,41.016,35.156,15.137,54.199
1532384585.338,32.227,34.180,34.180,14.160,46.387
1532384585.341,26.855,27.832,32.227,15.625,17.578
1532384585.345,25.879,31.738,34.180,14.648,30.273
1532384585.349,20.996,39.062,32.227,12.695,22.461
1532384585.353,17.578,33.203,21.484,9.277,-5.371
1532384585.357,21.973,20.020,14.160,10.254,5.371
1532384585.361,24.414,25.391,24.414,12.695,24.902
1532384585.365,14.648,34.668,36.133,8.789,32.715
1532384585.369,17.090,41.992,38.086,3.418,23.926
1532384585.373,17.578,41.992,29.785,2.441,13.672
1532384585.377,16.602,45.410,26.855,7.812,-10.254
1532384585.381,28.320,59.082,29.785,10.254,5.371
1532384585.384,30.273,49.316,28.809,12.695,20.020
1532384585.388,25.879,30.762,33.203,9.277,17.578
1532384585.392,20.996,40.527,33.691,1.465,14.160
1532384585.396,21.484,54.199,35.645,3.906,32.715
1532384585.400,17.578,56.152,32.227,1.465,43.945
1532384585.404,13.672,56.152,20.996,0.488,23.926
1532384585.408,17.090,57.617,17.090,-4.883,5.859
1532384585.412,23.438,58.105,30.273,-3.418,-7.812
1532384585.416,26.855,54.199,36.133,8.789,8.789
1532384585.420,20.996,46.875,30.273,7.324,28.320
1532384585.424,20.508,47.363,35.645,5.371,34.180
1532384585.427,23.926,51.758,31.250,8.789,40.527
1532384585.431,24.414,41.016,14.648,10.254,21.484
1532384585.435,30.762,43.457,26.367,14.648,21.484
1532384585.439,35.156,53.711,43.945,22.461,30.273
1532384585.443,31.738,49.316,36.621,25.879,40.527
1532384585.447,19.043,56.152,26.855,20.020,57.617
1532384585.451,11.230,66.895,19.531,6.348,28.320
1532384585.455,18.066,59.570,16.113,3.906,25.879
1532384585.459,23.926,45.898,23.438,19.043,49.316
1532384585.463,29.297,37.598,32.715,22.949,75.195
1532384585.467,24.902,39.062,33.203,13.672,72.266
1532384585.470,23.926,37.109,38.086,16.113,43.945
1532384585.474,26.855,20.020,33.203,19.043,61.035
1532384585.478,23.926,28.320,19.531,11.719,44.922
1532384585.482,26.855,42.969,31.250,12.695,50.293
1532384585.486,29.297,43.457,35.156,16.113,69.824
1532384585.490,33.691,39.062,26.855,15.625,30.762
1532384585.494,42.969,28.809,37.109,19.531,0.977
1532384585.498,49.316,36.133,45.410,20.508,41.504
1532384585.502,42.969,47.852,29.785,3.906,72.266
1532384585.506,34.180,53.223,17.578,-14.160,30.273
1532384585.509,42.969,48.340,26.367,-16.602,26.367
1532384585.513,44.922,39.062,26.367,-6.836,55.664
1532384585.517,33.691,43.457,25.879,10.742,29.785
1532384585.521,25.879,46.875,29.785,15.625,11.719
1532384585.525,27.832,43.457,28.809,16.113,15.625
1532384585.529,27.344,36.133,22.949,25.391,39.551
1532384585.533,24.414,30.762,6.836,28.809,57.617
1532384585.537,28.320,32.715,1.465,29.297,56.152
1532384585.541,21.973,41.504,26.367,30.273,35.156
1532384585.545,16.602,50.293,41.992,23.438,37.598
1532384585.549,21.484,49.316,39.551,16.602,55.664
1532384585.552,25.391,46.875,41.016,18.066,16.113
1532384585.556,32.227,40.527,40.039,24.414,16.602
1532384585.560,32.227,34.668,38.574,25.391,33.203
1532384585.564,33.203,38.574,42.480,25.391,51.758
1532384585.568,35.156,39.551,38.086,23.926,28.809
1532384585.572,27.832,33.691,30.273,18.066,-15.625
1532384585.576,31.250,40.039,24.414,22.461,11.230
1532384585.580,37.598,47.363,22.949,31.250,24.414
1532384585.584,27.832,44.922,34.668,26.855,18.555
1532384585.588,29.785,41.504,39.551,23.926,4.395
1532384585.592,36.621,42.969,32.227,25.391,-24.902
1532384585.595,38.086,37.598,31.250,28.809,3.906
1532384585.599,40.527,35.156,40.039,32.715,33.691
1532384585.603,38.086,51.758,43.457,31.250,38.086
1532384585.607,35.645,52.246,43.945,24.902,31.250
1532384585.611,34.180,48.828,27.344,28.809,2.930
1532384585.615,27.832,52.734,11.230,27.832,6.348
1532384585.619,22.461,50.781,28.809,19.531,0.977
1532384585.623,21.484,46.875,41.992,21.484,-3.418
1532384585.627,29.785,41.504,33.691,20.996,12.695
1532384585.631,30.762,31.250,34.668,18.555,-4.395
1532384585.634,22.461,36.133,40.039,18.555,0.488
1532384585.638,20.020,52.734,30.762,22.949,21.973
1532384585.642,20.020,50.781,18.066,25.391,7.324
1532384585.646,24.414,48.340,15.625,24.414,18.066
1532384585.650,22.461,46.875,20.508,23.926,7.324
1532384585.654,23.438,48.340,26.367,21.484,-12.695
1532384585.658,29.785,63.477,24.902,18.555,7.324
1532384585.662,27.344,66.895,23.926,11.230,20.508
1532384585.666,22.461,52.246,22.949,8.789,35.645
1532384585.670,23.438,46.387,9.766,9.766,26.367
1532384585.674,23.438,52.734,7.812,14.648,-14.160
1532384585.677,30.273,53.711,20.508,19.531,10.254
1532384585.681,28.320,47.363,22.949,16.602,39.551
1532384585.685,27.832,53.711,20.508,18.066,30.273
1532384585.689,31.738,64.941,20.508,12.695,-17.578
1532384585.693,20.508,63.965,20.508,8.789,-34.180
1532384585.697,20.996,61.035,21.484,14.648,12.207
1532384585.701,24.902,61.523,8.301,14.160,26.855
1532384585.705,26.367,58.105,6.836,10.254,4.395
1532384585.709,21.484,56.152,27.344,4.883,-1.465
1532384585.713,15.137,55.664,27.832,6.348,4.883
1532384585.717,16.602,39.062,20.508,4.395,20.020
1532384585.720,29.297,27.832,24.902,9.277,-6.348
1532384585.724,33.203,43.457,22.461,20.020,-20.508
1532384585.728,21.973,59.082,19.531,19.531,4.395
1532384585.732,22.461,65.430,16.602,10.254,23.438
1532384585.736,28.809,70.801,12.207,3.418,5.371
1532384585.740,28.809,68.848,20.020,5.371,3.906
1532384585.744,41.992,65.918,13.672,17.578,25.879
1532384585.748,47.852,62.988,11.719,30.762,30.273
1532384585.752,41.016,55.176,20.020,21.973,4.395
1532384585.756,39.062,57.617,11.719,13.184,-6.836
1532384585.760,35.156,63.965,11.230,10.254,16.113
1532384585.763,36.133,66.406,22.461,10.742,45.898
1532384585.767,39.551,64.941,24.414,17.578,34.668
1532384585.771,36.133,62.988,14.648,17.578,-7.812
1532384585.775,34.668,54.688,11.230,14.160,-0.488
1532384585.779,31.738,47.852,11.719,15.625,25.879
1532384585.783,27.344,41.992,12.207,24.902,34.180
1532384585.787,27.832,39.062,23.438,21.484,3.906
1532384585.791,33.691,49.805,27.344,21.484,-9.277
1532384585.795,29.297,54.199,21.484,22.461,11.719
1532384585.799,26.855,54.199,23.438,20.508,44.922
1532384585.802,32.227,51.758,26.367,28.320,39.551
1532384585.806,24.902,53.711,17.090,21.484,10.254
1532384585.810,26.367,55.664,16.113,19.043,41.016
1532384585.814,29.297,49.805,24.902,24.902,56.152
1532384585.818,30.273,53.223,35.156,25.879,33.203
1532384585.822,27.832,50.781,36.621,28.320,34.668
1532384585.826,31.738,41.992,23.926,27.832,32.227
1532384585.830,29.297,45.898,22.949,14.160,26.855
1532384585.834,22.461,50.293,20.508,8.789,41.016
1532384585.838,20.508,44.922,18.555,13.672,32.227
1532384585.842,14.648,47.363,27.344,9.277,26.855
1532384585.845,20.996,39.551,28.320,15.137,41.504
1532384585.849,21.973,34.668,22.949,15.625,41.016
1532384585.853,14.648,45.898,19.531,4.395,56.641
1532384585.857,16.602,39.551,20.996,0.000,36.133
1532384585.861,19.531,30.762,24.414,6.348,-0.488
1532384585.865,20.020,29.297,28.320,14.160,47.852
1532384585.869,31.738,23.438,21.484,19.043,60.059
1532384585.873,29.785,25.879,17.090,18.555,15.137
1532384585.877,22.461,37.109,24.414,17.090,28.320
1532384585.881,30.273,35.645,29.297,21.484,57.617
1532384585.885,29.297,28.809,25.879,24.902,65.430
1532384585.888,20.508,19.531,24.902,20.508,37.598
1532384585.892,24.414,22.461,29.297,17.578,42.480
1532384585.896,25.879,32.227,28.809,16.602,66.895
1532384585.900,18.066,32.715,22.461,8.301,55.664
1532384585.904,19.531,24.414,12.695,8.301,28.809
1532384585.908,31.250,13.184,16.113,15.625,10.254
1532384585.912,36.133,13.184,27.832,15.137,-7.324
1532384585.916,28.809,27.344,31.250,16.602,6.348
1532384585.920,25.391,42.480,23.926,18.066,23.438
1532384585.924,21.973,41.016,25.391,12.695,25.879
1532384585.927,24.902,24.902,25.391,6.348,47.852
1532384585.931,28.809,12.695,17.090,12.695,38.574
1532384585.935,26.855,26.855,15.625,11.230,21.484
1532384585.939,26.367,37.109,16.602,5.371,20.508
1532384585.943,30.762,31.738,15.137,14.160,35.645
1532384585.947,37.598,26.367,12.695,12.695,43.457
1532384585.951,29.297,22.949,15.625,10.742,51.758
1532384585.955,30.762,18.555,26.855,15.137,20.996
1532384585.959,34.180,18.066,28.809,16.602,-10.742
1532384585.963,24.414,31.738,9.277,16.602,13.184
1532384585.967,31.250,32.227,2.441,16.602,31.738
1532384585.970,42.480,18.555,13.184,21.973,-35.156
1532384585.974,38.574,27.344,9.766,20.508,-41.016
