timestamps,TP9,AF7,AF8,TP10,Right AUX
1532384716.937,33.691,22.949,34.668,20.508,17.578
1532384716.941,34.668,28.809,13.672,22.949,26.855
1532384716.945,29.297,41.016,11.719,17.090,35.645
1532384716.949,30.273,41.504,41.992,18.555,35.156
1532384716.953,26.367,39.062,66.406,21.484,18.066
1532384716.957,22.949,33.203,65.918,22.461,-8.789
1532384716.961,27.832,27.344,54.688,15.137,25.879
1532384716.964,35.156,28.320,45.410,19.531,42.480
1532384716.968,37.598,33.203,39.551,20.020,1.465
1532384716.972,32.227,36.621,37.109,15.625,17.578
1532384716.976,30.273,41.016,24.414,15.625,44.922
1532384716.980,32.715,42.480,28.809,16.113,62.500
1532384716.984,37.109,26.855,34.668,22.949,32.227
1532384716.988,41.016,30.762,52.246,28.320,2.441
1532384716.992,42.969,48.828,65.430,28.320,47.852
1532384716.996,42.969,38.574,42.969,29.297,57.617
1532384717.000,37.598,20.996,26.367,32.227,32.227
1532384717.004,31.250,28.320,38.574,25.391,19.531
1532384717.007,26.855,39.551,41.992,12.695,20.508
1532384717.011,28.809,36.621,24.902,11.230,28.809
1532384717.015,35.645,31.250,23.926,22.949,32.715
1532384717.019,37.598,32.715,42.480,29.785,11.230
1532384717.023,36.133,41.504,49.316,27.832,22.461
1532384717.027,40.039,43.457,29.785,29.297,45.898
1532384717.031,44.434,45.898,19.531,32.227,45.410
1532384717.035,49.316,48.340,36.621,24.902,41.504
1532384717.039,51.270,42.480,55.176,20.996,46.875
1532384717.043,36.621,31.250,51.270,17.090,62.988
1532384717.047,34.180,32.227,39.062,16.113,45.898
1532384717.050,40.039,32.227,31.250,21.973,3.418
1532384717.054,37.598,25.879,29.297,21.973,-13.184
1532384717.058,48.340,32.227,15.625,21.484,2.930
1532384717.062,53.223,48.340,16.113,29.297,28.809
1532384717.066,40.039,50.781,23.438,25.391,3.418
1532384717.070,46.387,40.527,30.273,25.879,-34.668
1532384717.074,48.828,34.668,47.363,29.785,-0.488
1532384717.078,40.527,39.062,41.992,29.785,30.762
1532384717.082,45.410,48.828,40.039,32.715,55.664
1532384717.086,45.898,36.621,35.645,24.902,16.602
1532384717.089,45.898,19.531,12.695,23.926,0.488
