timestamps,TP9,AF7,AF8,TP10,Right AUX
1532281044.008,20.508,46.875,42.969,31.738,155.273
1532281044.012,18.066,46.875,45.410,26.367,-20.508
1532281044.016,22.949,44.434,46.387,28.320,-107.910
1532281044.020,29.297,41.992,43.457,35.645,39.062
1532281044.024,30.762,46.387,41.992,38.086,160.645
1532281044.028,24.414,48.828,41.016,36.133,51.270
1532281044.032,26.855,48.828,42.969,33.691,-112.305
1532281044.036,33.691,47.852,42.480,37.109,-17.578
1532281044.040,34.180,44.434,40.527,43.457,189.941
1532281044.043,34.180,42.480,42.969,40.039,144.531
1532281044.047,28.809,43.945,42.969,33.691,-63.477
1532281044.051,26.855,43.945,41.016,31.738,-80.566
1532281044.055,32.227,41.504,40.527,33.691,121.582
1532281044.059,32.227,42.480,41.016,35.156,148.926
1532281044.063,24.902,42.480,41.992,33.691,-43.945
1532281044.067,19.531,39.062,41.016,30.273,-88.379
1532281044.071,22.949,37.109,37.598,28.809,81.543
1532281044.075,26.855,39.062,36.133,32.715,173.828
1532281044.079,25.879,38.574,35.156,30.762,17.090
1532281044.083,25.879,38.086,35.156,28.809,-119.629
1532281044.086,23.438,40.039,32.227,30.273,41.992
1532281044.090,26.855,40.039,28.809,24.414,177.246
1532281044.094,29.785,37.109,30.273,19.043,34.668
1532281044.098,29.297,37.598,31.738,21.484,-118.652
1532281044.102,33.691,41.504,30.762,27.832,-43.945
1532281044.106,34.668,41.016,30.273,29.785,131.348
1532281044.110,26.855,38.574,32.227,25.879,113.770
1532281044.114,21.973,39.062,33.691,23.438,-73.730
1532281044.118,24.902,37.109,32.227,26.367,-77.637
1532281044.122,25.879,36.133,30.273,25.391,117.188
1532281044.126,20.996,36.133,33.203,20.996,162.109
1532281044.129,21.484,35.156,34.668,19.531,-51.270
1532281044.133,20.508,37.109,33.203,12.695,-164.062
1532281044.137,20.996,37.598,33.203,19.531,31.250
1532281044.141,20.508,36.133,33.691,30.273,174.316
1532281044.145,22.461,37.598,31.738,24.414,22.461
1532281044.149,27.344,39.551,29.785,20.996,-152.832
1532281044.153,29.297,38.574,30.273,26.855,-21.484
1532281044.157,30.762,38.574,27.344,27.344,176.270
1532281044.161,26.855,41.504,26.367,22.461,85.938
1532281044.165,23.438,42.480,27.832,20.020,-87.402
1532281044.168,19.531,40.039,33.203,18.555,-42.969
1532281044.172,23.438,39.062,34.180,22.461,128.418
1532281044.176,31.738,41.016,31.738,27.832,120.117
1532281044.180,32.227,42.969,28.809,24.414,-52.246
1532281044.184,22.461,41.504,29.297,17.578,-91.797
1532281044.188,15.625,40.039,31.250,16.113,65.430
1532281044.192,21.484,41.992,32.227,20.996,123.535
1532281044.196,29.785,40.039,31.738,28.809,-29.785
1532281044.200,30.762,35.645,32.227,29.297,-120.117
1532281044.204,27.344,35.156,31.738,23.926,40.527
1532281044.208,25.391,37.109,30.762,24.414,176.758
1532281044.211,25.391,37.598,31.738,21.973,7.812
1532281044.215,27.344,35.645,33.203,24.414,-143.066
1532281044.219,29.785,32.715,35.156,32.227,-34.180
1532281044.223,28.320,33.691,32.227,32.227,151.367
1532281044.227,23.926,34.668,33.691,33.203,104.004
1532281044.231,23.926,35.156,39.551,27.832,-105.469
1532281044.235,25.879,34.668,37.598,24.414,-76.172
1532281044.239,27.832,33.203,35.645,31.738,136.230
1532281044.243,27.832,30.762,37.109,30.273,134.766
1532281044.247,29.785,31.250,35.156,26.855,-70.312
1532281044.250,30.273,31.250,33.203,26.367,-124.512
1532281044.254,29.785,30.762,34.180,32.227,71.289
1532281044.258,30.273,32.227,32.715,32.715,177.734
1532281044.262,35.156,34.668,32.227,30.273,7.812
1532281044.266,35.645,32.715,32.715,34.180,-118.652
1532281044.270,33.203,33.691,31.250,35.645,17.090
1532281044.274,32.715,35.156,32.227,35.156,193.359
1532281044.278,32.227,32.227,33.691,35.645,94.727
1532281044.282,29.785,32.227,34.180,35.156,-108.398
1532281044.286,27.344,32.227,34.180,34.180,-32.715
1532281044.290,26.855,34.668,32.227,30.273,149.414
1532281044.293,22.949,35.156,32.715,24.414,107.910
1532281044.297,23.926,33.691,32.715,28.809,-70.312
1532281044.301,25.879,33.691,30.762,33.203,-98.145
1532281044.305,23.926,34.668,31.738,33.691,98.633
1532281044.309,26.855,34.668,32.715,32.227,168.457
1532281044.313,28.809,35.156,33.203,25.391,-17.090
1532281044.317,28.320,34.180,31.250,23.438,-98.633
1532281044.321,30.273,33.203,31.738,30.762,98.633
1532281044.325,27.832,33.203,33.203,33.691,202.148
1532281044.329,28.809,35.645,32.227,31.738,20.020
1532281044.333,34.180,38.086,31.250,31.250,-110.840
1532281044.336,32.715,37.598,33.691,33.691,34.668
1532281044.340,28.809,36.133,35.156,33.203,176.270
1532281044.344,30.273,36.133,33.203,29.785,60.547
1532281044.348,30.762,35.645,31.250,26.367,-104.492
1532281044.352,33.203,36.133,31.738,25.879,-31.738
1532281044.356,33.691,35.645,32.227,34.180,170.410
1532281044.360,30.273,36.621,31.738,36.621,147.949
1532281044.364,30.762,41.016,32.227,31.738,-67.383
1532281044.368,30.762,40.039,33.203,34.180,-91.309
1532281044.372,23.438,36.133,32.715,25.879,92.285
1532281044.375,20.020,38.086,33.203,17.578,167.969
1532281044.379,20.508,39.551,30.273,19.531,-8.301
1532281044.383,21.484,37.109,27.344,16.113,-103.516
1532281044.387,23.926,35.645,27.832,20.996,55.176
1532281044.391,23.438,36.133,27.344,25.391,177.734
1532281044.395,19.043,33.691,24.414,18.066,42.969
1532281044.399,17.090,31.250,25.391,18.066,-81.543
1532281044.403,18.555,29.297,28.320,25.879,15.625
1532281044.407,17.578,28.809,27.832,25.879,164.551
1532281044.411,15.625,26.367,25.879,18.066,87.402
1532281044.415,14.648,24.902,24.414,14.648,-132.324
1532281044.418,20.996,27.344,20.508,21.484,-81.543
1532281044.422,24.902,29.297,18.066,27.344,127.930
1532281044.426,20.508,27.832,18.066,25.391,149.414
1532281044.430,15.625,27.344,18.555,16.113,-43.945
1532281044.434,15.625,25.391,19.043,16.602,-101.074
1532281044.438,20.020,23.926,19.043,24.902,83.496
1532281044.442,21.484,28.320,18.066,26.367,179.199
1532281044.446,20.996,29.297,18.066,23.438,3.418
1532281044.450,20.996,27.832,18.066,18.555,-139.160
1532281044.454,19.043,27.832,16.113,19.531,6.348
1532281044.458,20.508,28.809,17.090,22.461,157.227
1532281044.461,19.531,29.297,19.531,20.020,55.176
1532281044.465,19.531,29.297,20.020,19.531,-109.863
1532281044.469,20.508,29.297,20.020,23.438,-32.715
1532281044.473,19.043,30.762,17.090,22.461,166.992
1532281044.477,23.926,29.297,17.578,22.461,124.512
1532281044.481,26.367,29.297,22.461,24.902,-94.727
1532281044.485,25.391,32.715,23.438,25.879,-62.500
1532281044.489,30.273,37.109,24.414,26.855,132.324
1532281044.493,32.227,38.086,27.832,24.902,145.508
1532281044.497,39.062,37.109,29.297,23.438,-21.484
1532281044.500,45.410,39.551,27.832,24.414,-74.707
1532281044.504,41.992,39.551,28.809,22.949,111.816
1532281044.508,41.016,38.574,31.250,25.879,188.477
1532281044.512,41.504,37.598,32.715,31.250,2.441
1532281044.516,37.598,36.133,36.621,37.109,-113.281
1532281044.520,33.203,34.668,36.133,44.922,23.926
1532281044.524,28.809,34.668,34.668,46.875,181.152
1532281044.528,25.391,35.156,38.086,46.875,77.148
1532281044.532,26.367,34.668,37.598,39.551,-137.207
1532281044.536,24.902,34.668,35.645,39.062,-43.945
1532281044.540,21.973,35.156,37.598,46.387,165.039
1532281044.543,26.855,35.156,41.016,44.922,108.398
1532281044.547,30.273,37.598,40.527,43.945,-78.125
1532281044.551,28.320,43.457,39.551,35.645,-113.281
1532281044.555,26.367,43.457,41.992,30.762,65.430
1532281044.559,20.996,39.062,40.527,33.691,170.898
1532281044.563,23.926,39.062,39.551,34.180,-20.508
1532281044.567,29.785,40.039,41.992,36.133,-101.562
1532281044.571,30.762,39.062,42.969,38.574,84.961
1532281044.575,29.785,40.527,41.992,38.086,182.129
1532281044.579,25.391,41.504,43.945,33.203,41.504
1532281044.583,24.902,40.527,42.480,31.738,-134.766
1532281044.586,23.926,39.551,41.016,34.180,-12.207
1532281044.590,19.043,41.992,44.434,31.738,173.340
1532281044.594,19.531,44.434,43.457,27.344,69.824
1532281044.598,20.996,41.992,39.551,25.391,-104.980
1532281044.602,20.996,40.527,39.551,28.809,-34.180
1532281044.606,25.879,40.039,40.039,34.668,164.062
1532281044.610,29.297,40.039,40.527,31.738,142.578
1532281044.614,26.367,40.527,41.504,27.344,-66.406
1532281044.618,28.809,41.504,39.062,28.809,-86.426
1532281044.622,38.086,41.992,37.109,36.133,99.121
1532281044.625,38.086,42.969,39.062,39.551,178.223
1532281044.629,25.879,42.969,39.062,30.762,1.465
1532281044.633,28.320,41.504,37.598,30.762,-97.656
1532281044.637,37.598,42.480,37.598,38.086,78.125
1532281044.641,31.250,41.504,37.598,35.156,191.406
1532281044.645,27.344,39.551,38.574,30.762,49.805
1532281044.649,24.414,37.598,38.086,26.367,-105.957
1532281044.653,24.902,37.598,37.109,20.508,-25.879
1532281044.657,27.832,37.598,36.133,27.344,147.949
1532281044.661,25.879,38.086,34.668,28.809,96.191
1532281044.665,27.344,39.551,33.691,26.367,-93.750
1532281044.668,30.273,40.527,33.203,30.273,-79.590
1532281044.672,31.250,38.086,35.156,30.762,131.348
1532281044.676,34.180,36.621,36.133,31.738,193.359
1532281044.680,35.645,39.551,33.691,31.738,1.465
1532281044.684,35.156,37.598,30.273,31.738,-81.055
1532281044.688,34.668,35.645,29.785,34.180,89.355
1532281044.692,33.203,36.621,29.297,28.320,136.719
1532281044.696,30.762,35.645,30.273,25.391,-18.555
1532281044.700,35.156,36.621,31.250,35.645,-95.703
1532281044.704,40.039,33.203,30.273,39.551,39.551
1532281044.707,38.086,31.250,30.762,36.621,196.289
1532281044.711,40.527,34.180,29.785,36.133,67.383
1532281044.715,44.434,31.738,27.832,36.621,-128.418
1532281044.719,41.016,29.785,28.809,38.574,-22.461
1532281044.723,37.598,29.297,29.297,39.551,178.711
1532281044.727,39.551,31.250,27.832,35.645,107.910
1532281044.731,44.922,32.715,25.391,32.715,-106.934
1532281044.735,43.945,30.762,26.367,32.715,-116.211
1532281044.739,40.527,27.832,27.832,36.133,92.773
1532281044.743,41.504,28.809,27.344,35.645,155.273
1532281044.747,37.109,28.809,24.902,31.250,-33.691
1532281044.750,31.250,26.367,21.973,27.344,-104.492
1532281044.754,33.203,24.902,22.461,30.273,79.102
1532281044.758,30.762,24.902,22.461,30.273,182.617
1532281044.762,27.832,24.414,22.461,27.832,27.344
1532281044.766,29.785,25.879,22.461,27.832,-113.770
1532281044.770,28.809,29.297,23.926,28.809,-2.930
1532281044.774,25.391,29.785,26.855,28.320,169.922
1532281044.778,23.438,28.320,27.344,26.367,89.355
1532281044.782,23.438,26.367,28.809,26.367,-101.562
1532281044.786,22.949,26.367,27.832,30.762,-40.039
1532281044.790,20.996,26.855,26.367,26.855,137.207
1532281044.793,20.996,29.785,28.320,20.996,91.797
1532281044.797,25.391,30.762,30.762,25.879,-115.723
1532281044.801,28.809,27.344,29.785,30.762,-135.742
1532281044.805,23.438,24.414,29.785,31.738,93.262
1532281044.809,21.973,25.391,30.273,31.250,166.992
1532281044.813,22.949,26.855,30.273,28.809,-42.480
1532281044.817,21.484,27.832,30.762,29.785,-136.230
1532281044.821,27.832,27.344,27.832,34.180,51.270
1532281044.825,29.785,25.879,26.367,35.645,202.148
1532281044.829,23.926,28.320,30.762,33.203,30.273
1532281044.832,21.484,30.273,32.715,31.250,-116.699
1532281044.836,24.902,28.320,31.738,33.203,21.484
1532281044.840,34.668,27.344,34.668,39.062,173.828
1532281044.844,36.621,27.832,36.621,41.016,104.492
1532281044.848,29.785,29.297,34.180,35.645,-82.031
1532281044.852,20.996,28.809,32.715,24.902,-58.594
1532281044.856,20.508,26.855,34.180,26.855,129.395
1532281044.860,26.367,27.344,37.109,38.086,130.859
1532281044.864,23.438,29.297,36.133,29.297,-55.664
1532281044.868,14.160,27.832,33.691,20.996,-80.566
1532281044.872,11.719,27.832,33.691,22.461,105.469
1532281044.875,14.648,29.297,32.715,22.461,171.387
1532281044.879,17.578,29.297,31.250,20.020,-21.484
1532281044.883,20.508,29.297,29.785,18.555,-127.930
1532281044.887,16.602,29.297,32.227,22.949,26.367
1532281044.891,14.160,30.762,32.715,18.555,145.020
1532281044.895,16.113,28.809,33.691,13.184,22.461
1532281044.899,23.926,25.879,34.668,22.949,-116.699
1532281044.903,26.855,31.250,25.879,24.902,-16.113
1532281044.907,22.461,35.645,21.973,21.973,148.438
1532281044.911,13.184,32.715,25.879,18.066,86.426
1532281044.915,10.254,30.762,25.391,14.160,-95.215
