timestamps,TP9,AF7,AF8,TP10,Right AUX
1532402911.794,30.762,43.457,42.969,63.965,32.715
1532402911.797,20.508,25.879,38.086,56.641,34.180
1532402911.801,18.555,18.555,35.645,56.641,26.855
1532402911.805,22.461,26.855,35.156,55.664,25.879
1532402911.809,23.926,31.738,36.621,59.570,34.180
1532402911.813,25.879,25.391,39.062,64.453,28.809
1532402911.817,30.273,25.391,41.016,65.430,0.977
1532402911.821,28.809,30.762,36.621,70.312,0.977
1532402911.825,25.391,21.973,32.227,78.613,6.348
1532402911.829,22.949,19.043,30.762,80.078,-14.160
1532402911.833,24.902,27.832,30.273,85.938,-4.883
1532402911.836,32.227,39.551,36.133,97.168,-10.742
1532402911.840,32.227,37.109,38.086,101.074,10.742
1532402911.844,30.762,37.109,35.645,104.492,32.227
1532402911.848,27.832,34.668,34.180,100.098,12.695
1532402911.852,28.809,23.926,33.203,96.680,25.391
1532402911.856,31.738,20.020,33.203,96.191,10.742
1532402911.860,33.203,24.902,31.738,96.191,14.648
1532402911.864,34.668,30.762,31.738,98.145,20.508
1532402911.868,38.086,35.156,33.691,98.633,28.809
1532402911.872,38.574,43.457,33.691,101.074,30.273
1532402911.876,36.621,48.828,36.133,102.539,-2.441
1532402911.879,33.203,41.016,35.156,96.191,9.766
1532402911.883,28.320,29.297,30.273,92.773,22.461
1532402911.887,28.809,18.555,32.227,96.680,12.207
1532402911.891,36.133,15.625,38.086,104.004,2.930
1532402911.895,35.645,23.926,37.109,97.656,-5.371
1532402911.899,24.902,34.180,28.809,81.055,23.438
1532402911.903,26.367,39.551,29.297,83.008,29.297
1532402911.907,33.203,55.176,34.180,85.938,0.488
1532402911.911,29.297,48.828,34.668,73.242,-1.465
1532402911.915,19.531,21.484,29.785,68.848,18.555
1532402911.919,13.184,17.578,23.926,67.383,35.645
1532402911.922,20.996,26.367,25.879,70.801,52.734
1532402911.926,28.809,37.598,32.715,78.613,38.086
1532402911.930,23.926,29.785,30.762,79.102,45.898
1532402911.934,29.297,31.738,35.156,88.379,38.574
1532402911.938,31.738,50.293,33.691,91.309,14.648
1532402911.942,20.996,28.320,28.320,83.496,15.137
1532402911.946,22.949,16.113,37.598,87.402,43.945
1532402911.950,25.391,24.414,41.992,89.844,63.965
1532402911.954,25.391,26.367,42.969,92.285,42.969
1532402911.958,24.902,26.367,38.086,93.750,7.812
1532402911.961,20.020,28.809,37.109,89.844,28.320
1532402911.965,19.531,33.203,39.551,86.914,46.875
1532402911.969,24.902,33.691,39.062,81.055,30.762
1532402911.973,23.438,35.645,36.133,74.219,23.438
1532402911.977,20.996,28.809,35.645,78.613,20.996
1532402911.981,19.043,14.160,36.133,81.055,39.551
1532402911.985,20.996,17.578,35.156,81.055,29.785
1532402911.989,24.414,23.926,35.645,82.031,29.785
1532402911.993,18.555,20.996,36.133,76.660,29.785
1532402911.997,17.090,17.578,37.598,70.801,14.648
1532402912.001,21.484,24.902,38.086,72.266,20.020
1532402912.004,24.414,31.738,36.621,73.242,28.809
1532402912.008,27.344,31.738,32.715,68.848,9.277
1532402912.012,22.949,25.391,28.809,68.848,3.906
1532402912.016,18.555,13.184,32.227,73.730,20.508
1532402912.020,18.066,9.277,37.109,73.730,17.090
1532402912.024,18.555,18.066,38.086,74.219,41.016
1532402912.028,18.555,18.555,38.574,71.777,30.273
1532402912.032,21.973,22.461,45.898,72.266,25.391
1532402912.036,24.902,33.691,42.480,77.148,48.828
1532402912.040,27.832,34.668,38.086,76.660,26.367
1532402912.044,25.879,24.414,38.574,73.242,16.113
1532402912.047,22.461,15.137,34.668,69.336,15.625
1532402912.051,24.902,17.578,39.551,67.871,34.180
1532402912.055,20.508,25.391,40.039,64.941,28.320
1532402912.059,15.625,18.555,34.180,61.523,3.418
1532402912.063,24.902,21.973,37.598,66.406,34.668
1532402912.067,29.297,33.203,40.039,62.988,39.551
1532402912.071,23.926,24.902,37.109,55.176,28.809
1532402912.075,25.879,17.578,35.645,59.570,42.969
1532402912.079,27.832,20.508,38.574,61.035,42.480
1532402912.083,29.785,25.879,36.133,60.059,26.367
1532402912.086,28.320,25.879,37.598,53.223,12.695
1532402912.090,24.414,20.020,38.086,51.270,5.859
1532402912.094,27.344,23.438,35.645,61.035,17.578
1532402912.098,27.344,29.785,39.062,66.406,55.664
1532402912.102,26.855,30.273,39.551,69.824,61.035
1532402912.106,26.367,29.785,41.016,66.895,6.348
1532402912.110,21.973,22.949,48.828,63.965,15.625
1532402912.114,20.996,18.066,44.434,70.312,22.461
1532402912.118,25.391,25.391,42.480,74.707,23.926
1532402912.122,20.020,18.066,44.434,70.801,56.641
1532402912.126,14.160,14.160,42.480,68.359,18.066
1532402912.129,18.066,21.973,41.504,70.801,-1.465
1532402912.133,20.020,25.879,39.551,72.266,26.367
1532402912.137,14.160,24.902,40.527,67.383,31.250
1532402912.141,16.602,18.066,43.945,65.918,37.109
1532402912.145,20.508,21.973,45.898,71.289,56.152
1532402912.149,22.461,26.367,46.875,67.871,38.086
1532402912.153,26.855,23.438,52.246,70.312,0.977
1532402912.157,28.320,30.762,48.340,77.148,35.156
1532402912.161,22.461,27.832,40.039,74.219,68.848
1532402912.165,17.090,14.648,40.527,69.824,46.875
1532402912.169,17.578,9.766,39.062,66.895,29.297
1532402912.172,20.508,13.672,39.062,63.965,45.898
1532402912.176,14.160,16.113,40.039,61.035,28.320
1532402912.180,15.625,22.461,41.992,67.383,-3.906
1532402912.184,18.066,20.996,44.434,64.941,13.184
1532402912.188,12.695,19.043,39.551,57.617,4.395
1532402912.192,20.020,37.109,42.480,62.500,0.488
1532402912.196,20.996,29.297,41.016,61.523,25.879
1532402912.200,15.137,5.859,34.668,56.641,17.578
1532402912.204,19.531,12.207,43.457,62.988,2.441
1532402912.208,20.996,20.508,47.363,60.547,-12.695
1532402912.212,22.461,23.438,40.039,58.105,5.371
1532402912.215,21.484,24.414,35.156,63.477,52.734
1532402912.219,15.625,17.090,38.574,59.082,38.086
1532402912.223,18.066,25.391,44.922,63.965,20.020
1532402912.227,15.625,36.621,41.504,60.059,23.438
1532402912.231,11.230,17.578,34.180,49.316,30.273
1532402912.235,11.719,6.836,36.133,51.270,23.438
1532402912.239,10.742,11.230,37.109,52.734,40.039
1532402912.243,15.625,15.137,38.086,54.688,52.246
1532402912.247,20.508,19.043,42.969,51.758,18.066
1532402912.251,19.531,25.391,39.062,46.875,6.348
1532402912.254,19.043,27.344,33.203,54.688,20.020
1532402912.258,22.461,19.043,37.109,60.547,20.996
1532402912.262,22.949,24.902,41.016,63.965,23.438
1532402912.266,17.578,28.809,40.527,59.570,18.555
1532402912.270,16.602,13.184,31.250,49.805,9.277
1532402912.274,19.531,9.766,28.320,51.270,28.809
1532402912.278,23.438,20.508,35.156,57.617,36.621
1532402912.282,24.902,25.879,41.016,62.500,30.762
1532402912.286,24.902,23.926,39.551,57.617,4.395
1532402912.290,26.367,26.855,32.227,52.246,-17.578
1532402912.294,24.902,21.484,30.762,47.852,19.043
1532402912.297,30.273,19.531,39.551,52.734,49.316
1532402912.301,33.203,21.484,37.598,53.223,50.781
1532402912.305,32.227,14.160,29.785,48.340,42.480
1532402912.309,37.109,21.973,32.715,49.805,30.762
1532402912.313,39.551,25.879,32.715,47.363,52.246
1532402912.317,48.828,23.438,36.133,51.270,62.012
1532402912.321,54.688,29.297,32.715,55.664,45.898
1532402912.325,43.945,22.949,26.367,55.176,38.086
1532402912.329,33.691,13.184,24.902,57.129,-0.977
1532402912.333,28.320,18.066,31.250,62.988,-5.371
1532402912.337,25.391,19.531,38.574,62.988,-0.488
1532402912.340,29.297,24.414,41.016,67.383,8.789
1532402912.344,26.367,27.832,38.574,65.918,68.848
1532402912.348,20.996,17.578,38.574,54.199,22.461
1532402912.352,20.996,17.090,39.062,54.199,-3.906
1532402912.356,20.508,11.719,31.250,55.664,44.434
1532402912.360,27.344,15.625,35.156,58.105,62.012
1532402912.364,28.809,19.043,32.715,58.594,62.988
1532402912.368,27.344,23.926,28.809,58.105,56.641
1532402912.372,26.855,25.391,34.180,56.641,37.109
1532402912.376,20.020,9.277,36.621,50.293,8.789
1532402912.379,19.043,13.672,35.645,44.922,25.879
1532402912.383,20.020,16.113,30.762,42.480,60.547
1532402912.387,19.043,7.812,30.762,40.039,37.109
1532402912.391,19.531,12.207,31.250,34.180,-13.184
1532402912.395,20.996,12.207,32.715,41.992,6.836
1532402912.399,26.855,16.113,36.133,52.734,40.039
1532402912.403,28.809,26.367,30.273,48.828,39.551
1532402912.407,23.926,17.578,28.809,41.504,22.461
1532402912.411,26.855,19.043,32.227,44.434,31.250
1532402912.415,31.250,29.297,31.250,48.340,35.645
1532402912.419,24.902,16.113,26.855,41.992,27.344
1532402912.422,22.949,12.695,32.227,40.039,58.594
1532402912.426,23.438,19.043,34.668,39.551,48.340
1532402912.430,22.461,14.160,27.832,36.133,2.441
1532402912.434,21.973,18.555,32.715,43.457,7.812
1532402912.438,18.555,20.020,31.738,42.969,19.043
1532402912.442,23.438,18.555,29.297,41.504,37.598
1532402912.446,29.297,27.344,33.203,43.945,47.363
1532402912.450,31.250,33.691,31.738,46.387,17.578
1532402912.454,31.250,26.855,32.715,48.828,15.625
1532402912.458,34.180,21.973,29.785,51.270,25.391
1532402912.462,36.621,22.461,25.879,52.246,13.184
1532402912.465,35.645,21.484,26.855,51.758,-3.418
1532402912.469,33.691,21.973,27.832,49.316,-2.930
1532402912.473,30.762,19.531,29.785,41.992,6.836
1532402912.477,30.273,17.090,29.785,41.016,7.812
1532402912.481,32.227,18.555,27.832,42.969,11.719
1532402912.485,37.109,31.738,30.273,44.434,13.184
1532402912.489,33.203,32.715,26.855,41.504,-2.930
1532402912.493,33.691,28.320,23.438,45.410,20.508
1532402912.497,33.203,21.484,26.367,48.340,42.969
1532402912.501,28.809,9.277,27.344,48.828,47.363
1532402912.504,32.227,14.648,27.832,54.688,55.664
1532402912.508,29.297,16.602,27.344,47.363,-6.348
1532402912.512,25.391,15.137,27.344,45.410,-31.250
1532402912.516,32.227,21.973,33.691,56.152,12.207
1532402912.520,37.598,27.832,39.551,60.547,14.648
1532402912.524,33.691,21.973,33.691,56.641,31.738
1532402912.528,35.156,13.672,26.855,46.387,21.484
1532402912.532,39.551,14.648,26.367,47.852,5.859
1532402912.536,37.598,17.090,26.367,52.734,30.762
1532402912.540,38.086,20.996,30.762,55.176,44.434
1532402912.544,39.551,26.855,35.645,57.129,54.688
1532402912.547,35.156,21.973,35.645,47.363,21.484
1532402912.551,35.645,17.578,40.039,52.246,16.602
1532402912.555,32.715,20.020,31.738,54.199,41.016
1532402912.559,26.367,12.695,30.762,47.363,38.086
1532402912.563,25.391,13.184,34.668,48.340,36.621
1532402912.567,21.973,19.043,25.879,42.969,46.387
1532402912.571,22.461,24.902,25.879,41.992,52.246
