timestamps,TP9,AF7,AF8,TP10,Right AUX
1532384907.474,15.625,19.531,38.086,22.949,57.617
1532384907.478,14.160,18.555,37.109,30.273,62.012
1532384907.482,15.137,20.508,34.668,30.273,55.664
1532384907.486,16.602,20.020,32.715,28.320,38.574
1532384907.490,11.230,20.020,38.574,23.438,53.223
1532384907.494,15.625,24.414,44.434,20.508,49.316
1532384907.497,22.461,23.926,47.852,22.461,41.016
1532384907.501,28.809,20.508,37.109,24.902,56.152
1532384907.505,32.715,19.531,28.320,25.879,87.891
1532384907.509,29.297,20.508,37.109,21.484,52.246
1532384907.513,35.645,29.297,43.457,23.438,20.996
1532384907.517,32.715,23.926,34.180,25.879,42.480
1532384907.521,28.809,18.066,30.762,24.414,62.500
1532384907.525,26.855,21.973,37.598,24.902,80.078
1532384907.529,21.484,19.531,41.992,25.391,51.270
1532384907.533,20.508,19.531,43.457,25.879,40.527
1532384907.537,23.438,20.020,41.504,31.738,55.664
1532384907.540,24.414,21.973,36.133,28.320,62.988
1532384907.544,30.273,26.855,30.762,25.879,53.223
1532384907.548,33.203,30.273,33.203,34.180,33.203
1532384907.552,31.250,31.738,37.109,33.691,16.113
1532384907.556,32.715,28.320,34.668,32.715,30.273
1532384907.560,41.504,24.414,31.738,37.598,52.734
1532384907.564,41.992,24.414,33.691,33.203,28.809
1532384907.568,28.320,27.344,37.109,29.297,49.316
1532384907.572,32.715,27.344,33.691,33.203,38.086
1532384907.576,42.480,27.832,38.574,37.598,24.902
1532384907.579,40.039,31.738,41.016,39.062,38.086
1532384907.583,25.879,26.367,29.297,28.809,10.254
1532384907.587,25.391,17.578,29.785,24.414,16.602
1532384907.591,24.902,21.973,32.715,24.414,18.066
1532384907.595,14.648,28.809,33.691,19.043,27.832
1532384907.599,17.090,25.391,35.645,26.367,28.320
1532384907.603,24.414,27.344,33.691,31.738,33.691
1532384907.607,19.043,28.320,32.715,21.484,78.613
1532384907.611,11.719,24.902,35.645,10.254,45.898
1532384907.615,12.207,32.227,41.992,17.090,30.273
1532384907.619,18.066,31.738,41.504,23.438,60.059
1532384907.622,23.438,31.250,38.574,20.508,50.781
1532384907.626,20.508,31.250,37.598,23.926,41.504
1532384907.630,15.137,26.855,40.039,22.461,24.902
1532384907.634,17.090,27.832,34.668,15.625,29.297
1532384907.638,25.391,29.297,30.273,17.578,42.969
1532384907.642,27.344,35.645,38.086,28.320,19.531
1532384907.646,18.555,31.738,31.250,27.832,29.785
1532384907.650,13.184,24.414,24.902,19.043,44.922
1532384907.654,16.113,26.367,31.738,10.742,27.344
1532384907.658,16.602,27.344,33.691,9.766,55.664
1532384907.662,13.184,32.227,29.297,16.113,67.383
1532384907.665,13.184,29.785,27.832,18.555,43.457
1532384907.669,15.137,22.949,34.668,21.973,36.621
1532384907.673,13.184,22.949,35.645,19.531,44.434
1532384907.677,20.020,26.855,32.715,11.230,42.480
1532384907.681,33.691,37.109,29.297,10.254,18.555
1532384907.685,33.691,37.598,22.461,6.348,11.719
1532384907.689,34.180,31.250,27.832,1.465,38.086
1532384907.693,34.668,30.762,35.645,2.930,26.855
1532384907.697,33.691,34.668,33.203,10.254,13.672
1532384907.701,45.410,35.645,35.156,28.809,30.762
