timestamps,TP9,AF7,AF8,TP10,Right AUX
1532403922.284,13.672,35.645,46.875,29.297,56.152
1532403922.288,33.203,36.133,52.734,24.902,77.148
1532403922.292,76.172,40.527,54.688,29.785,44.922
1532403922.295,51.270,45.410,48.828,18.066,34.180
1532403922.299,28.809,45.410,49.316,1.953,34.668
1532403922.303,36.621,46.387,48.340,0.000,30.762
1532403922.307,35.156,57.617,48.828,27.832,24.414
1532403922.311,41.016,53.223,49.316,26.367,6.348
1532403922.315,27.344,41.504,49.805,37.109,11.719
1532403922.319,45.898,50.781,47.363,38.086,15.137
1532403922.323,73.242,60.059,41.016,7.324,31.738
1532403922.327,55.176,52.734,48.828,13.672,45.898
1532403922.331,36.621,51.758,47.852,25.391,28.809
1532403922.335,32.715,40.527,48.828,28.320,23.926
1532403922.338,40.527,39.551,51.270,28.809,44.922
1532403922.342,33.691,43.457,49.805,28.809,58.105
1532403922.346,32.227,37.109,56.152,33.203,38.086
1532403922.350,47.852,41.016,54.688,29.297,33.203
1532403922.354,49.805,50.781,49.316,28.320,51.758
1532403922.358,18.555,50.293,47.363,20.020,49.316
1532403922.362,-6.836,38.086,49.316,3.906,31.250
1532403922.366,25.879,33.691,52.734,13.672,57.617
1532403922.370,32.227,41.016,52.246,16.602,25.391
1532403922.374,39.062,41.992,49.316,9.766,-12.207
1532403922.377,35.645,45.898,44.922,17.090,26.367
1532403922.381,14.160,43.457,47.363,31.738,48.828
1532403922.385,43.457,38.086,52.734,37.109,53.223
1532403922.389,43.945,44.922,53.223,34.668,39.062
1532403922.393,33.203,39.551,51.270,26.855,13.184
1532403922.397,27.832,36.621,53.223,17.090,22.949
1532403922.401,25.391,43.945,57.617,44.434,28.320
1532403922.405,50.293,49.316,57.129,56.152,39.551
1532403922.409,31.250,50.293,50.293,24.414,5.859
1532403922.413,20.020,30.762,50.293,14.648,-40.527
1532403922.417,41.504,24.902,52.734,28.320,15.137
1532403922.420,45.898,41.504,46.387,24.902,41.016
1532403922.424,38.086,40.527,48.828,23.438,35.156
1532403922.428,15.137,38.086,56.152,24.414,33.203
1532403922.432,23.438,39.062,44.434,3.906,34.668
1532403922.436,34.180,43.457,40.039,-1.953,30.762
1532403922.440,31.250,38.086,53.223,33.691,26.367
1532403922.444,5.859,41.504,48.340,19.531,32.715
1532403922.448,-3.418,31.738,44.922,-23.926,35.156
1532403922.452,45.898,29.297,51.758,5.859,24.414
1532403922.456,44.434,43.457,51.270,35.156,31.738
1532403922.460,24.414,41.504,43.945,23.438,34.180
1532403922.463,10.254,38.574,45.410,18.555,39.062
1532403922.467,20.996,43.457,45.898,29.785,30.762
1532403922.471,38.574,43.457,43.945,15.625,13.672
1532403922.475,42.480,32.715,45.410,19.043,39.551
1532403922.479,38.086,36.133,42.969,39.062,34.668
1532403922.483,26.367,40.527,40.039,20.996,37.109
1532403922.487,-0.977,33.691,41.016,-0.488,59.570
1532403922.491,1.465,26.855,44.434,1.465,34.180
1532403922.495,18.555,30.273,41.992,0.000,12.207
1532403922.499,25.879,40.039,41.016,7.324,32.227
1532403922.502,24.902,48.828,37.109,6.836,46.875
1532403922.506,37.598,45.898,41.016,30.762,45.410
1532403922.510,40.527,33.203,43.457,39.062,0.977
1532403922.514,10.254,31.738,38.574,-7.324,-11.719
1532403922.518,15.625,50.293,36.621,4.883,20.020
1532403922.522,34.180,49.316,43.457,44.434,26.855
1532403922.526,33.203,47.852,42.480,28.809,25.879
1532403922.530,17.578,47.363,37.109,17.578,4.883
1532403922.534,5.859,39.551,35.645,8.301,20.508
1532403922.538,27.832,38.574,35.156,13.184,54.199
1532403922.542,36.621,39.062,43.457,28.320,41.016
1532403922.545,41.016,39.062,47.363,21.973,35.645
1532403922.549,38.086,38.086,41.016,0.977,13.184
1532403922.553,13.672,35.156,40.039,-1.465,-1.465
1532403922.557,2.930,32.227,42.480,0.977,31.250
1532403922.561,5.859,25.391,48.340,11.230,33.691
1532403922.565,13.184,31.738,44.434,12.207,21.484
1532403922.569,16.602,38.574,41.992,24.902,37.598
1532403922.573,19.531,39.551,39.551,20.020,34.668
1532403922.577,18.555,34.180,38.086,-10.742,15.625
1532403922.581,-2.441,28.320,45.410,31.250,22.949
1532403922.585,8.789,27.832,49.316,32.227,27.344
1532403922.588,34.668,33.691,46.387,7.812,18.066
1532403922.592,51.758,41.504,41.992,4.883,10.254
1532403922.596,50.781,36.133,41.992,6.836,0.000
1532403922.600,18.066,35.156,37.109,-7.812,21.973
1532403922.604,18.555,39.062,39.062,10.254,29.785
1532403922.608,20.508,38.574,44.434,20.020,50.781
1532403922.612,29.785,36.621,40.039,-2.441,44.434
1532403922.616,39.062,30.762,39.551,20.508,49.805
1532403922.620,26.367,36.133,45.898,23.926,80.566
1532403922.624,-45.410,26.367,41.016,-6.348,53.711
1532403922.627,-38.574,14.648,42.480,0.488,41.504
1532403922.631,30.762,31.250,47.363,36.621,26.855
1532403922.635,25.879,37.598,41.504,18.066,29.297
1532403922.639,31.250,38.574,41.992,-1.465,61.523
1532403922.643,38.086,42.480,44.434,22.461,41.992
1532403922.647,34.180,37.109,42.969,19.043,20.996
1532403922.651,21.973,38.086,44.434,9.277,4.883
1532403922.655,16.113,41.016,37.598,-6.836,10.742
1532403922.659,31.250,42.480,28.320,9.277,42.480
1532403922.663,47.852,40.527,34.668,24.414,28.320
1532403922.667,33.203,30.762,46.387,9.766,-3.418
1532403922.670,26.367,37.109,42.969,14.648,10.254
1532403922.674,30.273,38.086,41.016,19.531,27.832
1532403922.678,4.395,31.250,42.969,14.160,14.160
1532403922.682,-22.461,32.227,45.898,2.930,25.879
1532403922.686,0.977,23.926,52.246,8.301,27.344
1532403922.690,25.879,23.926,50.293,9.277,8.789
1532403922.694,23.926,29.785,43.457,-6.836,0.977
1532403922.698,27.832,29.297,42.969,0.977,29.785
1532403922.702,31.250,31.250,39.062,-12.207,39.062
1532403922.706,22.949,31.738,34.180,-23.438,25.391
1532403922.710,14.160,25.391,45.898,-4.395,16.602
1532403922.713,30.273,33.691,50.293,0.977,26.855
1532403922.717,27.344,35.156,43.945,-12.695,48.828
1532403922.721,6.348,25.391,40.527,-15.137,44.434
1532403922.725,9.277,19.531,40.039,1.953,35.156
1532403922.729,-2.930,21.973,38.086,-14.648,20.020
1532403922.733,-20.508,14.648,42.969,-28.320,12.207
1532403922.737,8.789,21.484,42.969,-4.395,43.457
1532403922.741,60.547,41.504,33.203,4.883,56.641
1532403922.745,30.762,41.504,26.855,-33.203,25.391
1532403922.749,11.230,38.574,33.203,-33.203,13.184
1532403922.752,47.852,33.203,42.480,1.465,21.973
1532403922.756,35.156,23.926,42.969,-0.977,31.738
1532403922.760,40.527,31.738,34.180,-13.184,18.066
1532403922.764,45.410,40.527,32.227,-9.277,19.043
1532403922.768,39.551,28.809,39.062,-0.488,28.320
1532403922.772,29.297,24.902,36.133,-16.602,19.043
1532403922.776,2.441,29.785,36.133,7.812,31.250
1532403922.780,-22.949,24.902,44.922,23.438,41.504
1532403922.784,6.836,24.414,42.480,17.090,39.062
1532403922.788,23.438,31.738,40.527,12.207,69.824
1532403922.792,-24.902,27.344,40.527,-9.277,37.598
1532403922.795,-4.883,24.414,36.621,13.184,17.578
1532403922.799,41.016,39.062,39.062,22.949,47.363
1532403922.803,35.156,37.598,41.016,15.137,61.035
1532403922.807,26.367,35.156,34.180,8.789,26.367
1532403922.811,26.367,36.133,33.691,-13.184,-8.789
1532403922.815,11.230,29.297,37.598,-7.324,14.160
1532403922.819,9.766,37.598,34.668,-15.625,28.809
1532403922.823,-14.160,38.086,35.156,-9.766,47.363
1532403922.827,14.160,31.738,39.551,5.371,27.344
1532403922.831,53.223,22.461,46.387,3.418,2.930
1532403922.834,33.203,23.438,44.922,15.625,9.277
1532403922.838,16.602,36.133,36.133,4.395,35.156
1532403922.842,26.367,35.156,38.086,-8.301,28.809
1532403922.846,11.719,41.504,39.551,8.789,7.324
1532403922.850,11.230,48.340,38.574,25.879,-6.348
1532403922.854,21.484,47.363,35.645,7.812,1.465
1532403922.858,20.508,41.016,37.109,2.441,39.551
1532403922.862,25.391,36.621,41.016,0.000,55.176
1532403922.866,12.695,35.645,40.039,-5.371,27.832
1532403922.870,33.691,41.504,36.133,2.441,17.578
1532403922.874,40.039,35.156,41.504,5.859,-3.906
1532403922.877,46.875,32.227,44.434,1.953,10.254
1532403922.881,19.043,43.457,41.992,10.742,27.832
1532403922.885,-15.137,44.434,42.480,3.906,30.273
1532403922.889,43.945,43.945,39.551,11.230,27.344
1532403922.893,61.523,41.504,43.945,42.969,26.367
1532403922.897,51.270,40.527,45.410,8.789,65.430
1532403922.901,48.340,38.574,41.504,-4.395,41.504
1532403922.905,20.508,41.016,44.922,4.883,39.062
1532403922.909,23.926,52.246,41.992,19.043,51.270
1532403922.913,24.414,43.457,41.504,16.113,36.621
1532403922.917,51.270,33.691,48.828,18.555,36.133
1532403922.920,30.762,40.527,48.828,19.043,48.828
1532403922.924,-2.930,32.715,44.922,-0.977,36.133
1532403922.928,15.625,35.156,42.969,10.742,6.348
1532403922.932,57.129,48.340,44.434,15.625,1.953
1532403922.936,54.199,54.688,46.875,18.066,17.578
1532403922.940,37.109,53.223,55.176,23.438,12.695
1532403922.944,58.105,57.617,61.035,43.945,27.344
1532403922.948,56.152,62.988,61.523,36.133,25.391
1532403922.952,44.922,57.129,65.430,19.531,26.855
1532403922.956,41.016,56.641,60.059,-5.371,41.992
1532403922.959,26.367,64.453,53.711,-15.625,17.090
1532403922.963,-6.836,63.477,61.035,0.000,27.832
1532403922.967,9.766,62.012,71.289,15.625,37.109
1532403922.971,18.555,65.918,77.637,-6.348,0.488
1532403922.975,0.488,72.754,84.473,-13.672,20.020
1532403922.979,-0.488,79.590,86.426,-3.906,50.781
1532403922.983,-34.180,74.219,93.262,-4.883,51.758
1532403922.987,-35.156,82.031,99.121,-11.719,62.988
1532403922.991,1.465,92.773,99.121,-24.902,61.035
1532403922.995,-9.766,84.961,91.309,-55.664,72.754
1532403922.999,-61.035,84.473,87.891,-56.152,46.387
1532403923.002,-48.340,91.797,96.191,-39.551,43.457
1532403923.006,-38.086,95.215,98.145,-47.852,63.477
1532403923.010,-44.922,98.633,101.074,-42.969,30.273
1532403923.014,-31.738,99.609,107.422,-48.828,20.508
1532403923.018,-56.641,103.027,101.074,-50.293,21.973
1532403923.022,-65.430,92.285,87.891,-74.707,41.016
1532403923.026,-65.918,78.613,89.844,-83.984,61.523
1532403923.030,-70.801,92.285,89.844,-66.895,44.434
1532403923.034,-50.781,105.469,84.473,-63.965,20.020
1532403923.038,-66.895,88.379,90.820,-67.383,46.875
1532403923.042,-25.879,94.238,89.844,-52.246,54.199
1532403923.045,-14.160,87.402,90.820,-24.414,32.715
1532403923.049,-26.855,74.219,92.773,-31.738,41.992
1532403923.053,-26.855,76.172,82.520,-33.203,63.477
1532403923.057,-38.574,64.941,77.148,-25.391,45.410
1532403923.061,1.953,61.035,82.031,-14.160,36.133
1532403923.065,-4.395,59.570,77.637,-17.090,42.480
1532403923.069,-0.977,65.430,62.012,-14.648,27.832
1532403923.073,11.719,63.477,63.477,10.742,20.508
1532403923.077,23.926,57.129,63.477,16.113,3.906
1532403923.081,26.367,50.781,58.105,18.066,23.438
1532403923.084,13.184,45.898,60.547,10.742,60.059
1532403923.088,21.973,47.852,54.688,23.438,47.852
1532403923.092,15.625,39.551,42.480,17.578,45.410
1532403923.096,41.504,27.344,45.898,4.395,42.480
1532403923.100,45.410,25.879,47.363,32.715,42.480
1532403923.104,47.852,33.691,49.316,63.477,73.730
1532403923.108,73.242,35.645,46.875,59.082,44.922
1532403923.112,68.848,29.785,38.086,38.086,-1.953
1532403923.116,50.293,33.203,35.645,45.898,3.906
1532403923.120,52.246,41.016,38.574,59.082,17.090
1532403923.124,65.430,24.902,42.969,45.898,38.574
1532403923.127,53.711,21.484,44.434,42.969,36.133
1532403923.131,60.059,36.133,43.945,66.895,31.250
1532403923.135,84.961,37.598,37.598,55.664,49.805
1532403923.139,76.172,32.227,34.668,43.945,49.316
1532403923.143,24.414,26.367,42.969,77.637,47.852
1532403923.147,56.641,26.367,40.527,85.449,48.340
1532403923.151,123.047,29.297,33.691,68.848,30.273
1532403923.155,99.121,29.785,37.109,66.406,32.227
1532403923.159,76.660,36.621,33.691,64.941,29.785
1532403923.163,52.734,23.926,31.250,51.270,6.348
1532403923.167,53.223,19.531,35.156,68.848,22.461
1532403923.170,69.336,26.367,32.227,55.176,65.430
1532403923.174,54.688,24.902,32.715,53.223,64.453
1532403923.178,63.965,23.926,35.156,63.965,8.789
1532403923.182,88.867,30.273,33.203,56.152,39.551
1532403923.186,76.660,28.320,30.273,41.992,81.055
1532403923.190,70.312,31.738,27.344,33.691,46.875
1532403923.194,64.941,24.414,36.621,51.758,37.598
1532403923.198,76.660,18.555,39.062,50.781,37.109
1532403923.202,91.797,34.180,30.273,57.617,28.809
1532403923.206,73.730,34.180,26.855,57.617,55.664
1532403923.209,56.152,21.484,29.785,41.016,44.922
1532403923.213,47.363,15.625,33.691,49.316,40.039
1532403923.217,48.828,19.531,28.320,63.477,43.457
1532403923.221,83.008,30.762,32.227,71.777,15.137
1532403923.225,96.191,37.109,38.574,55.176,27.832
1532403923.229,84.473,34.180,36.133,56.641,33.691
1532403923.233,69.824,35.645,38.574,68.359,34.180
1532403923.237,27.344,14.160,38.574,58.105,48.828
1532403923.241,42.480,18.066,36.621,53.223,38.086
1532403923.245,91.309,44.434,32.227,57.129,13.184
1532403923.249,63.965,34.668,33.203,55.664,10.742
1532403923.252,52.734,27.832,36.133,43.457,7.812
1532403923.256,83.008,31.250,33.691,43.945,26.367
1532403923.260,59.082,28.320,40.527,38.574,18.066
1532403923.264,47.363,34.668,39.551,28.320,20.996
1532403923.268,72.266,36.621,36.621,58.594,42.969
1532403923.272,75.195,33.691,39.551,59.082,39.062
1532403923.276,67.383,38.574,38.086,61.035,51.758
1532403923.280,68.848,41.016,39.062,53.711,39.062
1532403923.284,58.594,33.203,34.180,18.555,37.109
1532403923.288,54.688,28.809,28.809,22.949,66.406
1532403923.292,56.152,29.297,34.180,54.199,43.457
1532403923.295,31.250,29.785,41.016,68.848,22.461
1532403923.299,43.457,35.645,38.086,52.246,41.504
1532403923.303,58.105,39.551,38.574,48.340,39.551
1532403923.307,52.734,36.133,41.016,48.340,30.762
1532403923.311,64.941,32.715,35.156,32.227,24.902
1532403923.315,26.855,30.762,37.598,52.246,36.133
1532403923.319,26.367,30.762,43.457,44.434,44.922
1532403923.323,64.453,33.203,41.016,20.996,28.809
1532403923.327,59.082,27.832,37.598,47.363,14.648
1532403923.331,51.758,29.297,35.645,52.734,29.297
1532403923.334,49.316,39.062,36.133,25.879,22.949
1532403923.338,46.875,38.574,41.504,22.949,30.762
1532403923.342,42.969,31.250,42.480,44.922,18.555
1532403923.346,47.363,30.762,37.109,41.504,14.648
1532403923.350,48.828,33.691,38.574,33.691,14.160
1532403923.354,40.527,35.156,38.086,32.227,7.812
1532403923.358,34.180,30.273,38.086,20.996,39.551
1532403923.362,22.949,23.438,41.992,22.461,13.672
1532403923.366,52.246,25.391,42.969,29.785,-7.812
1532403923.370,50.293,37.598,43.945,35.645,27.832
1532403923.374,6.348,38.574,44.922,41.016,26.367
1532403923.377,26.855,31.250,41.992,53.223,24.414
1532403923.381,51.270,29.297,39.551,42.480,36.133
1532403923.385,16.113,27.832,41.504,29.297,36.133
1532403923.389,23.438,27.832,36.133,32.715,23.438
1532403923.393,57.129,21.484,42.480,29.297,4.395
1532403923.397,59.570,30.273,41.992,29.785,24.902
1532403923.401,33.691,27.832,41.504,29.785,21.973
1532403923.405,30.762,28.809,40.527,16.113,20.996
1532403923.409,37.598,38.574,37.598,14.648,38.574
1532403923.413,34.668,40.527,41.504,25.879,25.879
1532403923.417,26.367,32.715,44.434,20.508,27.832
1532403923.420,25.391,24.414,43.457,27.832,25.391
1532403923.424,49.316,30.273,36.133,37.109,24.902
1532403923.428,70.312,36.621,32.715,31.250,20.996
1532403923.432,56.641,36.133,30.762,22.461,-22.949
1532403923.436,30.762,29.297,31.738,6.836,-0.488
1532403923.440,28.320,25.879,27.832,20.020,46.875
1532403923.444,34.180,29.297,29.785,40.039,43.945
1532403923.448,22.461,36.621,36.133,13.184,24.902
1532403923.452,36.133,34.668,31.738,4.395,23.926
1532403923.456,45.898,32.227,31.738,11.719,35.156
1532403923.459,22.949,33.203,39.551,28.320,38.086
1532403923.463,34.180,22.949,39.062,27.832,41.016
1532403923.467,20.020,22.461,31.738,-4.395,27.832
1532403923.471,9.766,26.367,29.297,6.348,19.043
1532403923.475,31.738,23.438,32.715,38.086,5.371
1532403923.479,26.367,29.785,31.738,31.250,12.695
1532403923.483,15.137,20.020,40.527,33.691,19.531
1532403923.487,20.508,21.973,39.551,21.973,40.527
1532403923.491,20.508,31.250,31.738,14.160,15.137
1532403923.495,25.391,28.320,35.156,32.227,0.488
1532403923.499,37.598,32.227,34.668,39.062,33.203
1532403923.502,42.969,33.691,32.715,27.832,27.832
1532403923.506,25.391,32.715,37.598,16.602,34.180
1532403923.510,18.555,26.855,43.457,10.254,45.410
1532403923.514,3.418,24.902,32.715,-3.906,33.203
1532403923.518,4.883,36.133,22.461,-11.719,29.785
1532403923.522,30.762,35.645,31.250,28.320,30.273
1532403923.526,28.320,24.902,35.156,45.898,43.945
1532403923.530,21.973,20.508,35.156,26.367,27.832
1532403923.534,19.531,23.926,40.527,20.508,-0.977
1532403923.538,15.625,29.785,36.621,20.508,38.086
1532403923.541,18.555,32.227,37.598,26.367,60.059
1532403923.545,26.855,35.156,42.969,31.250,46.875
1532403923.549,22.461,27.832,37.109,34.180,41.016
1532403923.553,13.184,21.484,35.156,29.297,42.480
1532403923.557,3.418,29.297,36.621,20.508,43.945
1532403923.561,25.391,32.227,31.738,17.578,39.551
1532403923.565,41.016,23.438,32.715,23.438,46.387
1532403923.569,20.996,22.461,36.133,12.695,36.133
1532403923.573,25.879,28.320,32.227,-2.441,27.344
1532403923.577,5.859,28.809,27.344,-3.906,27.344
1532403923.581,-1.953,29.297,33.691,-10.254,21.973
1532403923.584,34.180,32.227,32.227,22.949,31.250
1532403923.588,29.785,28.809,27.344,38.086,19.043
1532403923.592,1.953,17.090,33.691,15.625,19.531
1532403923.596,4.883,29.785,23.926,8.301,21.973
1532403923.600,26.367,41.992,21.484,16.113,34.668
1532403923.604,46.387,39.551,29.785,21.973,54.688
1532403923.608,31.250,36.133,29.785,22.949,40.527
1532403923.612,28.809,27.832,32.715,25.391,28.320
1532403923.616,14.648,24.414,32.715,13.184,24.902
1532403923.620,-26.855,22.461,36.621,16.602,28.320
1532403923.624,4.395,21.484,35.645,23.438,36.621
1532403923.627,45.898,27.832,30.762,-3.418,17.090
1532403923.631,43.457,43.945,30.273,-4.395,-15.137
1532403923.635,24.902,36.621,29.785,3.906,16.602
1532403923.639,17.578,22.949,30.273,10.742,38.574
1532403923.643,37.109,30.273,25.391,10.254,27.832
1532403923.647,14.160,22.461,26.855,10.742,15.625
1532403923.651,16.113,17.090,35.156,30.273,16.113
1532403923.655,43.457,36.133,27.832,24.902,55.176
1532403923.659,38.086,36.621,24.414,1.465,70.312
1532403923.663,33.691,30.762,29.297,12.207,30.762
1532403923.666,27.344,36.133,35.645,41.992,44.922
1532403923.670,19.531,34.668,31.738,18.555,47.852
1532403923.674,-0.977,26.367,26.367,-4.883,4.883
1532403923.678,-37.598,15.625,28.809,11.719,32.227
1532403923.682,14.160,23.926,27.344,3.906,41.016
1532403923.686,53.223,36.621,31.738,4.395,36.133
1532403923.690,31.250,36.621,38.086,20.020,45.898
1532403923.694,25.391,34.180,36.133,19.043,32.715
1532403923.698,5.371,27.344,31.738,0.000,33.203
1532403923.702,20.508,25.391,35.645,-4.395,52.246
1532403923.706,41.016,33.203,36.133,4.883,39.551
1532403923.709,23.438,40.039,34.180,17.090,9.766
1532403923.713,33.203,39.551,33.691,32.715,2.441
1532403923.717,31.250,31.250,31.738,30.273,32.227
1532403923.721,5.859,25.879,29.297,31.738,41.992
1532403923.725,22.461,30.762,29.297,5.859,32.227
1532403923.729,33.203,38.574,27.832,-7.812,20.020
1532403923.733,-10.254,35.645,29.785,-3.418,7.812
1532403923.737,-20.508,20.508,39.062,8.301,18.066
1532403923.741,40.039,33.691,31.250,2.441,26.367
1532403923.745,51.758,39.551,26.855,0.000,34.668
1532403923.749,20.508,30.273,32.715,15.625,16.602
1532403923.752,9.766,40.039,31.250,-18.555,10.742
1532403923.756,17.090,41.992,26.855,-24.414,32.715
1532403923.760,-12.207,21.484,39.062,34.668,22.461
1532403923.764,20.020,28.320,37.109,41.016,44.434
1532403923.768,38.574,41.504,26.367,24.414,46.875
1532403923.772,42.480,38.574,27.344,1.953,-2.441
1532403923.776,15.137,35.645,28.809,0.000,-12.207
1532403923.780,-14.160,29.297,33.691,-6.836,8.301
1532403923.784,8.301,30.762,33.691,3.418,23.926
1532403923.788,34.668,41.016,29.785,16.113,40.039
1532403923.791,11.230,41.504,31.738,-4.395,39.062
1532403923.795,3.906,30.273,33.691,8.789,42.480
1532403923.799,32.715,36.133,30.273,30.273,33.203
1532403923.803,22.949,39.062,27.344,15.625,41.992
1532403923.807,5.859,26.855,33.691,-1.465,61.523
1532403923.811,21.484,37.109,32.715,2.441,-8.789
1532403923.815,-14.648,34.180,28.809,17.578,-25.879
1532403923.819,3.906,34.180,27.832,-6.836,19.531
1532403923.823,26.367,45.898,24.902,-12.695,42.480
1532403923.827,2.441,38.574,34.668,37.598,44.922
1532403923.831,44.922,41.992,33.203,18.555,-0.488
1532403923.834,17.090,38.086,28.809,-4.883,10.254
1532403923.838,12.695,34.180,33.691,20.508,28.320
1532403923.842,19.531,32.715,36.621,33.691,18.066
1532403923.846,33.691,34.668,38.574,26.855,26.855
1532403923.850,29.297,38.574,37.598,20.020,18.066
1532403923.854,32.227,34.180,36.621,23.926,24.902
1532403923.858,31.250,29.785,32.227,20.996,30.762
1532403923.862,13.672,32.227,24.414,-3.906,17.090
1532403923.866,34.668,35.156,28.809,13.672,15.137
1532403923.870,2.930,34.180,38.086,27.344,28.809
1532403923.874,7.812,44.434,37.598,13.672,40.527
1532403923.877,53.711,56.641,36.133,32.715,24.414
1532403923.881,33.691,50.781,29.297,16.113,11.719
1532403923.885,19.043,39.551,26.855,0.977,29.297
1532403923.889,13.672,40.039,35.156,25.391,22.949
1532403923.893,36.133,37.598,39.062,32.227,19.043
1532403923.897,49.316,37.598,33.691,0.000,28.320
1532403923.901,14.160,43.457,32.715,10.742,14.648
1532403923.905,7.324,32.715,35.645,32.227,32.715
1532403923.909,35.645,36.621,29.297,18.066,14.160
1532403923.913,26.367,40.039,30.762,16.602,-9.766
1532403923.916,20.996,40.039,33.203,20.996,24.414
1532403923.920,27.344,41.504,34.180,28.320,37.109
1532403923.924,14.160,38.574,32.715,16.113,38.574
1532403923.928,16.602,41.992,32.715,26.367,25.879
1532403923.932,26.855,45.410,35.156,41.016,28.809
1532403923.936,12.695,31.738,33.691,-0.977,47.363
1532403923.940,21.973,33.691,29.785,-9.277,56.152
1532403923.944,37.109,48.340,28.809,14.648,59.082
1532403923.948,55.664,48.828,28.320,25.879,15.137
1532403923.952,35.156,37.598,31.738,16.113,-18.066
1532403923.956,16.113,34.180,36.621,0.000,18.555
1532403923.959,25.391,46.875,33.691,8.301,49.805
1532403923.963,45.410,45.410,27.832,12.207,36.133
1532403923.967,43.457,36.133,30.762,29.297,18.066
1532403923.971,17.090,41.504,32.715,31.738,35.645
