timestamps,TP9,AF7,AF8,TP10,Right AUX
1532384993.719,27.832,31.738,73.730,15.137,44.434
1532384993.723,31.738,33.691,70.801,13.672,20.996
1532384993.727,27.832,40.527,65.430,9.277,47.852
1532384993.730,30.273,39.062,67.871,9.766,52.734
1532384993.734,33.203,42.480,73.730,11.719,14.648
1532384993.738,34.180,43.457,68.848,10.254,17.578
1532384993.742,31.250,38.086,71.289,11.230,46.875
1532384993.746,17.578,38.086,84.473,8.789,45.898
1532384993.750,13.672,36.133,84.473,-0.488,29.785
1532384993.754,21.973,36.621,80.078,0.000,-4.395
1532384993.758,23.438,40.039,71.289,3.418,6.348
1532384993.762,26.367,32.227,67.871,10.254,52.734
1532384993.766,33.691,36.621,81.055,21.484,56.641
1532384993.770,28.320,43.457,87.402,18.555,10.742
1532384993.773,15.625,31.738,73.242,6.836,11.719
1532384993.777,14.648,33.691,68.848,7.324,54.688
1532384993.781,20.996,40.527,71.777,11.719,37.598
1532384993.785,14.160,38.574,75.195,3.906,2.930
1532384993.789,8.789,36.133,81.055,2.441,22.461
1532384993.793,19.043,36.621,83.496,12.695,37.109
1532384993.797,20.996,38.086,80.078,11.719,3.418
1532384993.801,20.020,38.086,71.289,9.277,-1.953
1532384993.805,25.391,40.039,82.031,15.137,15.625
1532384993.809,33.203,46.875,75.684,24.414,19.531
1532384993.813,31.738,38.086,69.336,22.461,3.906
1532384993.816,21.973,36.133,81.055,13.184,-9.766
1532384993.820,21.973,45.410,74.219,9.277,1.465
1532384993.824,26.367,46.875,66.895,8.789,21.484
1532384993.828,24.414,40.527,71.289,12.207,61.035
1532384993.832,20.508,33.691,77.637,15.137,36.621
1532384993.836,22.461,40.039,75.195,10.254,-4.395
1532384993.840,22.461,49.316,62.012,12.695,-0.977
1532384993.844,19.531,43.945,54.688,12.207,17.090
1532384993.848,21.973,41.504,72.754,9.766,31.738
1532384993.852,24.414,45.898,80.566,12.695,-1.465
1532384993.855,34.180,57.129,76.172,20.508,-3.906
1532384993.859,32.715,58.105,76.172,19.531,13.184
1532384993.863,24.414,41.016,62.988,15.625,22.949
1532384993.867,31.738,37.109,59.082,16.113,27.832
1532384993.871,30.762,44.922,74.707,12.695,8.789
1532384993.875,24.902,46.387,76.172,10.742,11.230
1532384993.879,26.855,43.945,63.477,12.695,31.250
1532384993.883,37.109,41.992,64.941,14.648,17.578
1532384993.887,34.668,36.133,67.383,18.555,0.977
1532384993.891,24.902,38.086,73.242,20.996,31.250
1532384993.895,28.320,46.387,80.078,19.531,43.457
1532384993.898,29.297,47.852,75.684,25.879,13.672
1532384993.902,23.926,45.410,79.590,23.926,24.902
1532384993.906,32.227,48.828,86.426,24.902,60.059
1532384993.910,38.574,49.805,88.867,32.715,51.758
1532384993.914,28.809,36.621,75.684,20.996,23.438
1532384993.918,22.949,33.691,65.430,16.113,20.020
1532384993.922,24.902,38.086,65.430,15.625,35.645
1532384993.926,23.926,36.621,74.219,11.719,49.805
1532384993.930,26.855,41.504,82.031,18.066,37.109
1532384993.934,32.227,39.551,72.754,21.973,13.672
1532384993.938,26.367,36.133,71.777,16.113,29.785
1532384993.941,26.855,37.598,83.496,16.113,65.430
1532384993.945,26.855,37.109,80.078,18.066,45.898
1532384993.949,32.227,39.551,79.590,26.855,8.301
1532384993.953,41.504,39.062,80.078,27.832,-2.441
1532384993.957,31.250,37.598,77.148,16.602,-14.648
1532384993.961,21.973,41.504,73.242,17.090,5.371
1532384993.965,20.996,35.156,71.777,20.020,32.227
1532384993.969,20.996,30.273,77.148,16.113,5.371
1532384993.973,21.484,39.551,75.195,10.742,7.812
1532384993.977,24.902,45.898,68.359,15.625,29.785
1532384993.980,31.250,39.062,65.918,22.949,30.762
1532384993.984,31.738,35.156,73.730,27.832,30.762
1532384993.988,24.902,38.574,83.496,27.344,39.062
1532384993.992,23.438,37.109,83.496,22.461,36.621
1532384993.996,19.043,30.273,71.289,13.672,2.441
1532384994.000,19.043,32.227,74.707,18.555,-0.488
1532384994.004,23.438,35.156,86.426,21.973,37.598
1532384994.008,18.555,26.367,76.172,9.277,37.109
1532384994.012,21.484,24.902,66.406,10.254,17.090
1532384994.016,18.555,27.344,67.871,15.625,15.625
1532384994.020,22.461,34.668,71.777,14.160,27.832
1532384994.023,24.414,42.969,74.707,14.160,31.250
1532384994.027,23.926,36.621,72.266,16.602,36.621
1532384994.031,22.949,30.762,70.312,13.184,48.828
1532384994.035,18.066,33.203,68.848,8.789,32.227
1532384994.039,24.902,29.297,59.082,14.648,26.367
1532384994.043,23.926,29.297,61.035,17.090,57.129
1532384994.047,18.066,32.715,67.871,8.789,56.152
1532384994.051,29.297,37.109,73.242,12.695,40.527
1532384994.055,29.297,36.621,77.148,14.160,29.785
1532384994.059,20.020,27.344,65.918,7.812,36.133
1532384994.062,22.949,23.926,64.941,11.230,38.574
1532384994.066,20.996,22.461,68.848,9.766,32.227
1532384994.070,20.996,18.555,65.430,14.160,18.555
1532384994.074,21.973,27.344,59.082,16.113,22.949
1532384994.078,15.625,33.203,59.570,7.324,38.574
1532384994.082,8.789,30.762,63.965,4.883,26.855
1532384994.086,10.254,35.156,51.758,4.883,21.973
1532384994.090,12.695,31.250,44.922,8.789,39.551
1532384994.094,17.578,29.297,67.383,5.371,35.645
1532384994.098,19.531,23.926,74.707,-2.930,15.625
1532384994.102,27.832,26.367,73.730,1.465,-23.438
1532384994.105,31.738,37.598,70.312,2.930,21.973
1532384994.109,23.926,36.621,59.570,5.371,82.031
1532384994.113,28.809,31.738,53.711,6.348,36.133
1532384994.117,30.273,22.949,49.316,2.930,17.090
1532384994.121,19.531,24.414,44.434,-0.977,21.973
1532384994.125,16.602,30.762,46.387,-4.395,20.508
1532384994.129,22.949,34.180,48.340,-3.418,42.480
1532384994.133,18.555,34.180,54.688,0.977,29.297
1532384994.137,13.672,36.133,63.965,4.883,-3.906
1532384994.141,18.555,40.527,66.895,9.277,13.672
1532384994.145,23.438,34.180,50.781,7.812,36.621
1532384994.148,21.973,31.738,49.805,4.883,25.879
1532384994.152,18.066,33.691,59.570,10.742,-2.930
1532384994.156,12.207,25.879,50.293,2.930,0.000
1532384994.160,12.695,23.926,51.758,0.977,25.879
1532384994.164,19.531,20.996,57.617,3.906,35.645
1532384994.168,21.973,27.344,57.129,11.719,19.043
1532384994.172,29.297,34.180,62.500,16.602,14.648
1532384994.176,30.762,29.297,67.871,14.160,26.855
1532384994.180,28.320,38.086,64.941,15.137,48.828
1532384994.184,26.855,40.527,59.570,13.672,49.316
1532384994.187,18.066,32.227,54.199,5.371,33.203
1532384994.191,23.926,41.016,68.359,11.230,9.766
1532384994.195,28.809,40.527,70.312,9.277,-7.324
1532384994.199,10.742,31.250,57.617,-7.324,-2.930
1532384994.203,7.812,28.809,56.152,-0.977,-9.766
1532384994.207,13.672,35.645,54.688,7.324,12.695
1532384994.211,16.113,36.621,46.875,11.719,28.809
1532384994.215,20.996,31.250,46.875,14.160,6.348
1532384994.219,18.555,30.273,55.664,13.184,6.348
1532384994.223,11.230,32.227,65.430,11.230,9.766
1532384994.227,12.207,41.504,72.266,8.301,49.805
1532384994.230,18.555,40.527,62.012,7.324,69.336
1532384994.234,19.043,31.250,68.848,12.207,3.906
1532384994.238,20.996,30.762,82.520,20.996,-2.441
1532384994.242,20.020,30.762,73.242,20.020,35.156
1532384994.246,17.090,37.598,60.547,11.719,32.227
1532384994.250,12.695,45.410,58.594,10.742,39.062
1532384994.254,17.578,41.992,55.176,10.254,24.902
1532384994.258,23.926,41.016,48.340,7.324,1.465
1532384994.262,26.855,41.992,59.082,7.324,14.648
1532384994.266,28.809,39.062,66.895,4.395,17.090
1532384994.269,37.109,38.574,60.059,4.883,20.996
