timestamps,TP9,AF7,AF8,TP10,Right AUX
1532402136.997,-44.434,30.273,37.109,-28.809,42.480
1532402137.001,-41.504,31.250,37.598,-18.555,37.109
1532402137.005,-31.250,33.691,38.086,13.672,20.508
1532402137.009,-39.551,31.738,37.109,-7.812,16.113
1532402137.012,-35.156,33.203,38.086,-55.664,24.902
1532402137.016,-18.555,30.762,43.457,-21.973,-2.441
1532402137.020,4.883,28.809,43.945,-16.113,-6.836
1532402137.024,-18.066,28.809,40.039,-59.082,10.254
1532402137.028,-46.875,29.785,42.969,21.484,14.648
1532402137.032,-22.461,34.180,40.527,16.602,13.184
1532402137.036,-32.715,33.203,41.504,-30.273,6.348
1532402137.040,-65.918,32.227,39.551,-27.832,11.719
1532402137.044,-66.406,33.203,35.156,-53.223,38.086
1532402137.048,-53.223,33.691,42.480,-25.391,55.664
1532402137.051,-51.270,36.133,41.992,-18.066,19.043
1532402137.055,-63.477,36.621,40.039,-33.691,9.277
1532402137.059,-60.059,35.645,40.039,-26.367,17.578
1532402137.063,-36.133,35.156,36.621,24.414,34.180
1532402137.067,-62.500,33.203,37.598,-9.277,39.551
1532402137.071,-69.824,32.715,42.480,-55.664,8.789
1532402137.075,-47.852,32.227,41.992,-16.113,15.625
1532402137.079,-62.988,30.273,37.109,4.883,30.762
1532402137.083,-64.941,33.691,32.227,-13.672,17.578
1532402137.087,-58.105,40.039,31.250,-20.996,-5.371
1532402137.091,-42.969,38.086,35.645,-33.203,1.953
1532402137.094,-16.602,39.551,37.109,-4.395,39.551
1532402137.098,-58.105,40.039,39.551,29.785,34.180
1532402137.102,-80.566,35.156,38.574,-11.230,0.000
1532402137.106,-67.383,37.109,35.156,-17.578,-17.090
1532402137.110,-21.973,41.504,34.668,-40.527,-14.160
1532402137.114,-11.719,38.574,35.645,-34.668,-17.090
1532402137.118,-48.828,40.527,35.156,-30.273,3.906
1532402137.122,-37.598,41.016,38.086,-18.555,12.695
1532402137.126,-41.992,39.062,40.039,50.781,48.340
1532402137.130,-54.688,38.574,37.109,-0.977,49.316
1532402137.134,-44.922,37.109,35.156,-56.641,24.902
1532402137.137,-40.039,40.527,40.527,-13.672,42.969
1532402137.141,-28.809,37.598,48.340,-3.906,48.340
1532402137.145,-34.668,37.598,45.410,-12.207,56.641
1532402137.149,-42.969,41.992,35.645,-4.883,15.625
1532402137.153,-22.949,41.504,35.645,-10.254,-4.883
