timestamps,TP9,AF7,AF8,TP10,Right AUX
1532371365.584,1.465,79.102,34.668,21.484,-8.789
1532371365.588,1.465,77.148,38.574,23.438,36.621
1532371365.592,5.371,78.125,37.109,33.203,67.871
1532371365.596,5.859,78.613,37.598,32.715,26.367
1532371365.600,-4.395,75.195,40.039,27.344,-4.883
1532371365.604,-9.766,70.312,43.457,26.367,20.508
1532371365.608,-6.348,65.918,45.898,30.273,74.219
1532371365.612,-0.488,65.918,45.898,36.621,42.969
1532371365.616,-0.977,74.219,41.016,19.043,-44.434
1532371365.619,-10.742,82.031,34.180,-1.465,1.953
1532371365.623,0.000,86.426,35.156,6.348,76.660
1532371365.627,9.277,85.938,28.809,10.742,85.449
1532371365.631,0.488,83.496,22.949,8.301,29.297
1532371365.635,9.277,82.031,25.391,6.348,0.000
1532371365.639,16.113,85.449,19.043,7.324,62.988
1532371365.643,17.090,88.867,13.672,11.230,79.102
1532371365.647,12.695,82.520,19.043,12.695,37.598
1532371365.651,5.371,76.660,24.902,11.719,9.766
1532371365.655,3.418,72.266,27.832,12.207,23.926
1532371365.659,11.230,69.336,33.691,23.438,51.270
1532371365.662,20.020,74.219,30.762,27.832,31.738
1532371365.666,17.090,76.660,18.066,25.879,6.348
1532371365.670,8.789,72.266,21.973,24.414,18.066
1532371365.674,8.301,72.266,27.832,22.461,30.762
1532371365.678,10.254,75.684,21.484,17.090,-7.324
1532371365.682,13.672,78.125,14.648,16.602,-27.344
1532371365.686,17.090,78.613,13.184,20.020,7.812
1532371365.690,9.766,78.125,15.137,15.137,32.715
1532371365.694,2.930,74.707,18.066,14.648,37.109
1532371365.698,1.953,70.801,19.531,14.648,-25.879
1532371365.701,4.395,72.266,20.996,15.137,-32.227
1532371365.705,6.836,75.684,23.438,17.090,20.996
1532371365.709,7.812,75.195,20.020,16.113,38.086
1532371365.713,6.348,77.637,19.043,9.277,-14.648
1532371365.717,6.348,81.055,18.066,-2.441,-57.617
1532371365.721,18.066,82.031,14.648,8.789,11.230
1532371365.725,14.648,73.730,19.043,24.902,71.777
1532371365.729,3.418,62.500,27.832,20.508,46.875
1532371365.733,4.883,67.383,24.414,16.113,-11.230
1532371365.737,7.812,76.660,17.090,12.695,0.977
1532371365.741,8.789,78.125,20.020,11.230,58.594
1532371365.744,8.789,79.102,15.625,12.695,44.434
1532371365.748,-0.977,79.590,6.836,10.742,-7.324
1532371365.752,-4.883,80.566,4.883,12.695,30.273
1532371365.756,-0.488,75.195,13.672,14.648,48.828
1532371365.760,4.883,67.871,21.973,18.555,37.598
1532371365.764,2.441,74.707,14.160,7.324,0.488
1532371365.768,0.488,84.473,5.859,-4.395,-16.113
1532371365.772,14.648,86.426,3.418,5.371,18.066
1532371365.776,20.020,83.008,6.348,19.043,33.203
1532371365.780,7.812,79.590,18.066,15.625,-5.859
1532371365.783,6.348,75.684,21.484,7.324,-26.367
1532371365.787,11.719,72.266,14.160,12.207,10.742
1532371365.791,16.602,78.613,10.742,19.043,36.621
1532371365.795,25.391,75.195,14.648,19.531,-3.418
1532371365.799,16.602,69.824,21.973,17.090,-32.227
1532371365.803,4.395,71.777,26.855,15.625,20.996
1532371365.807,8.301,68.848,27.344,20.508,60.059
1532371365.811,11.719,66.895,26.855,23.438,23.438
1532371365.815,11.719,68.848,27.832,19.531,-20.996
1532371365.819,18.066,71.289,28.809,22.461,-4.395
1532371365.823,21.973,69.824,29.785,25.879,49.316
1532371365.826,27.344,67.871,31.738,23.926,56.152
1532371365.830,18.555,64.453,31.738,20.996,2.441
1532371365.834,6.348,63.477,31.250,18.066,-17.090
