timestamps,TP9,AF7,AF8,TP10,Right AUX
1532203279.501,38.574,36.621,16.113,29.297,19.043
1532203279.505,37.109,36.621,15.625,25.391,42.969
1532203279.509,41.016,35.645,14.648,33.203,48.828
1532203279.513,48.340,31.250,17.090,37.109,29.785
1532203279.517,46.875,28.809,13.672,32.227,25.879
1532203279.521,47.363,32.227,12.207,31.738,34.180
1532203279.525,48.828,37.598,16.113,27.832,40.039
1532203279.528,45.410,35.645,19.043,29.297,38.574
1532203279.532,48.828,29.297,20.020,36.621,13.672
1532203279.536,51.758,35.156,20.508,36.621,28.320
1532203279.540,46.387,41.016,21.484,37.109,51.270
1532203279.544,43.945,37.598,23.438,41.016,28.809
1532203279.548,42.969,34.668,24.902,48.828,-4.883
1532203279.552,41.016,30.762,25.391,51.270,-10.254
1532203279.556,34.668,30.273,23.438,37.109,42.969
1532203279.560,32.227,35.156,16.602,31.250,60.547
1532203279.564,28.809,33.691,14.648,31.250,17.578
1532203279.568,23.438,33.691,20.508,28.809,-6.836
1532203279.571,28.320,36.621,23.438,31.738,17.578
1532203279.575,34.180,33.691,21.484,33.203,44.922
1532203279.579,36.621,33.691,21.973,33.691,49.316
1532203279.583,41.992,35.645,23.438,31.250,2.930
1532203279.587,42.969,29.785,25.391,29.785,5.371
1532203279.591,42.969,31.250,28.320,37.109,51.270
1532203279.595,43.457,36.133,26.367,39.551,62.012
1532203279.599,40.039,33.203,22.949,27.832,33.203
1532203279.603,37.598,35.645,22.461,22.949,13.184
1532203279.607,34.668,38.086,20.508,26.855,42.969
1532203279.610,28.320,37.598,22.949,26.855,60.059
1532203279.614,27.832,36.621,26.367,27.344,38.574
1532203279.618,29.297,34.180,25.391,28.320,45.410
1532203279.622,33.691,33.203,28.809,34.668,46.875
1532203279.626,37.109,31.250,31.250,36.621,16.113
1532203279.630,33.203,24.902,25.879,36.621,35.156
1532203279.634,35.645,26.855,27.344,37.598,52.734
1532203279.638,37.109,34.668,33.691,36.621,64.453
1532203279.642,35.645,35.645,37.598,39.062,59.570
1532203279.646,33.203,34.180,35.645,37.109,31.738
1532203279.650,26.367,30.762,33.691,26.367,27.344
1532203279.653,25.879,28.809,38.086,24.414,25.879
1532203279.657,26.367,32.227,41.504,25.879,35.156
1532203279.661,23.926,34.180,45.410,24.902,20.996
1532203279.665,25.879,33.691,46.387,23.438,-27.344
1532203279.669,30.273,33.691,41.992,23.438,-6.348
1532203279.673,31.250,35.156,41.016,30.762,40.527
1532203279.677,30.762,35.156,41.992,32.227,45.898
1532203279.681,32.715,28.809,42.969,33.203,23.438
1532203279.685,32.227,26.367,42.969,35.156,8.301
1532203279.689,31.250,32.227,40.527,32.715,43.457
1532203279.693,38.086,35.156,42.480,33.691,58.594
1532203279.696,39.551,35.645,41.016,35.645,47.852
1532203279.700,40.527,32.715,45.410,35.156,13.672
1532203279.704,42.969,33.203,51.270,41.016,5.371
1532203279.708,41.504,38.086,44.922,41.992,33.691
1532203279.712,41.504,39.551,43.457,34.180,49.805
1532203279.716,39.062,35.645,45.898,33.691,25.879
1532203279.720,33.691,33.203,45.898,37.109,16.113
1532203279.724,32.227,32.715,46.875,26.367,36.621
1532203279.728,32.715,34.180,46.875,20.508,34.180
1532203279.732,34.180,37.109,44.434,31.738,22.949
1532203279.735,38.086,39.551,44.922,37.598,47.852
1532203279.739,39.062,38.086,45.410,40.039,47.363
1532203279.743,37.109,29.785,42.480,41.992,36.133
1532203279.747,38.086,30.762,42.969,40.527,18.066
1532203279.751,38.574,36.133,41.504,34.668,-12.695
1532203279.755,39.551,41.504,42.969,33.203,-2.441
1532203279.759,42.480,41.992,43.945,35.645,28.809
1532203279.763,40.527,37.109,39.062,29.297,12.695
1532203279.767,39.062,37.109,39.062,26.855,-8.301
1532203279.771,39.551,37.109,39.551,31.250,32.227
1532203279.775,36.621,38.574,37.598,25.391,38.086
1532203279.778,32.715,36.133,35.645,25.879,27.344
1532203279.782,30.762,37.109,32.715,31.738,4.883
1532203279.786,31.250,39.551,29.297,29.297,14.160
1532203279.790,28.809,37.598,26.367,26.367,56.152
1532203279.794,24.902,36.621,25.879,27.344,64.453
1532203279.798,22.949,37.598,24.902,24.902,52.246
1532203279.802,23.438,34.668,28.320,20.508,6.348
1532203279.806,26.367,31.738,29.785,26.855,17.090
1532203279.810,26.855,31.250,26.367,33.203,61.035
1532203279.814,24.902,30.762,23.926,25.879,38.086
1532203279.817,21.484,33.691,22.949,22.949,20.020
1532203279.821,20.508,38.574,22.949,23.926,20.020
1532203279.825,24.902,40.527,22.461,24.414,32.227
1532203279.829,29.297,39.551,20.996,27.344,24.414
1532203279.833,33.691,38.086,15.137,30.273,12.695
1532203279.837,30.273,34.180,14.648,28.809,55.176
1532203279.841,20.996,32.227,19.531,24.902,32.227
1532203279.845,20.508,32.227,20.020,30.762,3.906
1532203279.849,22.461,31.738,24.902,32.227,16.113
1532203279.853,25.879,33.203,27.344,34.180,10.742
1532203279.857,26.367,34.180,27.344,40.039,30.762
1532203279.860,24.414,34.668,25.879,39.551,33.203
1532203279.864,25.391,34.668,20.508,24.414,3.418
1532203279.868,26.855,33.691,19.531,20.020,14.160
1532203279.872,34.180,34.180,19.043,35.645,44.434
1532203279.876,39.551,34.180,17.090,40.527,53.711
1532203279.880,37.598,36.133,16.602,41.504,61.035
1532203279.884,39.551,36.133,14.160,39.551,28.320
1532203279.888,41.016,35.156,14.160,34.668,50.781
1532203279.892,37.598,31.250,16.602,37.598,96.680
1532203279.896,41.992,30.273,16.602,41.504,55.176
1532203279.900,46.387,35.156,14.648,39.551,31.250
1532203279.903,44.922,37.109,16.113,31.738,19.531
1532203279.907,43.457,38.086,24.414,30.273,29.297
1532203279.911,42.480,36.621,25.391,35.645,55.176
1532203279.915,40.039,35.156,20.996,40.039,6.836
1532203279.919,37.109,38.574,18.555,38.086,11.230
1532203279.923,39.551,41.504,15.625,30.762,31.250
1532203279.927,40.039,41.504,18.555,33.691,51.270
1532203279.931,40.039,38.086,18.066,33.203,25.391
1532203279.935,41.504,37.109,14.160,28.809,0.977
1532203279.939,47.852,39.551,16.602,28.320,38.086
1532203279.942,59.570,41.992,17.578,30.273,39.551
1532203279.946,55.664,42.969,16.113,24.902,20.508
1532203279.950,46.387,42.969,17.090,18.555,15.625
1532203279.954,47.852,41.016,17.578,23.438,38.086
1532203279.958,49.316,40.039,17.578,31.250,61.523
1532203279.962,42.480,41.992,20.508,31.250,28.809
1532203279.966,36.133,46.875,23.438,28.809,-18.555
1532203279.970,34.668,52.734,30.273,41.992,38.574
1532203279.974,31.250,55.176,37.109,46.875,85.938
1532203279.978,26.367,52.246,39.062,37.109,53.223
1532203279.982,9.277,49.805,39.062,22.949,23.926
1532203279.985,-0.488,52.246,41.016,11.230,37.109
1532203279.989,4.883,51.270,53.223,20.020,48.340
1532203279.993,6.348,50.781,60.059,22.949,41.504
1532203279.997,1.465,61.523,49.805,-1.953,25.391
1532203280.001,-5.371,68.848,41.504,-25.391,-4.883
1532203280.005,0.977,71.777,45.410,-32.227,5.371
1532203280.009,-1.953,75.684,44.434,-36.133,35.645
1532203280.013,-20.020,75.684,45.898,-41.504,12.695
1532203280.017,-32.715,77.148,46.875,-46.875,-6.348
1532203280.021,-34.180,78.125,41.992,-55.176,3.906
1532203280.025,-26.855,82.031,43.945,-56.641,6.348
1532203280.028,-34.668,86.914,42.480,-57.617,-4.883
1532203280.032,-32.715,84.961,38.086,-61.523,-4.883
1532203280.036,-28.320,82.520,38.574,-64.941,-6.348
1532203280.040,-33.691,85.938,36.621,-62.988,2.441
1532203280.044,-32.715,92.285,30.762,-63.965,9.766
1532203280.048,-36.133,98.633,27.832,-69.824,0.488
1532203280.052,-29.297,100.098,23.438,-66.406,19.043
1532203280.056,-21.973,97.656,15.137,-59.570,49.316
1532203280.060,-17.578,99.609,9.277,-56.152,58.105
1532203280.064,0.000,103.027,3.906,-46.875,41.504
1532203280.067,14.648,104.980,-1.465,-30.273,12.695
1532203280.071,25.391,104.980,-2.930,-19.531,44.434
1532203280.075,39.062,102.051,-10.254,-12.207,59.570
1532203280.079,52.734,100.586,-19.531,3.418,22.461
1532203280.083,60.059,101.074,-21.973,15.137,-4.395
1532203280.087,73.730,99.609,-26.367,25.391,3.418
1532203280.091,90.820,94.238,-35.156,39.551,41.016
1532203280.095,100.098,89.844,-33.203,53.711,42.480
1532203280.099,109.375,85.938,-28.809,65.430,22.949
1532203280.103,119.141,84.961,-30.273,65.430,9.766
1532203280.107,134.277,83.008,-31.250,79.102,52.734
1532203280.110,142.090,79.102,-29.297,99.121,49.805
1532203280.114,135.742,71.777,-28.809,103.027,16.602
1532203280.118,140.137,69.824,-29.297,104.980,34.180
1532203280.122,149.414,68.359,-29.297,109.863,49.316
1532203280.126,147.461,64.941,-29.297,113.281,33.691
1532203280.130,146.973,64.453,-24.414,115.234,8.789
1532203280.134,144.531,59.570,-20.020,111.816,-4.883
1532203280.138,139.648,53.711,-18.066,103.516,18.555
1532203280.142,141.113,49.805,-15.137,103.027,25.879
1532203280.146,135.254,44.434,-15.625,98.633,4.883
1532203280.150,135.742,41.504,-12.695,104.004,-9.277
1532203280.153,131.348,40.039,-6.836,109.375,-1.953
1532203280.157,121.094,35.645,-10.254,100.098,32.227
1532203280.161,117.676,36.621,-9.277,95.215,42.969
1532203280.165,120.605,35.156,-6.348,91.309,42.480
1532203280.169,119.141,31.250,-6.836,89.844,65.918
1532203280.173,112.305,28.809,-2.441,91.309,79.590
1532203280.177,107.422,20.996,2.441,91.797,49.805
1532203280.181,98.633,18.555,5.371,90.820,6.348
1532203280.185,90.332,21.484,7.812,84.961,-24.902
1532203280.189,90.332,21.484,8.789,85.938,25.879
1532203280.192,93.750,21.973,9.766,87.402,38.086
1532203280.196,98.145,24.414,9.277,81.543,22.949
