timestamps,TP9,AF7,AF8,TP10,Right AUX
1532372792.150,14.648,44.434,20.020,5.371,9.766
1532372792.154,18.066,45.410,20.508,9.277,62.988
1532372792.158,19.043,44.434,17.578,9.277,74.219
1532372792.162,17.578,45.410,17.578,8.301,50.293
1532372792.165,21.484,46.875,22.461,15.137,18.555
1532372792.169,32.715,45.898,27.344,24.902,5.371
1532372792.173,34.180,45.410,26.367,29.297,58.594
1532372792.177,24.414,42.969,25.391,22.949,51.270
1532372792.181,22.461,43.945,27.832,21.484,-2.930
1532372792.185,21.973,44.434,26.367,22.949,3.418
1532372792.189,24.414,41.016,23.438,18.555,22.949
1532372792.193,29.297,41.992,25.879,22.461,32.227
1532372792.197,30.273,42.480,25.391,28.320,17.090
1532372792.201,36.621,41.992,22.461,29.297,12.695
1532372792.204,42.480,44.922,21.484,32.715,53.223
1532372792.208,39.551,44.922,22.949,36.133,76.660
1532372792.212,36.621,40.527,22.461,38.086,56.641
1532372792.216,39.551,39.551,20.996,35.156,22.949
1532372792.220,36.621,39.551,20.020,30.273,30.762
1532372792.224,27.832,38.574,19.043,23.438,59.570
1532372792.228,32.227,38.574,24.902,22.461,26.855
1532372792.232,34.668,38.086,25.391,33.691,-1.953
1532372792.236,36.133,38.086,20.020,37.109,13.672
1532372792.240,36.621,39.062,18.066,32.227,68.848
1532372792.244,31.738,41.504,19.043,32.227,45.410
1532372792.247,32.227,39.551,19.531,34.180,-17.090
1532372792.251,35.645,38.086,19.043,34.180,21.484
1532372792.255,37.109,37.598,21.484,30.762,62.500
1532372792.259,34.180,36.133,20.508,27.344,28.320
1532372792.263,35.156,39.062,21.484,27.344,-3.906
1532372792.267,36.133,40.527,22.461,25.879,-2.930
1532372792.271,29.297,36.621,19.531,26.367,42.969
1532372792.275,29.297,38.086,18.066,27.832,70.801
1532372792.279,26.855,39.062,17.090,21.973,10.742
1532372792.283,27.832,36.621,15.625,26.855,-6.836
1532372792.287,32.715,34.668,17.090,33.203,11.719
1532372792.290,34.180,36.621,20.996,30.273,42.480
1532372792.294,36.621,40.039,22.949,34.668,41.504
1532372792.298,34.668,36.133,20.996,40.527,-3.418
1532372792.302,32.715,32.715,22.461,41.992,-0.977
1532372792.306,32.715,34.180,21.973,38.574,34.668
1532372792.310,32.227,33.203,17.090,38.574,46.875
1532372792.314,35.156,31.738,20.020,42.480,25.391
1532372792.318,38.086,34.668,23.438,40.039,25.391
1532372792.322,36.621,34.668,20.996,40.039,71.289
1532372792.326,38.574,34.180,21.973,38.574,42.969
1532372792.329,37.109,36.133,22.461,28.320,-4.395
1532372792.333,37.109,34.668,21.973,24.902,22.949
1532372792.337,42.969,35.156,26.855,35.156,49.316
1532372792.341,37.109,34.180,26.855,38.086,65.430
1532372792.345,35.645,33.691,18.555,35.156,14.160
1532372792.349,37.598,34.180,15.625,33.691,-5.371
1532372792.353,34.668,34.668,17.578,30.762,36.621
1532372792.357,33.691,34.668,14.160,31.250,52.246
1532372792.361,33.203,35.645,6.348,30.762,30.762
1532372792.365,36.621,35.645,4.395,29.297,-1.465
1532372792.369,35.645,32.715,2.930,27.344,-15.625
1532372792.372,35.645,34.180,0.000,29.297,14.648
1532372792.376,40.527,35.156,-1.953,36.621,58.594
1532372792.380,38.574,31.738,-4.883,32.227,37.109
1532372792.384,32.227,30.762,-9.766,24.902,17.090
1532372792.388,36.621,34.180,-11.719,28.320,58.105
1532372792.392,40.039,37.109,-10.742,23.926,78.125
1532372792.396,41.992,37.598,-10.254,18.066,37.598
1532372792.400,47.363,36.621,-8.789,18.066,10.254
1532372792.404,57.617,34.668,-7.812,16.602,21.973
1532372792.408,57.617,37.109,-6.836,21.484,37.109
1532372792.411,43.945,38.574,-4.395,29.297,-16.113
1532372792.415,37.109,33.691,-5.371,32.227,-12.207
1532372792.419,34.180,34.668,-4.395,39.062,27.832
1532372792.423,34.668,34.180,-0.977,41.504,47.363
1532372792.427,33.691,32.227,0.000,38.574,24.902
1532372792.431,28.809,35.645,-0.488,39.062,-11.230
1532372792.435,23.438,34.668,0.488,35.156,3.418
1532372792.439,21.973,35.645,1.953,31.738,66.406
1532372792.443,23.438,35.645,-1.465,30.273,81.055
1532372792.447,25.879,32.227,-3.418,26.855,20.020
1532372792.451,30.762,32.227,-0.488,26.855,-27.344
1532372792.454,33.691,34.668,2.441,29.785,20.508
1532372792.458,34.668,36.133,1.465,28.809,83.496
1532372792.462,33.203,33.203,2.930,30.762,20.020
1532372792.466,32.227,36.133,6.836,29.785,-15.625
1532372792.470,37.109,38.574,5.859,27.344,14.648
1532372792.474,40.527,36.133,4.395,32.715,55.176
1532372792.478,41.016,39.062,4.883,35.156,34.668
1532372792.482,41.504,39.551,3.418,37.109,0.977
1532372792.486,41.992,36.621,0.977,36.133,10.254
1532372792.490,43.945,33.203,3.418,30.762,59.082
1532372792.494,47.852,34.180,3.418,36.133,75.684
1532372792.497,50.781,38.574,4.883,39.062,24.414
1532372792.501,43.945,37.598,5.859,35.645,3.418
1532372792.505,42.480,37.598,2.930,36.133,23.438
1532372792.509,49.316,41.992,7.812,38.086,47.363
1532372792.513,52.246,38.574,7.324,41.016,38.086
1532372792.517,46.875,33.691,4.395,41.504,14.160
1532372792.521,41.016,34.668,5.371,41.504,32.227
1532372792.525,43.457,35.156,8.301,45.410,52.246
1532372792.529,43.945,34.668,8.301,45.898,33.691
1532372792.533,46.875,38.086,5.859,47.852,4.395
1532372792.536,51.758,41.016,10.742,47.852,16.113
1532372792.540,48.828,38.574,16.602,47.363,76.172
1532372792.544,37.109,34.180,10.742,44.922,45.410
1532372792.548,39.062,30.273,6.348,37.109,-22.461
1532372792.552,44.434,29.785,13.672,41.992,-13.672
1532372792.556,40.527,32.227,15.137,43.457,44.922
1532372792.560,43.945,33.203,12.695,41.504,50.293
1532372792.564,48.828,33.203,13.672,41.504,25.391
1532372792.568,41.992,33.691,10.254,33.691,37.598
1532372792.572,42.969,36.621,9.766,36.621,59.082
1532372792.576,47.363,33.691,11.230,39.551,53.711
1532372792.579,38.086,31.250,8.301,32.227,22.949
1532372792.583,32.227,31.250,9.277,33.691,-0.488
1532372792.587,36.621,31.250,14.160,39.062,28.809
1532372792.591,35.156,34.180,13.184,35.156,68.359
1532372792.595,35.645,32.227,12.207,36.621,22.461
