timestamps,TP9,AF7,AF8,TP10,Right AUX
1532203173.666,29.297,31.250,41.504,30.273,4.395
1532203173.670,17.090,28.809,36.621,16.113,-1.465
1532203173.674,18.555,34.668,33.691,20.508,39.062
1532203173.678,26.367,39.551,36.133,27.832,45.898
1532203173.681,28.320,40.527,34.180,25.391,38.086
1532203173.685,22.949,36.621,33.203,17.090,23.438
1532203173.689,21.484,28.320,31.250,6.836,12.207
1532203173.693,29.297,35.645,35.645,20.020,24.902
1532203173.697,28.320,47.852,40.039,36.133,10.254
1532203173.701,16.602,36.133,35.645,32.715,28.320
1532203173.705,15.625,25.391,36.621,22.461,20.996
1532203173.709,16.602,24.414,38.086,14.160,13.672
1532203173.713,16.602,22.461,41.016,21.484,16.113
1532203173.717,25.879,26.367,49.316,29.785,-4.395
1532203173.721,27.832,32.227,47.852,37.109,35.156
1532203173.724,17.090,25.391,37.109,31.250,44.922
1532203173.728,14.160,20.508,31.250,17.090,-11.230
1532203173.732,18.555,25.391,37.109,18.555,-13.184
1532203173.736,18.066,26.367,38.574,13.184,17.578
1532203173.740,12.695,30.762,32.715,16.113,38.086
1532203173.744,17.578,32.715,34.180,27.832,39.551
1532203173.748,27.832,37.109,32.227,27.344,21.484
1532203173.752,24.902,39.551,25.391,22.949,36.621
1532203173.756,17.578,30.273,28.809,16.602,56.641
1532203173.760,23.926,30.273,38.086,16.602,33.691
1532203173.763,30.762,35.156,39.551,21.484,17.090
1532203173.767,29.297,32.227,41.016,20.020,12.207
1532203173.771,36.621,33.691,46.387,23.926,5.859
1532203173.775,43.457,34.668,41.016,21.973,30.273
1532203173.779,32.715,24.414,32.715,9.277,9.277
1532203173.783,34.180,27.344,38.086,18.066,-8.301
1532203173.787,41.992,26.367,37.598,17.578,14.648
1532203173.791,39.551,26.367,25.391,6.348,10.254
1532203173.795,41.504,32.715,27.832,16.602,-2.441
1532203173.799,43.945,37.109,31.250,27.344,9.277
1532203173.803,41.504,36.133,33.691,25.879,34.180
1532203173.806,32.227,25.391,38.086,26.855,17.578
1532203173.810,22.461,21.973,37.109,27.344,13.184
1532203173.814,19.531,22.461,34.180,26.855,40.039
1532203173.818,20.508,32.715,31.250,30.762,59.082
1532203173.822,21.973,37.109,28.320,27.832,43.457
1532203173.826,23.438,31.738,35.156,23.926,11.230
1532203173.830,33.203,38.086,42.969,31.738,5.371
1532203173.834,35.156,36.621,43.457,36.621,39.551
1532203173.838,27.832,28.809,36.621,27.344,57.617
1532203173.842,23.438,29.297,26.367,11.719,49.316
1532203173.846,23.926,34.668,33.203,15.137,32.227
1532203173.849,25.879,39.551,37.598,22.461,35.156
1532203173.853,23.926,22.949,31.250,18.066,60.547
1532203173.857,24.414,16.113,35.156,25.391,68.359
1532203173.861,19.043,34.668,32.715,21.973,51.270
1532203173.865,22.461,35.156,28.809,25.879,27.832
1532203173.869,32.715,29.297,37.598,32.227,23.438
1532203173.873,34.180,35.156,47.363,36.133,41.016
1532203173.877,34.668,35.156,45.410,34.180,48.340
1532203173.881,30.762,31.250,40.527,11.230,45.410
1532203173.885,24.902,31.738,37.598,8.789,47.363
1532203173.888,24.414,39.551,36.133,16.113,1.465
1532203173.892,22.461,43.945,40.039,13.184,-12.207
1532203173.896,15.137,32.227,28.809,10.254,30.273
1532203173.900,20.508,22.949,31.250,17.090,40.527
1532203173.904,24.414,15.137,40.527,23.926,24.414
1532203173.908,18.555,19.043,40.039,26.367,28.320
1532203173.912,16.113,32.227,37.109,19.531,52.246
1532203173.916,24.414,38.574,37.109,12.207,49.316
1532203173.920,26.855,37.598,38.574,20.996,41.504
1532203173.924,21.973,25.879,37.109,32.227,58.105
1532203173.928,25.391,21.484,37.109,20.996,46.875
1532203173.931,37.109,24.902,37.598,25.879,33.203
1532203173.935,33.691,21.484,30.273,35.156,53.223
1532203173.939,27.832,29.297,25.879,29.785,47.852
1532203173.943,38.574,43.457,41.992,40.039,39.551
1532203173.947,41.504,49.805,48.340,38.086,23.926
1532203173.951,29.785,35.156,35.645,18.066,52.246
1532203173.955,35.156,17.578,38.574,23.438,76.172
