timestamps,TP9,AF7,AF8,TP10,Right AUX
1532372707.923,42.969,34.180,45.410,46.387,66.895
1532372707.927,41.504,34.180,42.969,46.875,41.504
1532372707.931,44.434,37.598,40.527,42.480,15.137
1532372707.935,44.434,37.598,40.527,37.598,21.973
1532372707.939,46.387,35.645,38.574,29.297,57.617
1532372707.943,53.711,35.645,38.574,25.391,38.086
1532372707.947,53.711,36.621,38.574,27.344,0.000
1532372707.951,48.828,35.645,36.621,34.668,7.812
1532372707.954,45.410,32.715,36.621,44.434,65.918
1532372707.958,41.016,33.203,38.086,49.316,62.012
1532372707.962,38.574,33.691,42.969,52.734,30.762
1532372707.966,37.109,34.180,45.898,54.199,32.715
1532372707.970,34.180,34.180,47.852,52.246,58.105
1532372707.974,40.039,32.227,45.898,49.316,52.734
1532372707.978,40.527,29.785,46.875,46.875,20.020
1532372707.982,33.691,27.832,50.781,49.316,23.926
1532372707.986,35.645,30.273,49.316,52.246,51.270
1532372707.990,35.156,33.691,48.340,45.410,41.504
1532372707.994,40.039,36.133,48.828,47.852,13.672
1532372707.997,43.945,37.109,52.734,55.176,0.977
1532372708.001,45.410,39.062,52.734,55.176,8.789
1532372708.005,43.945,40.039,50.781,54.199,23.438
1532372708.009,39.062,39.062,48.828,48.340,11.230
1532372708.013,41.016,38.086,49.316,48.340,5.371
1532372708.017,39.062,36.621,54.199,50.293,38.574
1532372708.021,33.691,34.180,53.711,47.363,71.289
1532372708.025,34.180,34.668,49.316,46.387,44.434
1532372708.029,37.598,36.621,47.852,43.945,-14.648
1532372708.033,41.504,35.645,47.852,44.434,-1.465
1532372708.037,47.852,38.574,48.828,48.340,44.922
1532372708.040,41.016,41.016,45.898,46.387,52.734
1532372708.044,35.156,37.598,38.086,46.387,22.949
1532372708.048,44.922,36.133,31.250,47.852,-2.441
1532372708.052,41.504,41.504,29.297,50.293,30.762
1532372708.056,41.016,41.016,26.855,50.293,39.062
1532372708.060,43.945,37.598,28.320,49.805,12.695
1532372708.064,46.875,38.574,31.738,59.082,28.809
1532372708.068,47.363,38.086,30.273,51.270,55.664
1532372708.072,39.062,37.109,30.273,46.875,44.434
1532372708.076,38.086,39.062,35.645,46.387,11.230
1532372708.079,38.574,41.992,36.621,37.598,13.672
1532372708.083,36.621,43.945,36.133,41.016,34.668
1532372708.087,40.039,46.387,37.109,39.062,61.035
1532372708.091,34.668,47.363,35.156,33.691,71.289
1532372708.095,33.203,45.410,36.621,34.180,43.457
1532372708.099,37.109,45.898,40.039,34.180,41.504
1532372708.103,30.273,47.852,41.016,33.691,82.031
1532372708.107,29.785,50.293,39.062,29.785,66.406
1532372708.111,30.273,48.340,39.551,24.902,-2.930
1532372708.115,27.344,46.387,41.016,24.902,-34.180
1532372708.119,25.391,48.340,37.598,20.996,38.574
1532372708.122,23.438,48.340,37.109,22.949,79.102
1532372708.126,20.996,45.898,39.062,23.926,20.020
1532372708.130,20.020,44.434,39.551,18.555,-6.836
1532372708.134,34.668,45.898,38.086,27.832,34.668
1532372708.138,34.668,44.922,37.598,34.180,71.289
1532372708.142,11.719,40.527,45.898,23.438,66.406
1532372708.146,15.625,42.969,48.340,23.926,21.973
1532372708.150,38.086,51.270,36.621,31.250,-4.395
1532372708.154,30.762,53.223,32.715,28.320,54.199
1532372708.158,9.766,48.340,39.551,19.043,65.430
1532372708.162,3.906,46.387,42.480,16.113,17.090
1532372708.165,13.672,39.062,50.781,22.949,14.648
1532372708.169,22.461,43.457,46.875,20.996,61.523
1532372708.173,19.043,53.711,35.645,17.090,79.102
1532372708.177,8.789,52.246,38.086,16.602,24.902
1532372708.181,1.465,48.828,44.922,13.672,4.395
1532372708.185,3.906,44.434,47.852,16.602,54.688
1532372708.189,7.324,40.527,46.875,18.555,36.133
1532372708.193,15.137,40.039,44.922,22.461,-11.719
1532372708.197,19.043,40.527,47.852,27.344,18.555
1532372708.201,5.859,38.086,51.270,23.926,47.363
1532372708.204,4.395,32.715,52.734,25.879,79.590
1532372708.208,17.578,32.227,51.270,39.062,61.523
1532372708.212,16.602,34.180,51.758,38.086,11.230
1532372708.216,14.160,30.273,52.734,28.809,39.551
1532372708.220,20.996,30.273,55.664,33.691,69.824
1532372708.224,33.203,35.645,57.129,40.039,38.086
1532372708.228,32.715,38.574,50.293,33.691,1.465
1532372708.232,21.484,41.016,44.434,22.949,8.301
1532372708.236,14.160,39.551,46.875,22.461,54.199
1532372708.240,16.113,36.133,49.805,27.832,67.383
1532372708.244,24.414,34.668,51.270,33.691,45.898
1532372708.247,24.414,33.203,52.734,35.645,32.715
1532372708.251,22.949,31.250,52.246,39.062,43.945
1532372708.255,23.926,31.738,48.340,41.504,69.824
1532372708.259,25.879,32.227,43.457,33.203,88.379
1532372708.263,28.809,32.715,42.969,34.180,59.082
1532372708.267,31.250,31.738,40.039,42.480,45.410
1532372708.271,35.156,29.297,38.086,43.457,82.031
1532372708.275,41.016,29.297,41.504,42.480,64.453
1532372708.279,36.133,28.320,41.992,41.992,27.344
1532372708.283,32.227,28.320,45.410,44.434,46.387
1532372708.286,37.109,27.832,46.875,46.875,51.270
1532372708.290,40.527,26.855,43.457,45.410,19.531
1532372708.294,41.016,27.344,41.016,51.758,15.137
1532372708.298,43.457,28.320,41.992,53.711,41.992
1532372708.302,47.852,28.320,44.922,47.852,68.359
1532372708.306,49.805,29.785,45.410,47.852,75.195
1532372708.310,51.270,28.320,43.945,48.340,57.617
1532372708.314,49.805,28.320,43.457,49.805,42.480
1532372708.318,48.340,27.344,41.016,49.316,31.738
1532372708.322,42.969,22.949,43.457,39.551,63.965
1532372708.326,42.969,21.484,44.922,33.691,15.137
1532372708.329,44.434,26.855,42.969,36.133,-49.316
1532372708.333,41.016,27.344,42.480,43.945,0.000
1532372708.337,41.016,24.414,43.457,49.805,57.129
1532372708.341,46.387,26.367,45.410,54.199,78.613
1532372708.345,52.246,30.273,44.434,58.594,29.297
1532372708.349,52.246,34.668,43.945,61.523,5.859
1532372708.353,54.199,33.691,44.434,63.477,62.988
1532372708.357,52.734,29.297,43.945,56.152,73.242
1532372708.361,40.527,28.320,43.457,48.828,3.906
1532372708.365,34.668,27.344,42.969,45.898,-10.742
1532372708.369,34.180,26.367,42.969,41.504,41.016
1532372708.372,35.156,27.344,42.969,40.039,65.918
1532372708.376,32.227,27.832,44.434,42.480,39.062
1532372708.380,32.715,25.391,44.922,44.434,23.926
1532372708.384,31.738,24.414,43.457,45.410,62.500
1532372708.388,30.762,26.367,43.945,49.316,75.684
1532372708.392,30.762,22.949,43.457,56.152,43.945
1532372708.396,40.527,23.438,42.969,59.082,9.277
1532372708.400,50.781,29.785,46.387,59.570,40.039
1532372708.404,41.992,27.344,47.363,56.641,48.828
1532372708.408,34.668,23.438,43.457,47.363,9.277
1532372708.411,36.133,25.879,38.574,45.898,2.441
1532372708.415,35.156,26.367,41.992,46.387,-13.184
1532372708.419,34.180,26.367,43.457,46.387,26.367
1532372708.423,36.621,26.855,39.062,43.457,49.805
1532372708.427,38.574,27.832,42.969,42.480,5.859
1532372708.431,36.133,27.344,47.852,42.480,-17.578
1532372708.435,38.086,28.320,47.852,40.527,40.527
1532372708.439,47.363,32.715,42.969,41.016,94.727
1532372708.443,45.410,34.668,45.898,44.922,70.801
1532372708.447,39.551,32.227,47.852,45.898,27.832
1532372708.451,39.062,30.762,44.434,39.551,43.457
1532372708.454,35.645,32.227,46.387,41.992,66.895
1532372708.458,35.156,33.203,44.434,44.434,42.969
1532372708.462,34.668,30.762,45.898,40.039,0.977
1532372708.466,38.086,33.203,48.340,36.621,4.395
1532372708.470,40.527,35.645,50.293,35.645,21.484
1532372708.474,41.016,33.203,51.270,38.086,21.973
1532372708.478,43.457,31.738,49.805,39.551,21.484
1532372708.482,37.598,32.715,52.246,35.645,14.160
1532372708.486,30.273,33.691,54.688,31.738,40.527
1532372708.490,32.715,33.691,53.711,31.738,67.871
1532372708.494,30.762,31.738,51.758,32.227,47.852
1532372708.497,25.391,33.203,55.176,29.785,23.438
1532372708.501,24.902,34.668,55.176,30.762,63.477
1532372708.505,31.250,32.715,52.734,32.227,45.898
1532372708.509,31.738,34.180,51.758,28.809,-18.555
1532372708.513,21.973,32.715,51.758,27.832,-19.043
1532372708.517,18.066,32.227,52.734,29.297,33.691
1532372708.521,24.414,33.203,54.688,32.715,76.172
1532372708.525,30.273,31.738,55.664,30.762,34.180
1532372708.529,24.902,29.297,51.270,27.832,-28.320
1532372708.533,27.344,30.762,47.363,34.668,21.484
1532372708.536,27.832,35.156,52.246,38.086,89.844
1532372708.540,23.438,32.715,55.664,34.180,58.105
1532372708.544,25.879,30.762,54.199,33.691,20.020
1532372708.548,31.738,33.203,53.223,33.691,3.418
1532372708.552,26.855,35.156,53.223,34.668,31.738
1532372708.556,22.949,34.180,53.711,33.203,45.898
