timestamps,TP9,AF7,AF8,TP10,Right AUX
1532215025.303,8.301,41.504,19.531,-6.836,-45.410
1532215025.307,20.996,35.156,17.578,-2.930,-83.984
1532215025.311,24.414,34.180,16.602,-5.859,64.941
1532215025.315,15.137,39.062,23.438,-0.488,130.371
1532215025.319,18.555,38.574,26.855,9.766,3.418
1532215025.323,11.230,40.039,22.461,16.113,-99.609
1532215025.327,5.371,38.086,18.555,8.301,35.156
1532215025.331,3.418,30.762,20.508,3.418,173.340
1532215025.335,6.836,30.762,26.855,2.930,27.344
1532215025.338,5.371,33.691,30.762,9.766,-137.695
1532215025.342,-5.371,30.273,28.809,1.465,-16.113
1532215025.346,0.488,34.180,22.461,-10.742,161.133
1532215025.350,9.277,37.109,19.531,-0.977,106.934
1532215025.354,11.719,37.109,20.508,0.488,-101.074
1532215025.358,12.207,38.574,20.020,-3.418,-67.383
1532215025.362,1.953,30.273,23.438,-1.953,158.203
1532215025.366,-4.395,30.762,22.949,-7.324,146.484
1532215025.370,6.348,34.668,21.973,-6.836,-58.594
1532215025.374,11.230,35.645,23.438,-2.930,-108.398
1532215025.378,0.977,33.203,22.461,-7.812,54.199
1532215025.381,-2.930,31.738,22.461,-2.930,157.715
1532215025.385,6.836,29.785,25.879,1.953,18.555
1532215025.389,16.113,28.320,26.855,-1.465,-116.699
1532215025.393,14.648,31.738,27.344,-8.789,32.227
1532215025.397,2.441,35.156,28.320,-8.301,183.594
1532215025.401,-5.859,34.180,23.926,-7.324,35.156
1532215025.405,0.977,36.621,23.438,-10.254,-132.812
1532215025.409,6.348,39.551,26.367,-1.953,-15.137
1532215025.413,9.766,37.109,24.902,1.465,135.254
1532215025.417,7.812,32.227,21.973,-3.418,100.098
1532215025.420,1.953,24.902,27.344,0.000,-63.477
1532215025.424,-1.465,23.438,36.621,3.418,-42.480
1532215025.428,5.371,28.809,34.668,0.977,134.277
1532215025.432,12.695,28.809,28.809,0.488,143.555
1532215025.436,4.883,20.020,29.785,-1.953,-52.246
1532215025.440,14.648,26.367,29.785,0.000,-101.074
1532215025.444,20.996,36.621,26.855,5.859,76.172
1532215025.448,2.441,34.668,26.367,3.906,166.504
1532215025.452,0.000,36.133,23.926,-1.953,19.043
1532215025.456,9.277,35.645,23.438,-3.906,-107.422
1532215025.460,6.348,35.645,26.855,1.465,15.625
1532215025.463,-1.953,39.551,28.320,11.230,134.766
1532215025.467,3.418,36.621,27.344,5.859,48.828
1532215025.471,15.137,31.738,31.738,-3.906,-95.703
1532215025.475,28.320,34.180,33.203,-9.277,-52.734
1532215025.479,27.344,32.715,28.320,-5.859,102.539
1532215025.483,0.977,34.668,30.273,-2.930,104.980
1532215025.487,-2.441,36.133,29.297,-7.812,-64.453
1532215025.491,10.742,27.344,25.391,-0.977,-76.660
1532215025.495,22.461,30.273,24.414,3.906,102.539
1532215025.499,27.344,41.504,20.996,0.488,151.367
1532215025.503,26.367,38.574,20.996,3.418,-22.461
1532215025.506,9.766,31.250,25.391,8.789,-110.840
1532215025.510,7.812,36.621,24.414,7.812,59.570
1532215025.514,12.207,38.086,19.531,-3.906,135.254
1532215025.518,9.766,31.250,19.531,-11.230,0.977
1532215025.522,2.930,29.297,15.625,-1.465,-95.703
1532215025.526,-7.812,28.809,9.766,-1.953,31.738
1532215025.530,0.977,29.297,19.043,-9.766,168.945
1532215025.534,17.090,33.691,22.949,-16.113,47.852
1532215025.538,15.137,38.574,19.043,-13.672,-107.422
1532215025.542,8.301,38.086,25.879,-7.812,-8.301
1532215025.545,4.395,39.551,26.367,-4.883,144.531
1532215025.549,-5.859,38.574,20.996,-0.977,120.117
1532215025.553,-1.953,36.621,24.902,-7.812,-41.992
1532215025.557,0.000,30.273,21.973,-12.207,-80.566
1532215025.561,9.277,29.297,19.043,-6.836,117.676
1532215025.565,13.184,36.133,19.531,-5.371,167.969
1532215025.569,-7.324,28.320,21.484,-6.836,-27.344
1532215025.573,-2.441,28.320,22.461,-9.277,-114.258
1532215025.577,25.879,37.109,22.461,-11.719,46.875
1532215025.581,13.184,33.203,27.832,-12.695,162.598
1532215025.585,-10.254,27.832,29.297,-10.742,42.969
1532215025.588,7.324,28.809,23.926,-2.930,-97.168
1532215025.592,24.414,32.715,20.508,-3.418,2.930
1532215025.596,8.789,35.645,21.484,-1.953,160.645
1532215025.600,-8.301,32.227,23.926,2.930,89.355
1532215025.604,-0.488,30.762,25.391,4.395,-81.055
1532215025.608,6.348,30.273,25.391,6.348,-29.297
1532215025.612,13.184,23.438,27.344,12.207,132.812
1532215025.616,28.809,22.461,26.855,1.465,101.562
1532215025.620,19.043,28.320,21.973,-3.906,-91.797
1532215025.624,4.395,34.180,23.926,9.766,-84.473
1532215025.627,-1.465,33.691,28.809,8.789,104.492
1532215025.631,9.766,28.809,27.344,9.277,139.648
1532215025.635,29.785,35.645,24.902,10.254,-31.738
1532215025.639,9.766,32.715,26.855,6.836,-127.441
1532215025.643,11.230,26.367,30.762,0.488,43.945
1532215025.647,29.785,30.762,33.691,3.906,164.062
1532215025.651,12.207,34.668,31.738,12.207,23.926
1532215025.655,-4.395,37.109,32.227,0.488,-162.598
1532215025.659,-3.906,40.527,28.320,-5.371,-49.805
1532215025.663,8.789,39.551,26.367,0.488,150.391
1532215025.667,24.414,33.691,32.715,2.441,91.309
1532215025.670,15.137,31.738,32.227,4.883,-88.867
1532215025.674,17.578,31.250,26.855,6.836,-71.289
1532215025.678,18.066,25.391,25.391,2.930,126.953
1532215025.682,1.465,24.902,30.273,8.789,152.344
1532215025.686,13.672,32.227,33.203,10.742,-36.133
1532215025.690,14.648,40.527,28.320,6.836,-78.613
1532215025.694,5.371,41.504,24.902,13.672,96.680
1532215025.698,9.277,35.156,26.855,13.672,129.395
1532215025.702,5.859,30.273,26.855,9.277,-32.715
1532215025.706,18.555,31.738,24.902,12.207,-147.949
1532215025.710,28.320,36.621,26.855,13.184,4.883
1532215025.713,11.230,38.086,33.691,7.324,145.020
1532215025.717,-1.953,34.668,35.645,0.488,33.203
1532215025.721,5.859,33.691,29.297,0.977,-108.887
1532215025.725,9.766,35.645,24.414,4.395,-19.531
1532215025.729,-3.906,32.715,26.855,-7.324,163.086
1532215025.733,0.000,34.668,27.832,-8.301,123.047
1532215025.737,12.207,35.645,23.926,0.488,-83.008
1532215025.741,9.766,29.785,21.484,-4.395,-78.613
1532215025.745,3.418,31.250,25.391,-4.883,105.957
1532215025.749,-4.883,31.738,30.762,2.441,127.930
1532215025.752,-0.488,35.645,24.414,-3.418,-47.852
1532215025.756,6.836,37.598,23.926,-15.625,-116.699
1532215025.760,7.324,35.645,32.227,-3.906,71.289
1532215025.764,14.648,35.645,33.691,5.371,159.668
1532215025.768,17.578,35.645,33.203,6.348,8.301
1532215025.772,16.602,32.227,29.785,3.906,-111.816
1532215025.776,15.625,32.227,32.227,0.488,1.953
1532215025.780,20.020,34.668,31.250,4.883,144.043
1532215025.784,17.578,29.785,26.855,-3.906,69.824
1532215025.788,1.953,29.785,31.250,-5.371,-83.984
1532215025.792,6.836,30.273,33.691,4.395,-31.738
1532215025.795,16.602,28.809,29.785,0.488,141.602
1532215025.799,6.836,33.203,26.367,0.000,140.137
1532215025.803,1.465,34.668,26.367,4.883,-34.668
1532215025.807,13.672,32.227,25.391,0.977,-66.406
1532215025.811,20.020,29.297,27.344,7.324,108.887
1532215025.815,13.184,34.180,28.320,16.113,133.789
1532215025.819,32.715,41.016,26.367,20.996,-53.711
1532215025.823,37.598,34.180,25.391,19.531,-120.605
1532215025.827,20.020,29.785,25.879,8.789,67.871
1532215025.831,7.812,31.250,27.832,3.906,166.992
1532215025.835,13.184,31.250,27.344,-3.906,20.020
1532215025.838,13.184,26.855,24.414,-3.418,-110.840
1532215025.842,14.648,18.555,23.438,8.301,-10.742
1532215025.846,19.043,22.461,24.414,14.648,143.555
1532215025.850,16.602,30.762,30.273,12.695,95.703
1532215025.854,32.715,32.715,31.250,3.906,-92.773
1532215025.858,22.461,31.250,26.855,3.418,-52.246
1532215025.862,9.277,33.691,27.344,14.160,151.855
1532215025.866,21.973,30.762,26.855,19.043,156.250
1532215025.870,32.227,24.414,27.832,19.531,-28.320
1532215025.874,25.391,25.391,27.832,13.672,-74.219
1532215025.877,14.648,23.926,22.461,13.672,88.379
1532215025.881,24.414,23.438,23.438,20.996,137.207
1532215025.885,22.949,25.391,25.879,19.043,-27.344
1532215025.889,16.602,25.391,23.438,14.648,-116.699
1532215025.893,22.949,19.043,23.926,17.578,13.672
1532215025.897,15.137,7.812,26.367,13.184,145.020
1532215025.901,13.184,-6.348,27.832,6.836,27.344
1532215025.905,26.367,-15.137,30.762,10.254,-129.883
1532215025.909,12.695,-13.672,27.344,12.695,-1.465
1532215025.913,16.113,-11.719,26.367,7.324,145.020
1532215025.917,31.250,-14.648,33.691,8.301,75.195
1532215025.920,9.277,-20.020,33.203,20.020,-98.633
1532215025.924,-2.441,-26.855,29.297,20.020,-62.988
1532215025.928,21.484,-30.762,28.809,14.648,120.605
1532215025.932,28.320,-35.156,25.391,17.578,126.465
1532215025.936,7.324,-40.527,22.461,24.902,-49.805
1532215025.940,1.465,-35.156,26.367,25.879,-112.305
1532215025.944,12.207,-30.273,36.621,24.414,75.195
1532215025.948,33.691,-31.738,37.598,24.414,152.344
1532215025.952,32.227,-34.668,29.785,10.254,6.836
1532215025.956,-0.488,-34.668,26.367,6.836,-120.605
1532215025.960,-0.488,-39.551,28.809,11.719,5.859
1532215025.963,13.184,-49.805,33.203,6.836,183.105
1532215025.967,20.508,-45.898,32.715,4.883,97.656
1532215025.971,7.324,-42.969,29.785,5.371,-78.125
1532215025.975,-2.441,-43.457,27.344,10.254,-19.043
1532215025.979,2.441,-46.387,29.297,12.207,158.691
1532215025.983,9.766,-49.805,31.738,7.812,117.676
1532215025.987,5.371,-42.969,34.180,6.348,-67.871
1532215025.991,5.371,-39.551,35.156,5.371,-34.668
1532215025.995,18.555,-41.992,34.180,0.488,89.844
1532215025.999,20.020,-39.062,34.180,-7.812,102.539
1532215026.002,6.836,-36.621,31.250,0.977,-21.484
1532215026.006,-9.277,-34.668,24.902,7.812,-109.375
1532215026.010,7.812,-28.320,26.855,13.672,65.430
1532215026.014,35.645,-24.902,34.180,15.137,177.734
1532215026.018,18.555,-16.602,33.691,4.395,36.621
1532215026.022,-3.418,-11.719,30.273,-5.859,-76.660
1532215026.026,-8.789,-11.719,26.367,-11.230,21.973
1532215026.030,-5.371,-0.977,22.949,-6.348,161.133
1532215026.034,16.113,-0.488,29.785,-5.859,72.266
1532215026.038,14.648,6.836,30.762,-6.348,-119.629
1532215026.042,19.043,17.090,28.320,-1.953,-24.902
1532215026.045,17.578,13.184,31.738,6.348,179.199
1532215026.049,4.395,19.043,30.762,6.348,157.227
1532215026.053,14.160,26.855,27.344,-1.953,-61.035
1532215026.057,17.090,24.902,29.785,2.441,-81.055
1532215026.061,10.254,22.461,26.855,4.395,122.559
1532215026.065,10.742,25.879,26.855,7.324,181.641
1532215026.069,18.066,33.691,35.156,7.324,-10.742
1532215026.073,18.555,36.621,33.691,5.371,-111.328
1532215026.077,18.066,34.180,27.344,5.859,42.480
1532215026.081,11.230,28.320,27.832,18.555,145.508
1532215026.084,7.812,26.367,30.762,24.414,19.043
1532215026.088,10.742,32.227,29.785,5.859,-123.047
1532215026.092,21.973,42.969,27.344,5.371,-9.277
1532215026.096,19.043,45.410,28.320,11.719,166.016
1532215026.100,-0.488,37.109,28.809,9.277,107.910
1532215026.104,8.789,35.645,25.391,1.465,-94.727
1532215026.108,4.395,40.527,30.273,-1.465,-44.434
1532215026.112,3.906,41.992,33.203,-4.883,118.164
1532215026.116,6.836,42.969,28.809,-7.324,107.910
1532215026.120,10.254,42.969,27.832,-5.371,-63.965
1532215026.124,23.438,37.598,29.785,-6.348,-93.262
1532215026.127,12.207,30.273,27.832,-6.348,101.562
1532215026.131,10.742,34.180,21.484,-10.254,139.648
1532215026.135,15.625,46.387,23.926,-8.789,-35.156
1532215026.139,22.949,49.805,25.879,-8.789,-100.586
1532215026.143,26.367,45.410,22.461,-3.418,35.156
1532215026.147,11.719,41.992,22.461,0.000,169.434
1532215026.151,26.367,46.875,26.367,3.906,57.617
1532215026.155,33.203,49.316,27.832,1.953,-156.738
1532215026.159,8.301,42.969,28.809,8.789,-32.227
1532215026.163,-3.906,35.645,34.668,18.555,156.250
1532215026.167,0.488,32.715,33.691,8.301,87.891
