timestamps,TP9,AF7,AF8,TP10,Right AUX
1532214880.424,10.742,34.180,28.809,13.672,192.871
1532214880.428,16.602,36.133,29.785,15.137,-70.312
1532214880.432,12.207,34.180,32.715,14.160,-190.430
1532214880.436,9.277,30.273,30.762,13.672,66.895
1532214880.439,19.043,28.320,25.879,15.625,197.754
1532214880.443,25.391,32.715,22.949,12.695,14.160
1532214880.447,25.879,37.109,16.113,11.230,-159.668
1532214880.451,24.902,34.668,12.695,11.230,-21.973
1532214880.455,25.879,29.785,17.578,3.906,205.566
1532214880.459,23.438,28.809,19.043,0.488,94.727
1532214880.463,23.926,30.762,19.531,1.953,-148.438
1532214880.467,27.344,33.203,20.508,7.812,-52.734
1532214880.471,24.414,33.691,20.020,5.859,198.730
1532214880.475,27.344,29.785,21.484,-0.488,186.035
1532214880.479,31.250,30.762,22.461,3.906,-70.312
1532214880.482,27.832,30.762,21.973,5.859,-131.836
1532214880.486,26.855,28.320,20.508,11.230,146.484
1532214880.490,30.273,27.344,18.066,10.742,214.355
1532214880.494,27.344,26.855,18.066,-0.488,-56.641
1532214880.498,20.508,24.902,18.555,6.348,-184.082
1532214880.502,21.484,24.902,22.461,14.648,53.223
1532214880.506,20.020,25.879,23.926,11.230,217.285
1532214880.510,21.973,25.391,22.461,9.277,29.297
1532214880.514,27.344,28.320,21.973,7.812,-167.480
1532214880.518,28.809,29.785,21.973,8.301,-14.648
1532214880.521,24.902,29.297,20.020,2.441,201.172
1532214880.525,31.250,29.297,20.020,0.977,116.699
1532214880.529,34.668,29.785,21.484,0.977,-158.691
1532214880.533,21.973,28.320,23.926,-0.488,-122.559
1532214880.537,22.949,30.762,24.414,2.930,174.805
1532214880.541,20.508,34.180,22.949,1.953,170.410
1532214880.545,11.719,31.738,24.902,-0.488,-83.496
1532214880.549,13.184,31.250,26.367,0.000,-136.719
1532214880.553,10.254,34.180,29.297,-3.418,99.121
1532214880.557,6.836,34.180,27.832,-9.277,220.703
1532214880.561,8.789,34.180,26.367,-9.277,-2.441
1532214880.564,4.883,29.785,28.809,-3.418,-161.133
1532214880.568,7.812,25.879,28.320,0.977,48.828
1532214880.572,17.578,31.250,20.020,-4.883,200.195
1532214880.576,22.461,40.527,12.207,-13.672,41.992
1532214880.580,17.578,42.480,14.648,-15.625,-189.453
1532214880.584,4.395,40.039,18.555,-19.531,-63.477
1532214880.588,0.000,38.574,16.602,-15.137,186.035
1532214880.592,-0.488,38.086,22.949,-19.531,96.680
1532214880.596,-1.953,36.621,30.273,-23.438,-158.691
1532214880.600,-0.977,31.250,31.738,-1.465,-112.305
1532214880.604,-2.930,25.879,36.133,3.906,163.086
1532214880.607,2.441,22.949,39.062,9.766,226.562
1532214880.611,7.324,22.461,36.133,13.672,-26.855
1532214880.615,11.230,21.484,32.715,11.230,-166.504
1532214880.619,19.531,24.902,34.180,19.043,110.840
1532214880.623,17.090,30.273,29.297,19.531,272.461
1532214880.627,17.578,32.715,20.508,11.230,39.062
1532214880.631,16.113,32.715,20.996,5.371,-187.500
1532214880.635,7.324,28.320,25.879,4.883,-11.719
1532214880.639,8.789,26.855,27.344,11.230,236.328
1532214880.643,9.766,24.414,30.762,12.695,112.305
1532214880.646,3.906,19.043,36.621,15.625,-146.484
1532214880.650,8.789,21.484,35.156,24.902,-81.055
1532214880.654,12.207,22.461,34.668,29.297,164.551
1532214880.658,27.832,20.508,33.691,33.203,165.527
1532214880.662,33.203,24.414,29.297,31.738,-110.840
1532214880.666,17.090,30.273,26.855,28.320,-125.000
1532214880.670,19.043,33.203,24.414,26.855,136.230
1532214880.674,17.578,30.762,25.879,20.996,175.781
1532214880.678,11.230,28.320,29.785,14.648,-53.711
1532214880.682,10.254,28.320,29.785,17.090,-152.344
1532214880.686,10.742,27.832,26.855,22.949,80.078
1532214880.689,13.184,28.809,28.320,22.949,197.266
1532214880.693,16.602,29.785,29.785,16.602,-21.973
1532214880.697,18.555,28.320,31.250,17.578,-202.148
1532214880.701,25.391,26.367,32.715,23.438,-40.039
1532214880.705,22.461,25.879,31.738,24.902,196.289
1532214880.709,15.625,27.344,28.320,23.926,90.820
1532214880.713,20.508,30.273,27.344,18.555,-205.078
1532214880.717,14.160,30.273,28.809,16.113,-108.887
1532214880.721,9.766,29.785,26.367,17.090,194.336
1532214880.725,16.602,35.645,21.484,12.695,169.434
1532214880.729,26.367,37.598,15.625,10.254,-102.539
1532214880.732,28.809,34.180,10.742,8.301,-189.453
1532214880.736,15.137,32.227,10.254,5.859,74.219
1532214880.740,2.441,30.762,8.301,3.418,237.305
1532214880.744,12.207,33.691,7.324,4.395,-26.855
1532214880.748,11.230,34.668,9.766,6.348,-217.773
1532214880.752,1.953,34.180,11.719,6.836,26.367
1532214880.756,5.859,29.297,14.648,12.695,210.449
1532214880.760,5.371,27.832,15.137,9.277,15.137
1532214880.764,0.977,34.180,10.254,-1.953,-200.684
1532214880.768,-4.395,37.598,6.348,-2.930,-44.434
1532214880.771,5.859,40.039,4.883,-8.301,196.289
1532214880.775,13.184,44.434,0.488,-19.531,76.660
1532214880.779,1.465,43.457,6.836,-19.043,-178.711
1532214880.783,-1.953,40.527,16.602,-13.672,-118.652
1532214880.787,1.465,41.992,15.137,-2.930,160.645
1532214880.791,7.324,43.457,15.625,6.348,153.320
1532214880.795,9.277,41.016,17.090,2.930,-117.676
1532214880.799,1.953,38.086,20.508,-1.953,-175.781
1532214880.803,3.418,37.109,22.949,0.977,83.008
1532214880.807,1.953,37.109,18.555,-0.977,184.082
1532214880.811,4.883,41.016,12.695,-11.230,-56.641
1532214880.814,10.254,43.457,5.859,-13.672,-202.637
1532214880.818,2.930,40.039,2.930,-9.277,6.836
1532214880.822,-5.859,36.621,11.230,-8.789,183.105
1532214880.826,-9.766,33.203,17.578,-9.277,59.082
1532214880.830,-0.488,34.180,16.113,-2.930,-182.617
1532214880.834,5.371,37.598,16.113,0.977,-90.332
1532214880.838,4.395,37.598,19.043,-3.418,193.848
1532214880.842,9.277,41.992,18.066,-4.395,131.836
1532214880.846,14.648,42.480,17.090,0.977,-148.438
1532214880.850,11.230,39.551,20.020,8.301,-121.582
1532214880.853,-4.395,37.598,25.391,0.488,140.625
1532214880.857,-8.301,32.227,27.344,-2.930,186.523
1532214880.861,-0.977,25.391,25.879,5.371,-50.293
1532214880.865,0.000,26.367,22.461,5.859,-143.555
1532214880.869,0.488,31.738,17.090,3.906,75.684
1532214880.873,2.930,35.156,12.207,-0.488,188.965
1532214880.877,12.695,40.039,10.742,-2.441,-5.859
1532214880.881,14.160,39.551,15.625,4.883,-197.754
1532214880.885,-0.488,29.785,22.461,9.766,-6.836
1532214880.889,0.488,25.879,23.926,8.301,216.309
1532214880.893,19.531,35.156,18.066,8.789,78.613
1532214880.896,30.762,39.062,12.695,13.184,-150.391
1532214880.900,17.090,34.668,12.695,13.184,-63.477
1532214880.904,10.254,30.762,17.090,12.207,212.402
1532214880.908,15.625,28.809,20.508,12.695,166.992
1532214880.912,26.367,26.855,23.438,14.160,-135.742
1532214880.916,34.668,33.691,18.555,20.020,-135.742
1532214880.920,34.180,41.504,10.254,17.090,145.020
1532214880.924,33.203,41.016,7.812,13.184,238.770
1532214880.928,26.367,38.574,11.230,10.254,3.418
1532214880.932,17.090,37.109,19.531,1.953,-147.461
1532214880.936,18.066,39.062,18.066,0.488,64.941
1532214880.939,21.484,39.551,10.742,3.906,219.727
1532214880.943,20.020,39.551,8.301,2.930,34.180
1532214880.947,15.137,38.086,13.184,6.836,-174.316
1532214880.951,5.371,35.156,20.020,7.324,-25.879
1532214880.955,-1.465,34.668,20.996,3.906,208.984
1532214880.959,-0.977,36.133,17.578,2.930,125.000
1532214880.963,0.977,36.133,19.043,7.812,-155.273
1532214880.967,6.348,31.738,21.484,18.066,-85.449
1532214880.971,12.207,31.250,17.090,11.719,191.895
1532214880.975,10.254,35.156,11.719,-0.977,162.109
1532214880.978,6.348,36.133,8.301,3.418,-97.168
1532214880.982,7.324,32.227,9.766,13.184,-129.883
1532214880.986,6.836,31.250,14.648,15.137,121.582
1532214880.990,18.066,35.645,11.230,15.625,192.383
1532214880.994,29.297,37.109,5.371,17.090,-45.898
1532214880.998,20.508,32.715,8.301,16.602,-173.828
1532214881.002,12.207,30.273,14.648,15.137,44.922
1532214881.006,8.789,28.320,13.184,13.184,208.008
1532214881.010,17.578,22.949,16.113,21.973,54.688
1532214881.014,24.902,27.344,14.648,20.996,-177.734
1532214881.018,26.367,30.762,6.836,18.555,-60.059
1532214881.021,25.879,31.250,7.812,25.391,211.426
1532214881.025,15.625,32.227,10.254,20.020,128.418
1532214881.029,17.578,29.785,13.672,22.949,-147.949
1532214881.033,19.043,30.762,10.254,30.762,-78.613
1532214881.037,20.020,32.715,8.301,30.273,191.406
1532214881.041,24.902,35.645,11.230,28.320,182.617
1532214881.045,21.484,33.203,12.695,28.320,-90.820
1532214881.049,21.973,29.785,15.137,31.250,-154.297
1532214881.053,17.578,29.297,16.113,32.227,107.910
1532214881.057,18.555,32.227,14.160,28.320,238.770
1532214881.061,21.484,32.715,17.090,21.973,46.387
1532214881.064,9.277,29.297,20.996,20.508,-137.695
1532214881.068,2.441,28.809,18.555,23.926,17.578
1532214881.072,1.953,29.785,17.090,21.973,212.402
1532214881.076,6.348,28.809,19.043,21.973,78.613
1532214881.080,11.719,29.297,16.602,26.367,-169.434
1532214881.084,8.789,32.227,12.207,22.949,-43.945
1532214881.088,0.977,34.668,11.719,18.555,229.492
1532214881.092,2.930,35.156,12.207,13.184,119.629
1532214881.096,1.953,37.109,13.672,5.371,-171.875
1532214881.100,-3.418,40.039,13.184,10.254,-120.117
1532214881.103,3.418,41.016,13.184,18.555,148.926
1532214881.107,0.000,38.086,18.066,21.484,198.730
1532214881.111,-10.742,34.180,21.973,12.695,-48.828
1532214881.115,-13.672,31.738,24.414,5.859,-163.574
1532214881.119,-9.277,33.203,25.391,17.090,91.797
1532214881.123,-5.371,37.109,20.996,22.461,224.609
1532214881.127,-4.883,39.062,17.090,21.484,52.734
1532214881.131,0.488,38.086,18.555,26.367,-133.301
1532214881.135,6.348,36.621,20.020,29.297,21.484
1532214881.139,6.836,36.621,18.555,26.855,227.051
1532214881.143,10.254,39.062,18.555,22.461,80.566
1532214881.146,11.230,39.551,16.113,19.531,-174.316
1532214881.150,13.184,40.527,10.742,20.996,-93.750
1532214881.154,12.695,41.504,10.254,19.531,178.223
1532214881.158,19.531,41.504,3.906,20.020,191.895
1532214881.162,26.367,39.551,1.953,24.902,-74.219
1532214881.166,14.648,38.086,8.789,29.297,-128.906
1532214881.170,11.230,41.504,2.930,26.855,125.977
1532214881.174,18.066,42.969,-5.371,26.855,205.078
1532214881.178,17.578,39.062,-0.488,31.250,-12.695
1532214881.182,7.812,31.738,8.789,29.297,-160.156
1532214881.185,4.883,28.320,11.230,31.250,67.383
1532214881.189,13.672,27.344,12.207,38.086,257.324
1532214881.193,23.438,28.320,14.160,36.133,39.551
1532214881.197,22.461,29.785,16.113,33.691,-187.012
1532214881.201,23.926,29.785,14.160,40.039,-7.812
1532214881.205,31.250,32.227,11.230,43.945,216.309
1532214881.209,25.879,37.598,8.301,28.809,114.258
1532214881.213,17.090,41.504,5.859,13.672,-170.410
1532214881.217,17.578,40.527,3.418,26.367,-131.836
1532214881.221,18.066,37.598,4.395,33.691,182.617
1532214881.225,19.531,37.598,3.418,24.902,189.941
1532214881.228,22.461,45.898,-5.859,19.531,-83.496
1532214881.232,23.438,45.898,-6.836,24.414,-114.258
1532214881.236,23.926,37.109,5.371,28.320,130.371
1532214881.240,10.742,32.227,10.742,21.973,194.824
1532214881.244,9.277,28.320,13.672,22.461,-35.156
1532214881.248,23.926,26.855,19.531,31.250,-167.969
1532214881.252,21.973,33.691,14.648,22.461,27.832
1532214881.256,12.695,42.969,6.836,2.930,187.988
1532214881.260,17.578,47.852,4.395,10.254,29.297
1532214881.264,16.602,44.922,5.371,22.949,-165.527
1532214881.268,2.441,31.738,12.207,21.973,-19.531
1532214881.271,2.930,26.855,16.113,17.090,193.848
1532214881.275,10.254,33.691,10.254,10.742,114.258
1532214881.279,11.719,38.086,6.348,6.348,-139.160
1532214881.283,10.742,40.039,11.230,15.137,-127.930
1532214881.287,9.277,34.180,15.625,25.879,132.324
1532214881.291,12.695,31.738,18.555,23.926,169.434
1532214881.295,13.184,38.574,15.137,12.207,-94.238
1532214881.299,8.789,41.992,11.230,13.184,-180.176
1532214881.303,10.742,40.039,9.277,20.020,79.590
1532214881.307,12.207,40.039,6.348,18.066,197.266
1532214881.310,10.742,43.457,4.395,13.184,-25.879
