timestamps,TP9,AF7,AF8,TP10,Right AUX
1532214765.073,3.418,41.992,27.344,-6.836,266.113
1532214765.077,2.930,37.598,28.320,-13.672,31.738
1532214765.081,-1.465,35.645,29.297,-12.695,-235.352
1532214765.085,-5.859,35.156,26.367,-7.812,-29.785
1532214765.089,-6.348,35.645,27.832,-8.301,236.816
1532214765.093,3.418,39.551,29.297,-8.301,58.105
1532214765.096,6.348,37.598,26.855,-12.695,-234.375
1532214765.100,-3.418,32.715,26.367,-11.230,-81.543
1532214765.104,-10.254,33.203,27.344,-11.230,230.957
1532214765.108,-0.977,33.691,26.367,-15.137,182.617
1532214765.112,7.324,33.203,22.949,-17.578,-164.551
1532214765.116,4.883,32.715,22.461,-15.625,-202.148
1532214765.120,6.836,36.621,21.484,-8.301,160.156
1532214765.124,8.789,37.109,23.926,-1.953,237.305
1532214765.128,-2.441,31.250,28.809,-4.395,-39.062
1532214765.132,1.953,30.273,26.855,-9.766,-177.734
1532214765.136,17.578,33.691,23.926,-6.836,83.008
1532214765.139,14.648,37.598,21.973,-6.836,261.230
1532214765.143,0.977,37.598,24.414,-10.254,20.996
1532214765.147,0.977,35.645,26.367,-10.254,-212.402
1532214765.151,-1.465,36.133,21.484,-8.789,-20.020
1532214765.155,-6.836,36.133,21.484,-12.695,231.934
1532214765.159,-8.789,35.156,22.949,-18.066,98.145
1532214765.163,-12.695,36.621,24.902,-18.555,-183.594
1532214765.167,-9.277,38.086,24.414,-19.531,-103.027
1532214765.171,-4.395,38.574,23.438,-18.066,212.402
1532214765.175,-1.953,38.574,27.832,-21.484,184.082
1532214765.178,-4.883,39.551,27.832,-22.949,-144.531
1532214765.182,-0.977,42.480,22.949,-16.602,-157.715
1532214765.186,-1.953,41.504,24.414,-6.836,150.879
1532214765.190,-0.488,38.086,30.273,4.883,282.227
1532214765.194,8.789,38.574,33.203,-3.906,-12.695
1532214765.198,-5.859,39.062,35.156,-18.066,-231.445
1532214765.202,-14.160,34.668,38.574,-10.254,85.938
