timestamps,TP9,AF7,AF8,TP10,Right AUX
1532281384.952,29.785,41.992,21.484,24.902,-77.148
1532281384.956,28.809,40.527,21.973,30.273,-63.965
1532281384.960,29.785,39.062,26.367,31.250,115.234
1532281384.963,23.926,38.574,26.855,22.461,118.164
1532281384.967,25.879,39.062,24.902,23.438,-50.781
1532281384.971,32.715,41.016,22.949,26.855,-81.055
1532281384.975,27.344,46.387,20.996,21.973,107.422
1532281384.979,21.973,45.410,20.996,19.043,196.289
1532281384.983,25.879,40.039,24.414,14.648,-29.297
1532281384.987,28.809,37.109,25.391,15.625,-145.996
1532281384.991,28.809,36.133,24.902,24.414,31.738
1532281384.995,26.855,41.016,24.902,25.879,168.945
1532281384.999,25.879,45.410,24.414,23.438,79.590
1532281385.002,30.762,46.387,26.367,23.438,-92.773
1532281385.006,32.715,45.410,26.367,27.344,-26.367
1532281385.010,28.320,41.504,27.344,29.785,151.367
1532281385.014,24.902,39.551,30.273,26.855,90.332
1532281385.018,26.855,39.062,30.273,24.902,-100.098
1532281385.022,26.855,39.062,27.344,24.414,-99.121
1532281385.026,28.320,36.133,28.809,29.297,98.633
1532281385.030,31.250,33.691,34.668,32.227,153.809
1532281385.034,27.832,36.621,36.621,30.273,-29.297
1532281385.038,27.832,39.551,32.227,31.250,-104.492
1532281385.042,34.668,37.109,32.227,33.203,66.406
1532281385.045,37.598,36.621,34.180,33.203,145.996
1532281385.049,43.457,37.109,33.203,39.062,-20.996
1532281385.053,44.922,36.621,33.203,39.062,-111.816
1532281385.057,39.062,38.574,31.738,32.227,37.109
1532281385.061,33.691,36.133,33.203,32.715,153.809
1532281385.065,32.715,32.715,37.109,35.645,49.316
1532281385.069,36.133,32.227,37.109,39.551,-89.844
1532281385.073,35.645,35.156,33.691,35.156,-16.602
1532281385.077,32.715,35.156,33.203,31.250,166.016
1532281385.081,26.855,33.203,31.250,25.879,119.141
1532281385.085,28.809,38.574,28.809,19.531,-111.328
1532281385.088,35.645,37.598,27.832,24.414,-95.703
1532281385.092,32.715,31.250,29.785,26.855,132.812
1532281385.096,28.809,26.367,35.156,26.367,198.730
1532281385.100,29.297,25.391,35.645,27.344,1.953
1532281385.104,31.250,30.762,31.738,26.367,-95.215
1532281385.108,35.156,36.133,30.273,29.785,91.797
1532281385.112,41.504,38.086,30.273,36.133,202.637
1532281385.116,39.062,33.203,32.227,39.551,54.688
1532281385.120,32.715,28.809,33.691,36.133,-92.285
1532281385.124,32.227,29.785,34.180,28.320,20.508
1532281385.127,32.227,31.738,33.203,28.320,173.340
1532281385.131,35.156,30.273,32.227,33.203,106.934
1532281385.135,35.156,25.391,34.180,35.156,-88.379
1532281385.139,31.738,24.414,32.715,37.598,-67.383
1532281385.143,31.250,27.344,33.203,33.691,146.484
1532281385.147,33.691,26.367,35.645,34.180,134.766
1532281385.151,33.691,25.879,36.133,33.691,-57.129
1532281385.155,34.180,30.762,34.180,31.738,-89.355
1532281385.159,38.574,33.203,33.203,35.645,92.285
1532281385.163,33.691,30.762,33.691,25.879,145.996
1532281385.167,33.203,28.809,31.738,21.973,-33.203
1532281385.170,38.086,29.785,33.203,34.180,-110.840
1532281385.174,34.668,29.297,34.668,33.691,66.406
1532281385.178,31.738,29.297,33.203,28.320,199.707
1532281385.182,30.273,29.297,37.109,26.367,62.012
1532281385.186,33.203,27.344,39.062,26.855,-108.398
1532281385.190,39.062,26.367,37.598,32.715,-5.859
1532281385.194,37.598,26.855,39.062,32.715,186.035
1532281385.198,37.598,27.832,39.062,34.668,110.352
1532281385.202,35.156,29.297,40.527,34.668,-99.121
1532281385.206,29.297,32.715,38.574,29.297,-85.938
1532281385.209,24.902,32.227,35.645,28.320,111.816
1532281385.213,22.949,27.344,37.109,26.855,120.117
1532281385.217,26.855,28.809,35.156,28.809,-69.824
1532281385.221,31.738,30.762,35.156,32.227,-130.859
1532281385.225,26.855,32.227,39.551,30.762,52.246
1532281385.229,23.438,28.809,42.480,31.250,167.969
1532281385.233,31.738,29.785,40.039,36.621,10.742
1532281385.237,36.621,33.203,37.109,38.086,-114.746
1532281385.241,34.668,32.715,37.598,36.621,16.602
1532281385.245,37.598,35.156,36.621,36.621,172.852
1532281385.249,42.480,36.133,36.621,37.109,62.012
1532281385.252,40.527,36.621,34.668,38.574,-121.582
1532281385.256,37.109,37.109,33.691,38.574,-32.715
1532281385.260,35.645,34.668,37.598,36.621,183.105
1532281385.264,38.574,34.180,39.062,27.832,99.121
1532281385.268,40.039,35.645,33.203,27.344,-116.699
1532281385.272,40.527,36.133,32.227,39.551,-49.805
1532281385.276,43.945,37.598,32.715,42.480,160.156
1532281385.280,41.992,38.086,32.715,39.062,167.969
1532281385.284,43.457,39.062,37.598,38.086,-44.922
1532281385.288,48.340,37.598,38.086,41.504,-96.191
1532281385.292,45.410,35.645,36.621,41.992,78.613
1532281385.295,43.457,38.574,37.109,37.598,203.125
1532281385.299,45.898,39.062,38.574,43.945,61.523
