timestamps,TP9,AF7,AF8,TP10,Right AUX
1532281995.083,48.828,29.297,20.996,44.434,75.195
1532281995.087,46.875,27.344,23.926,38.086,12.695
1532281995.091,41.992,25.879,21.484,32.227,35.156
1532281995.095,42.969,26.855,20.996,36.621,72.754
1532281995.099,45.410,27.344,24.902,41.016,56.152
1532281995.103,48.340,27.344,24.902,40.527,-2.930
1532281995.106,52.246,28.320,25.391,43.945,-15.625
1532281995.110,57.129,28.809,25.879,43.945,29.297
1532281995.114,60.547,29.297,25.391,44.922,39.062
1532281995.118,55.664,28.809,24.414,48.828,-6.836
1532281995.122,49.805,25.391,23.926,45.410,-31.738
1532281995.126,47.363,24.414,23.438,41.992,35.645
1532281995.130,46.875,24.414,23.926,39.551,83.984
1532281995.134,41.504,24.414,25.879,39.062,22.949
1532281995.138,39.062,25.879,28.320,41.992,-11.719
1532281995.142,41.016,29.785,26.367,41.016,10.254
1532281995.146,41.016,32.715,27.832,40.527,50.293
1532281995.149,37.598,34.668,29.297,33.691,22.949
1532281995.153,39.551,36.133,25.391,28.809,-18.555
1532281995.157,49.316,35.645,26.367,36.621,39.551
1532281995.161,47.363,36.133,28.809,40.527,86.426
1532281995.165,46.387,36.621,27.832,42.480,51.758
1532281995.169,47.852,39.551,25.879,38.574,8.789
1532281995.173,41.016,40.527,24.902,33.691,-11.230
1532281995.177,39.062,37.598,27.832,34.180,36.621
1532281995.181,41.504,35.645,29.297,33.691,86.426
1532281995.185,37.598,36.621,25.391,30.762,31.738
1532281995.188,38.574,35.645,25.391,31.250,11.230
1532281995.192,42.969,34.180,27.344,33.691,41.992
1532281995.196,44.434,36.133,26.855,33.691,52.734
1532281995.200,44.434,34.668,27.832,34.668,18.555
1532281995.204,41.016,31.250,28.809,38.574,-4.395
1532281995.208,42.969,32.227,28.320,35.645,17.578
1532281995.212,39.062,31.738,28.809,31.738,50.293
1532281995.216,33.691,30.273,29.785,32.227,38.574
1532281995.220,33.691,31.250,29.785,30.273,0.488
1532281995.224,33.691,31.250,32.715,33.203,35.156
1532281995.228,33.203,31.250,30.762,37.109,76.172
