timestamps,TP9,AF7,AF8,TP10,Right AUX
1532385456.903,41.016,23.926,1.465,44.922,23.926
1532385456.907,43.945,19.043,0.000,35.645,43.457
1532385456.911,49.316,16.602,4.883,40.527,35.156
1532385456.914,42.969,20.020,7.324,41.504,48.828
1532385456.918,43.457,24.902,7.324,35.156,40.039
1532385456.922,42.480,28.809,3.418,35.645,31.250
1532385456.926,34.180,31.250,0.977,39.062,40.039
1532385456.930,39.062,24.414,0.977,34.180,25.391
1532385456.934,42.969,16.602,0.000,30.762,18.066
1532385456.938,41.016,22.949,2.441,29.297,14.648
1532385456.942,43.457,34.180,7.812,25.879,-0.488
1532385456.946,40.039,28.320,7.324,24.902,34.180
1532385456.950,40.039,19.531,2.930,29.297,48.340
1532385456.954,48.340,14.160,5.371,35.156,56.152
1532385456.957,45.410,12.695,8.301,36.133,58.594
1532385456.961,41.992,20.996,4.883,37.109,58.594
1532385456.965,46.387,28.809,2.441,38.574,50.781
1532385456.969,52.734,26.367,5.371,41.504,8.301
1532385456.973,61.035,22.461,5.371,48.340,32.715
1532385456.977,64.453,24.902,6.348,44.922,31.250
1532385456.981,50.293,18.555,10.742,42.480,20.996
1532385456.985,43.457,11.719,7.812,45.410,56.641
1532385456.989,42.969,25.879,-1.465,40.527,39.551
1532385456.993,42.480,28.320,-0.488,37.598,50.293
1532385456.997,48.828,22.461,7.324,37.598,47.363
1532385457.000,50.293,22.461,5.371,30.762,-16.113
1532385457.004,45.898,17.578,2.930,34.668,-0.488
1532385457.008,42.480,18.066,6.836,40.039,38.086
1532385457.012,44.434,20.508,5.859,38.086,20.508
1532385457.016,50.781,24.902,4.395,40.039,-7.812
1532385457.020,46.387,25.879,9.277,37.109,-0.488
1532385457.024,33.691,20.020,5.371,32.715,34.180
1532385457.028,40.039,12.695,-0.977,31.738,44.922
1532385457.032,37.109,12.695,-1.465,29.297,45.898
1532385457.036,26.855,19.043,4.395,30.762,23.926
1532385457.039,29.297,21.484,10.254,29.785,-1.465
1532385457.043,34.180,16.602,11.230,33.203,29.297
1532385457.047,39.062,18.555,12.695,37.109,12.695
1532385457.051,32.227,21.973,13.184,31.738,-2.441
1532385457.055,27.832,14.160,14.160,25.391,39.551
1532385457.059,25.879,18.066,15.625,20.508,20.508
1532385457.063,28.320,24.414,18.066,20.508,0.488
1532385457.067,24.902,16.113,19.531,20.996,19.043
1532385457.071,20.996,4.395,17.090,20.508,27.832
1532385457.075,28.809,8.301,20.508,26.855,21.973
