timestamps,TP9,AF7,AF8,TP10,Right AUX
1532279006.606,34.668,24.902,16.602,50.781,77.148
1532279006.610,30.273,27.344,17.578,50.293,115.234
1532279006.614,22.949,26.855,19.043,48.340,-3.906
1532279006.618,19.531,26.367,20.020,46.387,-65.918
1532279006.622,16.113,24.902,20.020,42.480,42.969
1532279006.626,15.137,25.879,21.484,39.551,139.648
1532279006.630,12.207,29.297,23.438,32.227,7.812
1532279006.633,11.230,30.762,23.438,28.320,-128.906
1532279006.637,12.207,31.738,21.484,34.668,3.418
1532279006.641,13.184,32.227,20.020,38.086,127.930
1532279006.645,14.648,28.809,23.926,39.062,54.199
1532279006.649,17.578,26.855,25.391,39.062,-76.660
1532279006.653,19.531,27.344,21.973,39.062,9.277
1532279006.657,20.996,27.344,22.949,41.504,147.461
1532279006.661,19.043,27.832,23.926,43.945,88.867
1532279006.665,21.973,29.297,22.461,40.039,-26.367
1532279006.669,23.438,34.668,16.113,36.621,-29.785
1532279006.673,22.949,37.598,13.672,41.992,81.543
1532279006.676,19.531,32.715,19.043,44.922,132.324
1532279006.680,10.742,32.227,22.461,33.691,-6.348
1532279006.684,13.672,31.738,24.414,37.598,-82.520
1532279006.688,15.137,26.367,28.320,44.922,28.809
1532279006.692,11.719,27.832,24.902,28.809,123.047
1532279006.696,11.230,32.715,18.066,20.508,47.852
1532279006.700,12.695,37.598,15.625,26.855,-72.266
1532279006.704,12.207,36.133,17.578,31.250,3.906
1532279006.708,6.836,30.762,22.461,28.809,137.207
1532279006.712,4.395,28.809,22.949,22.949,76.660
1532279006.715,3.418,30.762,25.391,22.949,-55.664
1532279006.719,7.324,31.250,29.297,33.203,-23.926
1532279006.723,15.625,27.832,31.250,40.039,128.418
1532279006.727,13.184,24.902,31.250,39.551,140.625
1532279006.731,6.836,23.926,30.273,34.668,-22.949
1532279006.735,9.277,24.414,25.391,32.227,-68.848
1532279006.739,8.301,23.926,20.020,36.133,98.633
1532279006.743,12.207,23.926,22.949,42.480,144.531
1532279006.747,14.160,24.902,25.879,38.574,6.836
1532279006.751,11.230,24.414,25.879,30.273,-89.355
1532279006.755,22.949,23.438,27.832,39.062,-8.301
1532279006.758,32.715,26.367,25.391,48.340,133.789
1532279006.762,30.762,28.320,20.508,44.922,62.988
1532279006.766,24.902,26.367,22.461,44.434,-66.895
1532279006.770,28.809,26.855,20.996,45.410,-29.297
1532279006.774,32.715,26.855,20.020,49.805,102.051
1532279006.778,33.691,28.320,25.391,53.711,106.934
1532279006.782,34.668,28.320,25.879,52.246,-38.086
1532279006.786,33.203,26.855,25.879,53.711,-63.477
1532279006.790,32.227,22.461,27.832,56.152,79.102
1532279006.794,28.809,18.555,29.297,58.594,126.953
1532279006.797,29.297,20.996,28.809,59.082,-20.508
1532279006.801,35.156,19.531,26.855,65.918,-63.965
1532279006.805,36.133,19.531,26.367,68.848,90.332
1532279006.809,33.203,21.484,25.391,60.059,161.621
1532279006.813,32.715,20.508,22.461,52.734,30.762
1532279006.817,35.156,21.484,19.531,55.176,-67.871
1532279006.821,35.645,21.484,19.043,62.500,22.949
1532279006.825,38.574,21.484,19.531,62.988,152.344
1532279006.829,39.062,24.414,18.555,57.617,61.523
1532279006.833,37.598,25.391,15.137,54.688,-93.750
1532279006.837,42.969,25.391,14.648,59.082,-29.785
1532279006.840,45.410,23.926,12.695,61.035,113.281
1532279006.844,41.992,24.902,9.766,55.176,111.328
1532279006.848,38.574,27.344,12.695,53.711,-33.691
1532279006.852,41.504,27.344,12.695,57.129,-52.734
1532279006.856,42.969,27.344,10.742,60.547,73.242
1532279006.860,43.457,30.273,10.254,59.082,100.586
1532279006.864,43.945,31.738,11.719,56.152,-28.320
1532279006.868,46.387,30.762,15.137,56.641,-72.266
1532279006.872,47.363,29.297,14.648,54.199,7.812
1532279006.876,42.969,27.832,10.742,55.664,91.309
1532279006.880,42.480,28.320,11.230,56.641,36.621
1532279006.883,44.922,28.320,12.695,56.152,-69.336
1532279006.887,41.016,25.391,9.766,59.082,15.625
1532279006.891,36.621,24.902,12.695,56.641,145.996
1532279006.895,35.645,24.414,15.625,53.711,63.965
