timestamps,TP9,AF7,AF8,TP10,Right AUX
1532484890.195,20.020,-7.324,21.484,24.902,24.414
1532484890.199,23.926,-13.672,22.461,25.391,-123.535
1532484890.203,22.461,0.000,20.508,15.137,-60.059
1532484890.207,19.531,2.930,17.090,9.277,-124.512
1532484890.211,17.578,8.789,19.531,10.254,-156.250
1532484890.215,22.461,15.137,22.461,12.695,335.449
1532484890.218,26.367,-4.883,22.461,13.672,236.328
1532484890.222,25.879,0.488,23.438,14.160,-176.758
1532484890.226,29.297,11.719,23.438,18.555,-183.594
1532484890.230,30.762,12.695,20.996,24.414,-147.461
1532484890.234,26.855,23.438,16.602,17.090,444.824
1532484890.238,29.785,-13.672,19.043,12.695,338.867
1532484890.242,30.273,-0.488,21.973,16.113,-311.035
1532484890.246,29.785,15.137,20.508,17.090,-214.355
1532484890.250,30.762,3.418,23.438,19.043,-67.383
1532484890.254,27.344,11.719,21.973,17.578,113.770
1532484890.258,21.973,5.371,20.020,9.766,-61.035
1532484890.261,22.461,13.672,22.949,4.883,-31.738
1532484890.265,27.344,9.766,21.973,8.301,185.547
1532484890.269,32.227,-3.418,21.484,12.207,-161.621
1532484890.273,26.367,31.738,20.508,12.207,109.375
1532484890.277,23.438,17.090,20.508,6.348,703.613
1532484890.281,22.949,-10.742,24.414,18.555,-63.965
1532484890.285,20.508,8.789,26.367,20.508,-231.445
1532484890.289,21.973,10.254,22.949,15.137,-90.332
1532484890.293,21.484,18.066,21.484,16.113,-117.188
1532484890.297,21.484,4.883,22.461,19.043,-36.621
1532484890.301,22.461,-9.766,23.438,17.090,-104.004
1532484890.304,20.020,0.977,21.484,5.859,-17.090
1532484890.308,19.043,10.254,20.020,7.324,16.602
1532484890.312,20.508,12.695,21.973,7.812,112.793
1532484890.316,20.020,9.277,23.926,14.648,698.730
1532484890.320,27.832,-17.578,25.879,20.996,127.441
1532484890.324,33.691,-6.348,23.926,11.230,-364.746
1532484890.328,27.832,3.418,24.414,13.184,-209.473
1532484890.332,22.949,-1.465,22.949,22.461,-67.871
1532484890.336,23.438,-13.184,21.973,21.484,95.703
1532484890.340,22.949,-5.371,20.996,9.766,-129.883
1532484890.343,21.484,1.953,18.066,4.395,-185.059
1532484890.347,22.949,-4.883,19.531,16.602,-122.070
1532484890.351,23.926,-3.418,21.973,24.902,9.277
1532484890.355,25.391,2.930,17.578,20.020,281.250
1532484890.359,29.297,-8.789,17.578,11.230,9.277
1532484890.363,26.855,-3.418,20.020,14.648,-193.359
1532484890.367,27.832,-3.906,20.020,21.973,-48.828
1532484890.371,24.902,2.930,20.996,16.602,-43.457
1532484890.375,25.879,27.832,20.508,8.789,565.918
1532484890.379,35.156,-17.090,22.461,14.160,342.285
1532484890.383,32.715,-16.602,24.414,5.859,-247.559
1532484890.386,30.762,-7.324,22.949,7.812,-114.746
1532484890.390,28.320,-0.488,18.555,14.160,-109.863
1532484890.394,29.297,13.672,20.508,14.648,87.891
1532484890.398,37.109,-3.418,24.902,26.855,-15.625
1532484890.402,34.180,2.441,24.902,26.855,137.207
1532484890.406,32.227,-3.418,24.902,16.602,167.480
1532484890.410,33.203,-1.953,24.414,17.578,-299.316
1532484890.414,28.320,25.391,23.926,24.902,245.117
1532484890.418,27.832,-19.531,26.367,23.926,646.484
1532484890.422,26.367,-27.344,27.344,20.996,-149.902
1532484890.426,22.949,3.418,24.902,18.066,-280.762
1532484890.429,23.438,-2.930,26.855,23.926,-144.043
1532484890.433,21.484,-1.953,31.250,24.414,73.730
1532484890.437,24.902,-11.719,27.832,19.043,32.227
1532484890.441,22.949,-11.719,20.996,23.438,-228.027
1532484890.445,23.438,-6.836,28.320,25.391,-123.047
1532484890.449,25.391,-13.672,31.250,19.043,46.875
1532484890.453,23.926,-5.371,26.855,19.043,273.926
1532484890.457,23.438,-0.977,24.414,14.648,700.684
1532484890.461,28.320,-16.602,24.902,13.672,-85.938
1532484890.465,32.715,-3.418,24.414,24.414,-348.633
1532484890.468,34.668,-8.301,24.902,19.531,-46.387
1532484890.472,36.621,-2.930,24.414,17.578,-75.195
1532484890.476,33.691,-2.441,21.973,21.484,-93.262
1532484890.480,31.738,-4.395,21.484,15.137,-178.711
1532484890.484,31.738,-4.883,24.414,20.996,-59.570
1532484890.488,31.250,-9.766,25.391,23.926,-86.426
1532484890.492,29.785,1.953,22.461,16.602,-104.980
1532484890.496,33.203,2.930,22.949,21.973,120.117
1532484890.500,36.133,-10.254,24.414,20.020,3.418
1532484890.504,29.297,-8.301,24.902,11.230,-97.168
1532484890.508,25.391,-4.883,23.438,5.859,-165.039
1532484890.511,28.809,10.742,20.508,13.184,-102.051
1532484890.515,30.273,21.973,20.996,20.996,680.664
1532484890.519,33.691,-24.902,23.926,25.391,262.207
1532484890.523,31.250,-12.695,22.461,18.555,-314.941
1532484890.527,31.738,2.930,22.461,19.531,-204.102
1532484890.531,38.086,-1.465,24.414,21.973,-68.848
