timestamps,TP9,AF7,AF8,TP10,Right AUX
1532485548.692,-74.707,24.414,31.738,32.715,-451.660
1532485548.696,-68.359,15.137,30.762,30.273,-410.645
1532485548.699,-72.266,35.156,28.809,6.836,-207.520
1532485548.703,-75.684,25.391,29.297,23.438,-113.770
1532485548.707,-68.359,20.508,31.738,47.852,-473.633
1532485548.711,-63.477,62.012,32.227,52.246,4.395
1532485548.715,-62.988,23.438,31.250,48.340,141.113
1532485548.719,-63.965,30.273,32.715,34.668,-135.742
1532485548.723,-62.500,81.055,35.645,27.344,687.500
1532485548.727,-57.129,-5.371,35.156,38.574,234.375
1532485548.731,-59.570,-10.742,30.762,49.316,-420.898
1532485548.735,-58.594,20.996,31.738,31.250,-496.094
1532485548.739,-50.293,27.832,31.738,27.832,-514.648
1532485548.742,-48.340,18.555,31.250,38.086,-62.500
1532485548.746,-53.223,7.812,31.250,45.410,-202.637
1532485548.750,-56.152,21.484,28.320,36.621,-403.809
1532485548.754,-51.270,25.391,27.344,28.320,-530.762
1532485548.758,-52.246,68.848,26.855,29.785,-97.656
1532485548.762,-53.711,94.727,24.414,15.625,850.586
1532485548.766,-50.781,-14.648,26.855,33.691,337.891
1532485548.770,-49.316,-14.648,25.879,46.387,-514.160
1532485548.774,-47.363,21.484,24.414,38.086,-631.348
1532485548.778,-44.922,23.926,25.391,38.574,-409.668
1532485548.781,-48.340,24.414,26.367,34.668,150.879
1532485548.785,-48.828,5.371,28.320,42.480,-250.000
1532485548.789,-40.527,26.367,27.344,40.039,-599.121
1532485548.793,-33.691,26.855,27.832,43.945,-431.152
1532485548.797,-33.203,30.762,28.320,57.129,-285.645
1532485548.801,-38.086,54.199,27.344,33.691,187.500
1532485548.805,-41.992,51.758,26.855,14.648,262.207
1532485548.809,-35.156,46.875,22.949,37.598,157.715
1532485548.813,-30.273,12.207,20.996,43.945,-3.906
1532485548.817,-38.574,9.277,22.949,38.574,-418.945
1532485548.821,-42.480,106.934,23.438,29.297,242.676
1532485548.824,-32.227,46.875,25.879,33.691,749.023
1532485548.828,-28.809,-22.949,29.297,43.457,-117.188
1532485548.832,-35.156,10.254,28.809,33.691,-408.691
1532485548.836,-39.062,20.020,26.367,31.738,-552.246
1532485548.840,-31.738,68.848,23.926,25.879,-268.555
1532485548.844,-24.902,34.180,23.438,36.133,-45.898
1532485548.848,-33.203,4.395,24.902,41.992,-333.496
1532485548.852,-40.527,52.246,24.414,27.832,-39.551
1532485548.856,-38.574,41.016,26.855,32.227,45.410
1532485548.860,-35.645,54.688,29.297,31.250,89.355
1532485548.864,-39.551,57.129,25.879,27.832,770.020
