timestamps,TP9,AF7,AF8,TP10,Right AUX
1532485343.723,46.387,50.781,32.227,21.973,-291.992
1532485343.727,49.316,41.016,35.156,35.156,-488.770
1532485343.730,44.434,37.109,34.668,30.762,-375.000
1532485343.734,40.527,49.805,29.297,20.996,-515.625
1532485343.738,41.504,127.441,26.855,27.344,-91.797
1532485343.742,42.969,110.352,27.344,34.180,288.574
1532485343.746,41.504,66.406,30.762,37.598,258.789
1532485343.750,37.598,24.902,29.785,29.785,-105.469
1532485343.754,38.086,20.508,26.855,26.855,-621.582
1532485343.758,35.645,152.832,25.879,31.738,18.555
1532485343.762,36.621,123.535,29.297,31.250,811.035
1532485343.766,36.133,-22.461,31.250,21.484,-93.750
1532485343.770,34.180,22.461,29.297,18.066,-610.352
1532485343.773,41.016,41.016,30.273,37.109,-563.477
1532485343.777,43.945,73.730,28.809,41.992,-199.219
1532485343.781,46.875,36.621,27.832,36.133,-32.715
1532485343.785,47.852,22.949,28.809,34.668,-474.121
1532485343.789,48.828,108.887,28.320,34.668,-71.777
1532485343.793,50.293,50.293,26.367,36.621,105.957
1532485343.797,43.945,47.363,27.344,29.297,-12.207
1532485343.801,40.039,146.484,28.809,18.555,726.562
1532485343.805,40.527,21.973,27.344,25.879,60.547
1532485343.809,38.574,-4.395,26.367,35.156,-560.547
1532485343.812,40.039,18.555,28.320,30.762,-448.242
1532485343.816,40.527,25.879,28.320,25.391,-420.898
1532485343.820,41.016,39.062,29.785,31.738,-178.711
1532485343.824,44.434,33.691,30.273,40.039,-378.906
1532485343.828,48.828,35.645,32.227,39.551,-382.324
1532485343.832,45.410,21.973,31.250,29.297,-417.969
1532485343.836,38.086,109.863,29.785,26.855,-49.316
1532485343.840,43.457,188.965,31.738,25.391,832.031
1532485343.844,49.316,24.414,29.297,30.762,334.473
1532485343.848,41.016,-29.785,27.832,27.832,-388.672
1532485343.852,24.414,22.949,30.762,18.066,-575.684
1532485343.855,-7.812,52.246,29.785,21.973,-519.531
1532485343.859,-44.434,62.012,26.855,28.320,80.566
1532485343.863,-69.824,9.766,32.227,37.598,-143.555
1532485343.867,-97.168,24.902,34.668,31.738,-478.516
1532485343.871,-118.164,39.551,34.180,26.367,-518.555
1532485343.875,-133.301,54.688,36.133,35.645,-376.953
1532485343.879,-141.602,73.242,37.109,36.621,234.863
1532485343.883,-130.371,59.570,34.180,24.414,276.367
1532485343.887,-110.352,47.363,35.156,20.996,-44.922
1532485343.891,-92.285,20.508,37.109,34.180,-268.555
1532485343.895,-80.078,22.461,35.645,35.645,-347.168
1532485343.898,-76.172,133.789,34.180,18.555,444.336
1532485343.902,-59.082,63.965,35.156,19.531,581.543
1532485343.906,-28.809,-2.441,43.945,42.480,-328.613
1532485343.910,-12.695,42.480,50.293,44.922,-355.469
1532485343.914,-8.789,21.484,47.852,32.227,-404.785
1532485343.918,-7.324,112.305,42.480,31.250,12.695
1532485343.922,-2.441,61.035,40.039,30.273,161.133
1532485343.926,2.441,9.766,38.574,35.156,-350.098
1532485343.930,1.953,83.984,36.621,32.715,132.324
1532485343.934,4.883,15.137,36.133,21.973,-87.402
1532485343.937,8.789,94.238,35.156,23.926,-148.438
1532485343.941,17.578,138.184,32.715,27.344,770.996
1532485343.945,31.250,-28.320,34.180,36.621,57.129
1532485343.949,29.785,-19.531,34.668,38.574,-540.527
1532485343.953,34.180,20.996,32.227,29.785,-609.863
1532485343.957,45.898,60.547,30.762,34.668,-428.223
1532485343.961,45.898,31.738,30.762,43.945,-39.551
1532485343.965,43.945,-6.836,31.738,43.945,-314.453
1532485343.969,47.363,27.832,30.762,38.086,-508.789
1532485343.973,51.758,33.203,29.297,32.715,-531.250
1532485343.977,52.246,102.539,28.809,37.109,81.055
1532485343.980,49.805,135.254,29.785,40.527,875.488
1532485343.984,51.758,0.000,33.203,30.273,115.234
1532485343.988,53.223,-4.883,31.738,27.344,-576.660
1532485343.992,53.223,29.785,29.297,33.203,-504.883
1532485343.996,51.758,20.020,30.762,31.250,-305.176
1532485344.000,49.316,23.438,30.762,29.297,-19.043
1532485344.004,51.758,20.508,30.273,28.320,-404.785
1532485344.008,59.082,36.621,32.715,33.691,-475.098
1532485344.012,60.059,20.996,36.133,38.574,-345.215
1532485344.016,57.129,23.926,35.156,23.438,-294.434
1532485344.019,59.082,58.105,36.133,31.738,57.129
1532485344.023,57.617,78.613,41.992,42.969,191.406
1532485344.027,61.035,39.062,40.039,40.527,134.766
1532485344.031,62.500,-14.160,35.156,31.738,-236.328
1532485344.035,53.711,42.480,31.738,19.531,-437.012
1532485344.039,55.664,181.641,32.715,15.625,573.730
1532485344.043,62.500,51.758,35.645,24.902,635.254
1532485344.047,58.105,-35.645,35.156,27.832,-254.883
1532485344.051,56.641,17.578,34.668,21.973,-479.004
1532485344.055,62.012,42.480,36.133,14.648,-532.715
1532485344.059,58.105,92.773,35.645,18.066,62.988
1532485344.062,57.617,17.090,36.133,31.738,-10.742
1532485344.066,51.758,11.719,35.645,26.367,-417.969
1532485344.070,45.898,97.168,29.785,15.625,-36.621
1532485344.074,50.781,83.008,26.855,17.578,135.254
1532485344.078,48.828,118.652,26.855,16.113,477.051
1532485344.082,42.480,70.801,30.762,3.418,742.188
1532485344.086,42.480,-26.855,31.250,1.465,-222.168
1532485344.090,46.387,22.461,30.762,9.277,-585.449
1532485344.094,48.828,58.594,30.273,15.137,-288.574
1532485344.098,42.969,68.359,30.273,15.625,36.621
1532485344.102,39.551,27.344,30.762,12.695,-136.230
1532485344.105,43.457,28.320,29.297,14.648,-501.953
1532485344.109,42.480,42.480,29.297,21.973,-359.863
1532485344.113,42.969,8.789,30.273,18.555,-360.840
1532485344.117,40.039,99.121,26.855,10.254,107.422
1532485344.121,36.621,149.902,25.879,10.254,823.242
1532485344.125,42.969,4.395,30.273,23.438,75.684
1532485344.129,43.457,-13.184,30.273,33.203,-394.043
1532485344.133,39.062,10.742,29.297,17.578,-433.105
1532485344.137,36.621,37.598,31.250,15.137,-451.172
1532485344.141,39.551,39.551,31.250,26.855,-120.605
1532485344.144,42.480,11.719,30.762,21.973,-254.395
1532485344.148,43.457,16.113,31.738,12.695,-365.234
1532485344.152,44.922,33.691,30.273,12.207,-492.676
1532485344.156,41.504,51.758,29.785,12.207,-389.160
1532485344.160,37.109,43.945,30.273,20.996,88.379
1532485344.164,31.738,45.410,29.785,23.438,192.871
1532485344.168,31.250,31.738,30.273,15.137,-6.348
1532485344.172,37.109,7.812,33.203,16.602,-415.527
1532485344.176,35.645,54.688,28.320,21.973,-280.273
1532485344.180,29.785,150.391,24.902,16.113,740.723
1532485344.184,31.250,18.555,25.879,6.348,375.488
1532485344.187,34.180,-14.160,27.344,5.371,-468.262
1532485344.191,37.598,29.785,29.785,15.625,-463.867
1532485344.195,39.551,24.902,29.785,19.531,-269.531
