timestamps,TP9,AF7,AF8,TP10,Right AUX
1532281472.180,28.809,40.527,36.621,21.973,-223.145
1532281472.184,24.414,37.109,35.156,29.297,-177.734
1532281472.188,25.879,35.645,34.180,33.203,242.676
1532281472.192,21.973,37.598,36.133,25.391,308.594
1532281472.195,18.555,37.109,35.645,18.555,-110.840
1532281472.199,24.414,35.645,35.156,18.066,-273.926
1532281472.203,25.391,33.203,35.156,17.578,130.859
1532281472.207,28.320,35.156,38.574,19.043,337.402
1532281472.211,29.297,40.039,39.062,16.113,-1.953
1532281472.215,27.832,39.551,38.574,12.695,-291.504
1532281472.219,33.691,38.574,41.016,22.461,-19.043
1532281472.223,29.785,37.598,36.133,28.809,346.191
1532281472.227,17.578,39.062,37.598,29.297,130.859
1532281472.231,7.812,40.039,39.551,28.809,-261.719
1532281472.234,5.859,39.551,35.156,25.879,-132.324
1532281472.238,8.301,39.551,34.668,22.461,250.977
1532281472.242,12.695,39.551,34.668,20.020,210.938
1532281472.246,19.531,41.016,35.645,17.578,-197.754
1532281472.250,20.996,41.504,37.109,18.555,-206.543
1532281472.254,17.578,44.434,36.621,21.973,207.520
1532281472.258,19.043,47.363,34.180,19.043,290.039
1532281472.262,21.973,45.410,34.180,14.160,-88.379
1532281472.266,23.926,42.969,35.645,19.531,-244.141
1532281472.270,23.926,43.457,35.156,25.879,106.445
1532281472.274,22.461,43.457,33.203,25.391,333.984
1532281472.277,20.996,41.016,36.621,20.508,36.133
1532281472.281,16.602,38.086,41.992,20.996,-272.949
1532281472.285,21.973,38.574,39.062,26.367,-40.039
1532281472.289,27.832,41.504,37.109,30.273,328.613
1532281472.293,24.902,44.434,35.156,28.809,149.414
1532281472.297,20.020,44.434,35.645,18.066,-264.160
1532281472.301,20.020,40.527,39.551,15.625,-161.133
1532281472.305,20.020,36.133,37.598,24.902,269.531
1532281472.309,25.391,40.527,34.180,26.367,249.023
1532281472.313,29.297,40.527,34.668,27.344,-146.973
1532281472.317,24.902,36.621,36.133,28.809,-209.473
1532281472.320,23.926,39.062,37.109,30.273,181.152
1532281472.324,22.461,38.574,39.551,26.367,323.730
1532281472.328,22.461,36.621,39.551,18.555,-48.828
1532281472.332,23.438,39.062,38.086,21.484,-259.277
1532281472.336,20.020,38.574,36.133,26.855,38.574
1532281472.340,20.020,37.598,34.180,26.855,313.965
1532281472.344,23.926,39.062,34.668,24.902,71.777
1532281472.348,26.855,40.039,35.645,23.438,-272.949
1532281472.352,22.461,35.645,34.668,26.855,-66.895
1532281472.356,19.043,33.691,34.668,27.344,310.059
1532281472.359,24.414,36.621,37.109,19.531,166.016
1532281472.363,27.344,35.156,38.086,21.973,-236.816
1532281472.367,25.391,35.156,37.109,29.785,-154.785
1532281472.371,21.484,35.645,37.598,31.250,272.461
1532281472.375,18.555,35.645,41.016,27.832,284.668
1532281472.379,20.508,39.062,41.504,26.855,-133.789
1532281472.383,22.461,38.086,39.062,30.762,-256.836
1532281472.387,22.461,35.156,37.598,31.738,137.207
1532281472.391,20.996,36.621,39.062,27.344,352.051
1532281472.395,22.461,37.598,39.551,26.855,-10.742
1532281472.399,20.996,36.133,40.039,25.391,-283.691
1532281472.402,18.066,34.180,42.480,26.855,17.578
