timestamps,TP9,AF7,AF8,TP10,Right AUX
1532069126.737,-31.250,54.199,82.031,-38.574,7.324
1532069126.741,-45.410,56.152,82.031,-49.316,135.742
1532069126.745,-52.246,56.641,86.426,-53.711,99.609
1532069126.749,-55.176,52.734,91.797,-57.617,-48.828
1532069126.753,-59.570,58.105,88.867,-61.035,-30.273
1532069126.757,-61.035,68.848,83.496,-65.918,90.332
1532069126.761,-61.035,70.312,82.520,-65.430,96.680
1532069126.765,-67.871,62.500,84.473,-66.406,-33.691
1532069126.769,-69.824,56.152,82.520,-70.312,-104.004
1532069126.773,-59.570,61.035,79.102,-64.453,45.898
1532069126.776,-51.758,68.359,76.660,-53.223,135.254
1532069126.780,-54.199,62.500,69.336,-52.246,20.020
1532069126.784,-49.805,57.617,63.965,-50.781,-94.238
1532069126.788,-28.809,53.711,59.570,-36.133,-15.625
1532069126.792,-18.555,41.992,52.734,-24.414,142.578
1532069126.796,-15.137,38.086,43.457,-18.066,93.750
1532069126.800,-6.348,52.734,33.203,-9.766,-82.031
1532069126.804,4.395,50.293,25.879,1.953,-47.852
1532069126.808,14.648,38.574,26.367,11.230,112.793
1532069126.812,13.672,36.133,27.344,15.137,98.145
1532069126.816,15.137,30.762,21.973,16.602,-39.062
1532069126.819,22.949,25.391,15.137,19.531,-64.453
1532069126.823,24.902,25.879,10.742,21.973,78.125
1532069126.827,27.344,24.902,6.348,23.926,129.883
1532069126.831,33.691,20.508,8.789,28.809,10.742
1532069126.835,41.504,20.996,5.859,35.156,-56.152
1532069126.839,48.340,22.461,-0.977,40.527,48.340
1532069126.843,47.363,16.113,0.977,37.109,145.508
1532069126.847,47.852,17.578,1.953,36.621,23.438
1532069126.851,55.664,22.461,0.977,40.039,-87.891
1532069126.855,60.059,20.508,-1.465,39.062,5.859
1532069126.859,65.430,19.043,-0.977,41.016,132.812
1532069126.862,70.801,19.531,1.465,44.434,71.777
1532069126.866,74.707,17.090,-0.488,47.852,-83.496
